year,method,reconstruction_status,reconstruction_failure_reason,contract_version,mask_id,scenario_family,selected_smoothing,diagnostic_n_sparse_inputs,diagnostic_minimum_reconstructed_value,diagnostic_n_negative_reconstructed_days,diagnostic_fraction_negative_reconstructed_days,diagnostic_negative_values_clipped,diagnostic_boundary_extrapolation,diagnostic_sparse_input_checksum,diagnostic_identical_sparse_input_enforced,n_pointwise_evaluation_dates,n_predictions_available,n_predictions_missing_or_nonfinite,q05_reference,q95_reference,q95_minus_q05,scale_available,scale_unavailable_reason,pointwise_metric_status,pointwise_metric_reason,bias,mae,rmse,nrmse,nrmse_status,nrmse_reason,n_common_support_dates,n_common_support_predictions,n_missing_common_support_predictions,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,negative_values_clipped,reference_peak_status,reference_peak_reason,reference_peak_time,reference_peak_value,reference_peak_plateau_start,reference_peak_plateau_end,reference_peak_plateau_days,reference_peak_at_boundary,reference_peak_distance_to_nearest_boundary_days,reconstruction_peak_status,reconstruction_peak_reason,reconstruction_peak_time,reconstruction_peak_value,reconstruction_peak_plateau_start,reconstruction_peak_plateau_end,reconstruction_peak_plateau_days,reconstruction_peak_at_boundary,reconstruction_peak_distance_to_nearest_boundary_days,seasonal_metric_status,seasonal_metric_reason,peak_timing_metric_status,peak_timing_metric_reason,signed_peak_date_error_days,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,signed_peak_magnitude_error,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,reference_integral,reconstruction_integral,signed_integral_error,absolute_integral_error,relative_integral_error,relative_integral_status,relative_integral_reason,pearson_correlation,correlation_status,correlation_reason,diagnostic_n_output_dates,diagnostic_n_finite_output_dates,diagnostic_persistent_batch_transport
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r001,random_deletion,,32,0.95194400000000001,0,0,False,False,e84c8928510b74ae3434957ad34970afb8c0adb175e0c6b7e26c2a22670b29f4,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8128290248756216,3.2240554310838969,7.4560557056759569,0.26105222677972367,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1505.8913149999998,-364.37863400000015,364.37863400000015,-0.19482675973852165,ok,,0.8137751846286867,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r001,random_deletion,,32,0.95194536447525024,0,0,False,,e84c8928510b74ae3434957ad34970afb8c0adb175e0c6b7e26c2a22670b29f4,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.5578678536581165,4.2317590373148368,7.8606915903122259,0.27521938202762092,ok,,233,233,0,0.95230972766876221,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-20T00:00:00,20.994892120361328,2019-08-20,2019-08-20,1,False,107,ok,,ok,,-6,6,False,True,True,-39.900007879638672,39.900007879638672,1.3969833805800269,1870.269949,1337.711684525013,-532.55826447498703,532.55826447498703,-0.28474940997674503,ok,,0.78721607470049482,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r001,random_deletion,10,32,0.88920557498931885,0,0,False,,e84c8928510b74ae3434957ad34970afb8c0adb175e0c6b7e26c2a22670b29f4,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.7583650645735254,3.2267564132436122,7.4296225659936015,0.26012674684136894,ok,,233,233,0,0.88920557498931885,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.181034088134766,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.713865911865234,32.713865911865234,1.14538140271197,1870.269949,1516.8314502239227,-353.43849877607727,353.43849877607727,-0.18897726446658383,ok,,0.80283913217983371,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r002,random_deletion,,32,0.95194400000000001,0,0,False,False,7616deb8a7d4f297aeed1740dc1c6cf523cc77536ef556f0f10e739c0dea6abc,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8639571343283581,3.153722210668878,7.4030537766861535,0.25919651752370565,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1495.6145650000001,-374.65538399999991,374.65538399999991,-0.20032155475754795,ok,,0.81175413054222789,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r002,random_deletion,,32,0.95194530487060547,0,0,False,,7616deb8a7d4f297aeed1740dc1c6cf523cc77536ef556f0f10e739c0dea6abc,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.7720816591608224,4.2828589794215874,7.9562855465112055,0.27856632793541902,ok,,233,233,0,0.95225977897644043,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T00:00:00,20.262178421020508,2019-08-21,2019-08-21,1,False,106,ok,,ok,,-5,5,True,True,True,-40.632721578979492,40.632721578979492,1.4226372316717402,1870.269949,1296.8800551593304,-573.38989384066963,573.38989384066963,-0.30658135428377653,ok,,0.79176991888470671,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r002,random_deletion,10,32,0.89201927185058594,0,0,False,,7616deb8a7d4f297aeed1740dc1c6cf523cc77536ef556f0f10e739c0dea6abc,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.7160052543971307,3.252270050773526,7.4260879905737704,0.26000299390543458,ok,,233,233,0,0.89201927185058594,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-18T00:00:00,32.272750854492188,2019-08-18,2019-08-18,1,False,109,ok,,ok,,-8,8,False,True,True,-28.622149145507812,28.622149145507812,1.0021217738446051,1870.269949,1525.3328858017921,-344.93706319820785,344.93706319820785,-0.18443169842013424,ok,,0.79362942086522237,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r003,random_deletion,,32,0.95194400000000001,0,0,False,False,517a7409df6e91735e520977b633160c5299b5ff72b1b97c5b039f1200d2cc72,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8415415621890545,3.2091590062635538,7.4594274393326527,0.26117027828227862,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1500.120095,-370.149854,370.149854,-0.19791252818766217,ok,,0.81270648150019276,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r003,random_deletion,,32,0.95194554328918457,0,0,False,,517a7409df6e91735e520977b633160c5299b5ff72b1b97c5b039f1200d2cc72,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.4724405644148266,4.2528312414992975,7.8200612540574328,0.27379682831117697,ok,,233,233,0,0.9523816704750061,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-20T00:00:00,21.526762008666992,2019-08-20,2019-08-20,1,False,107,ok,,ok,,-6,6,False,True,True,-39.368137991333008,39.368137991333008,1.3783614946687428,1870.269949,1355.7029623091221,-514.56698669087791,514.56698669087791,-0.27512979448020736,ok,,0.78649074161962218,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r003,random_deletion,10,32,0.88919162750244141,0,0,False,,517a7409df6e91735e520977b633160c5299b5ff72b1b97c5b039f1200d2cc72,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8033485622151695,3.2111835294588769,7.4307300845634998,0.26016552340102522,ok,,233,233,0,0.88919162750244141,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.102542877197266,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.792357122802734,32.792357122802734,1.1481295454575067,1870.269949,1507.776882827282,-362.49306617271804,362.49306617271804,-0.19381858023572299,ok,,0.80295741202177429,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r004,random_deletion,,32,0.95194400000000001,0,0,False,False,64e04a420a588a0cf4cd689436079a30c36233cfa1d1285b2386a5947473af98,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.7498905422885573,3.1738331642434954,7.3927963957002421,0.25883738499398729,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1518.5419499999998,-351.72799900000018,351.72799900000018,-0.18806269072978629,ok,,0.81170171168046423,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,random_2019_k1_r004,random_deletion,,32,0.95194530487060547,0,0,False,,64e04a420a588a0cf4cd689436079a30c36233cfa1d1285b2386a5947473af98,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.7548883554445331,4.2729351738329076,7.9477458501622333,0.27826733516552532,ok,,233,233,0,0.95226043462753296,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T00:00:00,20.301708221435547,2019-08-21,2019-08-21,1,False,106,ok,,ok,,-5,5,True,True,True,-40.593191778564453,40.593191778564453,1.4212532100348512,1870.269949,1299.0827766954899,-571.18717230451011,571.18717230451011,-0.30540359834681285,ok,,0.79176991655830109,ok,,365,365,True
