event_id,year,method,mask_id,scenario_family,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,reconstruction_status,reconstruction_failure_code
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r005,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r005,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P005,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r005,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-20T12:00:00,-5.5,5.5,False,True,True,21.533401489257812,-39.361498510742187,39.361498510742187,1.3781290324579822,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r005,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r005,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.092189788818359,-32.80271021118164,32.80271021118164,1.1484920289047942,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r005,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-18T00:00:00,6,6,False,True,True,6.4851245880126953,-5.0222754119873052,5.0222754119873052,0.17584044856347805,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r006,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P005,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
ERK_2019_E02,2019,linear_interpolation,random_2019_k1_r006,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P006,2019-10-19T00:00:00,7,7,False,True,True,6.6261400000000004,-4.8812600000000002,4.8812600000000002,0.17090320174522769,ok,,ok,
ERK_2019_E01,2019,timesat_double_logistic,random_2019_k1_r006,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.222858428955078,-39.672041571044922,39.672041571044922,1.3890017995889072,ok,,ok,
ERK_2019_E02,2019,timesat_double_logistic,random_2019_k1_r006,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,ok,
ERK_2019_E01,2019,timesat_smoothing_spline,random_2019_k1_r006,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P003,2019-08-17T00:00:00,-9,9,False,True,True,28.168718338012695,-32.726181661987304,32.726181661987304,1.1458126030839551,ok,,ok,
ERK_2019_E02,2019,timesat_smoothing_spline,random_2019_k1_r006,random_deletion,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P004,2019-10-20T00:00:00,8,8,False,True,True,6.569404125213623,-4.9379958747863775,4.9379958747863775,0.17288964431432013,ok,,ok,
ERK_2019_E01,2019,linear_interpolation,random_2019_k1_r007,random_deletion,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P004,2019-08-25T00:00:00,-1,1,True,True,True,29.236799999999999,-31.658100000000001,31.658100000000001,1.1084168127021696,ok,,ok,
