year,method,duration_days,n_scenarios,spearman_nrmse_vs_a_gap,spearman_nrmse_vs_midpoint_relative_position,spearman_global_peak_abs_error_vs_a_gap,spearman_event_recovery_10d_vs_a_gap
2020,timesat_smoothing_spline,10,242,0.67091530034286229,0.27014438541978009,-0.35420760542791685,0.0067663975754149843
2020,timesat_smoothing_spline,20,261,0.68585633505408516,0.20903011116474093,-0.28320000941646389,-0.2972436200946123
2020,timesat_smoothing_spline,30,243,0.71066451359523231,0.23994486381937444,-0.21512117794562219,-0.59049877190824862
2020,timesat_smoothing_spline,45,213,0.6907118647612408,0.30199084065292908,-0.1923637231444652,-0.75185962212098778
2021,linear_interpolation,10,235,0.66538505096386436,-0.10947265654140943,0.34120805546326693,-0.21343186767965097
2021,linear_interpolation,20,240,0.83755798245730462,-0.12558320969281828,0.46152611800580667,-0.51276488786104557
2021,linear_interpolation,30,230,0.88200775720903812,-0.15571501688807188,0.45590937698419398,-0.65202161266039738
2021,linear_interpolation,45,215,0.82265911240623824,-0.25309313056403077,0.3937084049807319,-0.75401510303609487
2021,timesat_double_logistic,10,235,0.29269076652663434,-0.21538156457698018,0.20645994088519554,0.0064516166311815153
2021,timesat_double_logistic,20,240,0.52575512646599032,-0.21191583292461655,0.11227763019034716,-0.01404895110527396
2021,timesat_double_logistic,30,230,0.62429296730856676,-0.16716834987974413,0.066210639113737646,-0.28589667519420486
2021,timesat_double_logistic,45,215,0.65081703247625555,-0.12568751189739535,0.10408897145406162,-0.32672966875999337
2021,timesat_smoothing_spline,10,235,0.48100523111013882,-0.12464332952162364,0.11645445736236436,-0.21343186767965097
2021,timesat_smoothing_spline,20,240,0.73897981874115692,-0.26544231979785399,0.21056136313212787,-0.44368427705981733
2021,timesat_smoothing_spline,30,230,0.77363614287078064,-0.26705206783037466,0.28158325527969186,-0.58567771624874021
2021,timesat_smoothing_spline,45,215,0.74189178884500606,-0.19765474693793636,0.38591483264406212,-0.5303563927573226
2022,linear_interpolation,10,188,0.19304598386122773,-0.12978550778725131,0.37603828901938724,-0.33680073485266016
2022,linear_interpolation,20,215,0.36446141641224561,-0.10786326941323771,0.49175840639301821,-0.50150970741050604
2022,linear_interpolation,30,205,0.57031991011644068,-0.11968505443304896,0.60086697971115477,-0.62661822344734219
2022,linear_interpolation,45,190,0.82126137677166533,-0.12908607001878097,0.72959239591081548,-0.6519961286226531
2022,timesat_double_logistic,10,188,0.23873350326478013,-0.21050873693785147,0.13626253545265071,
2022,timesat_double_logistic,20,215,0.31630345602362914,-0.27078656417606112,-0.056640302530256148,
2022,timesat_double_logistic,30,205,0.45055820596292334,-0.39758210006907746,-0.18035181461312627,-0.12982659351134593
2022,timesat_double_logistic,45,190,0.30709661400013016,-0.52335112184830812,0.2912889067756842,-0.34395229133967919
2022,timesat_smoothing_spline,10,188,0.073395593471023715,-0.090195318368553601,-0.54750312117855926,-0.16076161800282815
2022,timesat_smoothing_spline,20,215,0.16933895840246016,-0.060872672195819023,-0.67663205320548592,-0.082413601661087743
2022,timesat_smoothing_spline,30,205,0.30389802445015746,-0.066950046750857847,-0.72596880974809286,-0.095722158993386083
2022,timesat_smoothing_spline,45,190,0.61283474974517205,0.039970946854772905,-0.43584992687298119,-0.4340788663784525
2023,linear_interpolation,10,129,-0.09308672755168676,0.10661313026537594,0.17355388046537928,-0.12033301288858864
2023,linear_interpolation,20,167,-0.077739947336384771,0.051664893787714564,0.13131756121271862,-0.24477537403014193
2023,linear_interpolation,30,180,-0.056928402619451236,-0.10602238495990148,0.061199950587179835,-0.38857625348664021
2023,linear_interpolation,45,177,-0.13399291760247942,-0.5306831186282549,0.016738257643294712,-0.49029258264685138
2023,timesat_double_logistic,10,129,0.34348050888479587,0.40907502583094385,,-0.30204538672719433
2023,timesat_double_logistic,20,167,0.30437327675955411,0.038004074384259019,,-0.4539890238685515
2023,timesat_double_logistic,30,180,0.33121557996636991,-0.1564719281775736,,-0.34541431199063538
2023,timesat_double_logistic,45,177,0.047688091850280473,-0.67333841284131435,0.20821325920983336,0.0093313121519343883
2023,timesat_smoothing_spline,10,129,-0.28980590693090985,0.073979599199450879,0.037830239392876719,0.1200134626467296
2023,timesat_smoothing_spline,20,167,-0.13701339876653029,0.0067439488194274231,0.16571240576676105,0.082545077590800695
2023,timesat_smoothing_spline,30,180,-0.020253007265991097,-0.028100828527048271,0.055275477035378613,0.033592017792310837
2023,timesat_smoothing_spline,45,177,0.21416410811908415,-0.19628392135695755,0.33160483720249706,-0.032971758808538497
2024,linear_interpolation,10,187,0.54679444741820893,0.10514123475654369,0.34697230451318434,-0.36285107971917391
2024,linear_interpolation,20,205,0.71754807580603708,0.1347746750220572,0.50102300735387884,-0.50772039123133794
2024,linear_interpolation,30,195,0.70590571386736856,0.18599343523311121,0.61110345685248924,-0.63976380081563655
2024,linear_interpolation,45,180,0.68942204791354,0.28139024306214783,0.72852421178465532,-0.85363623816889866
2024,timesat_double_logistic,10,187,0.65317201158748806,0.24424894507143513,0.23154517665282789,
2024,timesat_double_logistic,20,205,0.46310970956463882,0.41124966039441746,0.16412893559410702,-0.26416987983319057
2024,timesat_double_logistic,30,195,0.33538393225906216,0.54035876733644372,0.18117280463094068,-0.29926385728434879
2024,timesat_double_logistic,45,180,0.34777079935863453,0.7069491165626326,0.2806573454466702,-0.47557689270302689
2024,timesat_smoothing_spline,10,187,0.34077258750713885,0.26645331118345583,0.14918795928090656,
2024,timesat_smoothing_spline,20,205,0.33780587569115772,0.28685298720477709,0.52989857158808684,-0.23034378081246873
2024,timesat_smoothing_spline,30,195,0.40269221893925244,0.25044925056783418,0.49249080781839394,-0.34501310332941681
2024,timesat_smoothing_spline,45,180,0.48451281045628719,0.35600636032927679,0.46031384884237569,-0.5260282789365921
2025,linear_interpolation,10,224,-0.04357149931438118,-0.15846637865550189,0.074753059635093863,-0.27431323431478477
2025,linear_interpolation,20,230,-0.12369168920013822,-0.26745863391609231,0.020961247612085343,-0.53772574982266219
2025,linear_interpolation,30,220,-0.019359779019636002,-0.1583833841476297,0.00029654088151772636,-0.56219866601704416
2025,linear_interpolation,45,205,0.38422644438729409,0.22120146451060571,-0.027567162977746529,-0.72882714591138442
2025,timesat_double_logistic,10,224,0.44234699419144302,0.24083988989638649,-0.12828687368865299,-0.10031691437655471
2025,timesat_double_logistic,20,230,0.40602179618261497,0.33847768648803822,-0.052193472296882017,0.041143786788324054
2025,timesat_double_logistic,30,220,0.55115203784513767,0.38253838938164975,-0.012819707182982851,0.18983741620615896
2025,timesat_double_logistic,45,205,0.50549328345669076,0.34599174467105714,0.10565812127916828,0.26436808964279984
2025,timesat_smoothing_spline,10,224,0.039034826133972557,-0.16627419824636053,-0.20519347354046685,-0.54944395052108941
2025,timesat_smoothing_spline,20,230,0.0840186437050989,-0.2242312323707589,-0.16239702012847379,-0.73714021933765839
2025,timesat_smoothing_spline,30,220,0.075326105174453178,-0.17755209603029937,-0.056333345016924552,-0.59709271192137547
2025,timesat_smoothing_spline,45,205,0.28350813542939129,0.048193401542595236,-0.10596679498269938,-0.51844358585312134
