year,method,duration_days,n_scenarios,spearman_nrmse_vs_a_gap,spearman_nrmse_vs_midpoint_relative_position,spearman_global_peak_abs_error_vs_a_gap,spearman_event_recovery_10d_vs_a_gap
2019,linear_interpolation,10,174,-0.0052563116869071671,-0.0026965226857090375,0.39441062498543011,-0.26542810489344254
2019,linear_interpolation,20,207,0.15528818366839728,0.10762892486529063,0.48825375785823355,-0.40727072779171963
2019,linear_interpolation,30,202,0.14929949396372744,0.067390842551956487,0.59922690814529833,-0.47168428346541769
2019,linear_interpolation,45,187,0.43866334101234017,0.022478865965457437,0.7330889291067868,-0.62299746158492975
2019,timesat_double_logistic,10,174,0.12465846914365397,-0.16272819193191371,0.12528654038263753,
2019,timesat_double_logistic,20,207,0.20265100185467641,-0.17465969813149648,0.075864143404207746,-0.25855095758444308
2019,timesat_double_logistic,30,202,0.3997209506882009,-0.22321304152506408,0.068804478824495904,-0.4249315102339935
2019,timesat_double_logistic,45,187,0.62218306119869959,-0.10146015406054844,0.32755244458208499,-0.58530419086734786
2019,timesat_smoothing_spline,10,174,0.064919780205898961,0.17407729290583199,-0.21918916722488138,-0.025683483859185115
2019,timesat_smoothing_spline,20,207,-0.1979607427802135,0.1325488872205178,-0.40999794091003244,0.12366177071581221
2019,timesat_smoothing_spline,30,202,-0.082439035556396062,-0.054874359578522838,-0.56901562119214821,0.15636989060540676
2019,timesat_smoothing_spline,45,187,0.21861925065772433,0.011278450822366535,-0.16344321849949733,-0.16195803018773633
2020,linear_interpolation,10,242,0.64905551828667851,0.17573104843632498,0.30105407478447399,-0.24310190836495532
2020,linear_interpolation,20,261,0.69384692314190821,0.10607617098367575,0.37584891231014156,-0.43008291853870978
2020,linear_interpolation,30,243,0.71227811270104924,0.15929836833373537,0.40571307009488733,-0.61791683452626678
2020,linear_interpolation,45,213,0.70141176522720328,0.26679321125851158,0.53177971609073926,-0.79942310880786627
2020,timesat_double_logistic,10,242,0.42473899953471728,0.29499414577148608,-0.10260378500745847,0.26692397023620512
2020,timesat_double_logistic,20,261,0.57888954503307299,0.39985688750950377,-0.21302042438951441,0.28206008009869854
2020,timesat_double_logistic,30,243,0.55853867275389002,0.50968693891290817,-0.26307262130573644,0.28589646728846962
2020,timesat_double_logistic,45,213,0.42830096704393134,0.50910732587403229,-0.13339764615063848,0.16902306051439453
