year,method,reconstruction_status,nrmse,mae,rmse,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,normalized_absolute_peak_magnitude_error,absolute_integral_error,pearson_correlation,n_negative_reconstructed_days,fraction_negative_reconstructed_days,selected_smoothing
2019,linear_interpolation,ok,0.26288729503827002,3.2234391125793964,7.5084680958257044,1,True,True,True,1.1084168127021696,379.29943400000002,0.81495958543044633,0,0,10
2019,timesat_double_logistic,ok,0.27219968749762552,4.2311019493418023,7.7744444400484243,4.5,True,True,True,1.3772426575877084,544.4316727329483,0.80039558192864046,0,0,10
2019,timesat_smoothing_spline,ok,0.26186729250703922,3.2463872895323633,7.4793352445698353,9,False,True,True,1.1455846819333302,363.45422468674087,0.80413417212455873,0,0,10
2020,linear_interpolation,ok,0.1440014905395498,1.5241441110177272,3.0314414740322202,31,False,False,False,0.17947924654533451,110.75313074999964,0.93002296267654316,0,0,100
2020,timesat_double_logistic,ok,0.2544808156460599,3.0294291078473137,5.3571924568595879,151,False,False,False,1.2794545539353686,6.2204850313642055,0.66486755162307987,0,0,100
2020,timesat_smoothing_spline,ok,0.19003406902709849,2.0997396860734883,4.000494412727134,151,False,False,False,0.98170821337644243,132.23792701935554,0.84071496839268411,0,0,100
2021,linear_interpolation,ok,0.092279945871914099,1.0943388259749554,2.0445830875213504,0,True,True,True,0,86.268280000000004,0.96737469747612137,0,0,100
2021,timesat_double_logistic,ok,0.21032940574689091,2.7649537672713524,4.6601235158438969,14,False,False,True,0.98326775087179963,131.33297694917292,0.7074911646466352,0,0,100
2021,timesat_smoothing_spline,ok,0.13694863141055991,1.7586305845546495,3.034276331608103,3,True,True,True,0.39135936144132732,135.82623523171517,0.90868446935674241,0,0,100
2022,linear_interpolation,ok,0.2758177999996948,1.5119059852833443,4.6350671027018713,6,False,True,True,2.3411147340806786,159.94292500000029,0.83677017904988671,0,0,10
2022,timesat_double_logistic,ok,0.33494913303686952,2.6259611057443619,5.6287582150949822,1,True,True,True,2.6137357946175994,54.795726626892247,0.68971023098309792,0,0,10
2022,timesat_smoothing_spline,ok,0.27992976781082851,1.6052803355981826,4.7041679610539289,13,False,False,True,2.3965150525043435,177.40676447727219,0.82420883673090861,0,0,10
2023,linear_interpolation,ok,0.1720799384738452,1.1504836782057779,1.8347420987909149,0,True,True,True,0,102.4164679999999,0.88501244765435394,0,0,10
2023,timesat_double_logistic,ok,0.17826547736930359,1.3450203008213824,1.9006932417065727,2,True,True,True,0.0032627228755110998,71.451679160701588,0.86203013794015915,0,0,10
2023,timesat_smoothing_spline,ok,0.1972956847045749,1.3890923326526368,2.1035961649433146,1,True,True,True,0.13603545451136859,147.21321584831412,0.85485623348592377,0,0,10
2024,linear_interpolation,ok,0.2113979799410835,1.9195744852429533,3.4494627554158876,4,True,True,True,0.52559271513286043,30.246232999999847,0.84725500956820921,0,0,3
2024,timesat_double_logistic,ok,0.2256556615274308,2.6850856691507725,3.6821108707119303,1,True,True,True,1.1623474375026812,55.851695520046178,0.79252834296939945,0,0,3
2024,timesat_smoothing_spline,ok,0.2267324676336879,2.1029770194989865,3.6996815332100943,3,True,True,True,0.74087185686247437,95.509797011676241,0.8181046954775465,0,0,3
2025,linear_interpolation,ok,0.26577856783337478,3.8853107354517409,7.9678487741828974,200,False,False,False,1.4266722594192156,233.29240400000023,0.76585398338162125,0,0,10
2025,timesat_double_logistic,ok,0.27731404480319322,4.6919608880097714,8.3136740105172517,207,False,False,False,1.7109864917715814,17.634128755241363,0.67556240869231543,0,0,10
2025,timesat_smoothing_spline,ok,0.26769766622592078,3.9811332024046422,8.0253819526450929,202,False,False,False,1.480629828685752,257.87106221327213,0.76095943091070184,0,0,10
