year,method,duration_days,n_scenarios,n_reconstruction_failures,mean_nrmse,median_nrmse,mean_absolute_global_peak_timing_error_days,median_absolute_global_peak_timing_error_days,global_peak_success_fraction_10d,mean_event_recovery_fraction_10d,median_event_recovery_fraction_10d,mean_absolute_integral_error,mean_pearson_correlation,fraction_scenarios_with_negative_values
2020,timesat_smoothing_spline,30,243,0,0.22839152855938605,0.19711263022291001,139.25514403292181,151,0.037037037037037035,0.60082304526748964,0.66666666666666663,218.43210462464396,0.78084462276917477,0
2020,timesat_smoothing_spline,45,213,0,0.25621801737903893,0.2122857046315294,134.5399061032864,151,0.028169014084507043,0.5258215962441315,0.66666666666666663,309.41111407616449,0.74095723115883971,0
2021,linear_interpolation,10,235,0,0.10110205394719472,0.092257948109956203,2.7234042553191489,0,0.97872340425531912,0.98936170212765961,1,97.7913464893617,0.95837720985512609,0
2021,linear_interpolation,20,240,0,0.11778220392221256,0.092754921398753853,7.791666666666667,0,0.9375,0.94791666666666663,1,125.96892235416666,0.93222101898779275,0
2021,linear_interpolation,30,230,0,0.12590829391362446,0.093924319513360999,8.1304347826086953,0,0.93478260869565222,0.91304347826086951,1,141.28498200869564,0.91840050960383657,0
2021,linear_interpolation,45,215,0,0.14203060500879569,0.1093177181675925,8.6976744186046506,0,0.93023255813953487,0.87209302325581395,1,194.71105231162787,0.8985116380230973,0
2021,timesat_double_logistic,10,235,0,0.21473842562433443,0.20987169084814261,46.842553191489358,14,0.042553191489361701,0.51702127659574471,0.5,145.82745179466883,0.69943581888408835,0
2021,timesat_double_logistic,20,240,0,0.21945532877521173,0.209756393110929,60.454166666666666,15,0.054166666666666669,0.51666666666666672,0.5,158.52264902538883,0.6875024088495546,0
2021,timesat_double_logistic,30,230,0,0.22361881937736033,0.20985592224761371,61.104347826086958,15,0.056521739130434782,0.47826086956521741,0.5,172.88648112190435,0.67906910188267711,0
2021,timesat_double_logistic,45,215,0,0.23676946260507323,0.21485344290514849,55.781395348837208,14,0.037209302325581395,0.42325581395348838,0.5,247.38716258212943,0.65642042056060623,0
2021,timesat_smoothing_spline,10,235,0,0.14431623557152562,0.1367640759914184,5.5106382978723403,3,0.97872340425531912,0.98936170212765961,1,142.46963199918534,0.89952183410150421,0
2021,timesat_smoothing_spline,20,240,0,0.16080878005613897,0.13903619015725438,10.375,3,0.9375,0.95833333333333337,1,166.19678474693532,0.87205894048869292,0
2021,timesat_smoothing_spline,30,230,0,0.17032087781618818,0.1429707591350475,10.717391304347826,3,0.93478260869565222,0.92391304347826086,1,179.89366064673243,0.8561234689535413,0
2021,timesat_smoothing_spline,45,215,0,0.19328456313166342,0.15807855585918121,11.488372093023257,3,0.93023255813953487,0.89534883720930236,1,245.95608337772984,0.82813384652439603,0
2022,linear_interpolation,10,188,0,0.27737588076142428,0.27470630850643285,6.6382978723404253,6,0.94680851063829785,0.95478723404255317,1,155.45344861702151,0.83206009071317111,0
2022,linear_interpolation,20,215,0,0.28042403300811825,0.2738365031205417,6.8930232558139535,6,0.90697674418604646,0.913953488372093,1,154.10250253488388,0.8254438147768256,0
2022,linear_interpolation,30,205,0,0.28711031746644144,0.27422236888556462,7.229268292682927,6,0.85365853658536583,0.85853658536585364,1,152.69050175609769,0.81262597411041526,0
2022,linear_interpolation,45,190,0,0.30620141504867143,0.28934583339019981,15.378947368421052,6,0.76315789473684215,0.76842105263157889,1,169.93975968421063,0.75486366087821499,0
2022,timesat_double_logistic,10,188,0,0.33531706425583152,0.33380505764687601,1.1489361702127661,1,1,0.5,0.5,55.521369640308578,0.68633347379364273,0
2022,timesat_double_logistic,20,215,0,0.33681077728236414,0.33358434199780829,1.4046511627906977,1,1,0.5,0.5,63.632249575978683,0.68166977740433332,0
2022,timesat_double_logistic,30,205,0,0.34251867020296511,0.3383568160280544,2.3707317073170731,1,0.96097560975609753,0.48048780487804876,0.5,94.989631612493056,0.66837577761976308,0
2022,timesat_double_logistic,45,190,0,0.36246128094254737,0.3533989228079889,12.836842105263157,4,0.84210526315789469,0.42894736842105263,0.5,155.86456787584831,0.60021319969480214,0
2022,timesat_smoothing_spline,10,188,0,0.27895901104326748,0.2790896175767788,11.888297872340425,13,0.14893617021276595,0.49468085106382981,0.5,170.8546530202693,0.82255542123570569,0
2022,timesat_smoothing_spline,20,215,0,0.28107032207447097,0.27815172449898468,11.460465116279069,13,0.21395348837209302,0.5,0.5,171.01144591045502,0.81677435696215372,0
2022,timesat_smoothing_spline,30,205,0,0.28655836208397439,0.27871893713648582,10.741463414634147,13,0.27317073170731709,0.49512195121951219,0.5,173.62171091640974,0.8068702829428126,0
2022,timesat_smoothing_spline,45,190,0,0.31035820969773653,0.2943237560207857,15.636842105263158,13,0.26842105263157895,0.45000000000000001,0.5,218.11072663480283,0.76524221737855724,0
2023,linear_interpolation,10,129,0,0.17408859034498322,0.17167671231145881,0.031007751937984496,0,1,0.64341085271317833,0.66666666666666663,98.187277379844815,0.88074038634625806,0
2023,linear_interpolation,20,167,0,0.17915785049784863,0.1725901895607326,0.023952095808383235,0,1,0.63872255489021945,0.66666666666666663,107.6946406796406,0.87366235104080192,0
2023,linear_interpolation,30,180,0,0.18750431950817437,0.17779450751572151,0.022222222222222223,0,1,0.62222222222222223,0.66666666666666663,120.01718802777768,0.86085686730563793,0
2023,linear_interpolation,45,177,0,0.2052897723853925,0.19094687731405671,0.022598870056497175,0,1,0.60263653483992463,0.66666666666666663,143.43503118926543,0.8326610514089231,0
2023,timesat_double_logistic,10,129,0,0.18295503295342749,0.17934748891683491,2,2,1,0.30749354005167956,0.33333333333333331,76.529835442126739,0.85717207170962384,0
2023,timesat_double_logistic,20,167,0,0.19015274519182052,0.18185574606499999,2,2,1,0.28343313373253493,0.33333333333333331,91.251343289859022,0.84918029900250092,0
2023,timesat_double_logistic,30,180,0,0.2015777492270692,0.18483176730746989,2,2,1,0.23518518518518516,0.33333333333333331,112.41034470203746,0.83389929455747702,0
2023,timesat_double_logistic,45,177,0,0.27571134232917022,0.22144215101481229,12.141242937853107,2,0.89830508474576276,0.18267419962335213,0.33333333333333331,209.18616731413869,0.7414590636401589,0
2023,timesat_smoothing_spline,10,129,0,0.19754151984713944,0.19631728208726049,1,1,1,0.66666666666666663,0.66666666666666663,132.05226683947157,0.85419638236758322,0
2023,timesat_smoothing_spline,20,167,0,0.20296944033984429,0.1968330565275426,1.0718562874251496,1,1,0.65269461077844315,0.66666666666666663,143.43039930481521,0.84785261572477766,0
2023,timesat_smoothing_spline,30,180,0,0.21374574470681681,0.21203497478035471,1.1444444444444444,1,1,0.6166666666666667,0.66666666666666663,152.09243911516026,0.83269930456687369,0
2023,timesat_smoothing_spline,45,177,0,0.24976484358322937,0.2162460740647151,10.225988700564972,1,0.92655367231638419,0.56308851224105461,0.66666666666666663,188.09306034991707,0.79109570312680788,0
2024,linear_interpolation,10,187,0,0.21588767268730805,0.21080917583875519,4.5347593582887704,4,0.946524064171123,0.946524064171123,1,40.317712780748643,0.83939454945991321,0
2024,linear_interpolation,20,205,0,0.22014674068985821,0.21063793222404811,4.8292682926829267,4,0.90243902439024393,0.89756097560975612,1,54.590566741463427,0.8333620720502144,0
2024,linear_interpolation,30,195,0,0.22595118693504598,0.21141827984841571,5.3589743589743586,4,0.84615384615384615,0.85384615384615381,1,75.386092446153839,0.82386003128169416,0
2024,linear_interpolation,45,180,0,0.246703652310931,0.22147945681845821,8.3000000000000007,4,0.75,0.75,0.75,137.6890453,0.78374855440072222,0
2024,timesat_double_logistic,10,187,0,0.2264895145872701,0.22508274015116719,1.4759358288770053,1,1,0.5,0.5,56.130373225857916,0.79199623916519335,0
2024,timesat_double_logistic,20,205,0,0.23031919254154559,0.22530820344800731,2.3658536585365852,2,0.96585365853658534,0.48292682926829267,0.5,56.823855117375679,0.78718690031230587,0
2024,timesat_double_logistic,30,195,0,0.23650597381401567,0.22585117054979981,3.4717948717948719,2,0.92820512820512824,0.46410256410256412,0.5,74.124076185041915,0.77798252020608494,0
2024,timesat_double_logistic,45,180,0,0.26104590433921132,0.23363776056816399,7.1555555555555559,4,0.77222222222222225,0.38611111111111113,0.5,162.47199402215713,0.75042384308480448,0
2024,timesat_smoothing_spline,10,187,0,0.23789275577935751,0.2261994769128822,3.7647058823529411,3,0.946524064171123,1,1,98.081735159657612,0.80075434908998377,0
2024,timesat_smoothing_spline,20,205,0,0.25559461471525408,0.2274345449286031,4.2780487804878051,3,0.93658536585365859,0.97073170731707314,1,129.35221666328306,0.78147944658653545,0
2024,timesat_smoothing_spline,30,195,0,0.27957258033968446,0.2358740923785074,4.8307692307692305,3,0.90769230769230769,0.91538461538461535,1,182.33935225071178,0.74576818100430098,0
2024,timesat_smoothing_spline,45,180,0,0.36018387409328395,0.26217859554047518,8.4333333333333336,3,0.78888888888888886,0.77500000000000002,1,367.95248982502108,0.63866299636271617,0
2025,linear_interpolation,10,224,0,0.26612927718626922,0.26495272850805612,198.74553571428572,200,0,0.9776785714285714,1,230.10624670089302,0.7624072808785386,0
2025,linear_interpolation,20,230,0,0.26814500670584401,0.26385790896731082,198.77826086956523,200,0,0.94565217391304346,1,240.3846659391306,0.75717274454456251,0
2025,linear_interpolation,30,220,0,0.27141711938474211,0.26337558989900151,198.72272727272727,200,0,0.90795454545454546,1,265.45515290909105,0.74858944053844534,0
2025,linear_interpolation,45,205,0,0.28319486721971893,0.26788645327841121,198.62926829268292,200,0,0.84146341463414631,0.75,372.56017211219523,0.72322053201007808,0
2025,timesat_double_logistic,10,224,0,0.2785359237512014,0.2769689215328543,203.69642857142858,207,0,0.020089285714285716,0,81.122466288092028,0.67169145828914412,0
2025,timesat_double_logistic,20,230,0,0.28208066405393201,0.27653588583732791,205.72173913043477,207,0,0.036956521739130437,0,138.21213451707581,0.66201429113245636,0
2025,timesat_double_logistic,30,220,0,0.2899850998073632,0.27830608230258552,205.66363636363636,207,0,0.045454545454545456,0,201.80561023173513,0.6413656711790916,0
2025,timesat_double_logistic,45,205,0,0.30999320224562649,0.29719277664625088,205.39512195121952,207,0,0.067073170731707321,0,363.15595477978707,0.60012911618510723,0
2025,timesat_smoothing_spline,10,224,0,0.27011065693990838,0.26704711422132227,192.57142857142858,202,0,0.9475446428571429,1,254.82641923049843,0.75597151273397944,0
2025,timesat_smoothing_spline,20,230,0,0.27757418637506426,0.26615598366366078,194.13043478260869,202,0,0.90869565217391302,1,281.87333480200328,0.74616083334642169,0
2025,timesat_smoothing_spline,30,220,0,0.28466603116300077,0.26606173858640625,188.44999999999999,202,0,0.88181818181818183,1,316.05415157517876,0.73504998143793265,0
2025,timesat_smoothing_spline,45,205,0,0.31185338992330724,0.2780406025463838,182.70731707317074,202,0,0.81341463414634141,0.75,464.6683937309748,0.69868435609652202,0
