year,method,duration_days,n_scenarios,n_reconstruction_failures,mean_nrmse,median_nrmse,mean_absolute_global_peak_timing_error_days,median_absolute_global_peak_timing_error_days,global_peak_success_fraction_10d,mean_event_recovery_fraction_10d,median_event_recovery_fraction_10d,mean_absolute_integral_error,mean_pearson_correlation,fraction_scenarios_with_negative_values
2019,linear_interpolation,10,174,0,0.26244413172613323,0.2620996230591307,1.7758620689655173,1,0.95977011494252873,0.9454022988505747,1,379.65601128160927,0.81540374615461853,0
2019,linear_interpolation,20,207,0,0.26403761996266922,0.26158478044209532,2.347826086956522,1,0.92753623188405798,0.893719806763285,1,376.21283283574883,0.81187147781063806,0
2019,linear_interpolation,30,202,0,0.26784578564761319,0.26117885554478332,2.8217821782178216,1,0.91584158415841588,0.87871287128712872,1,376.54410446534655,0.80531101523430482,0
2019,linear_interpolation,45,187,0,0.2800577709680398,0.26146398712699032,5.2085561497326207,1,0.82887700534759357,0.79411764705882348,1,382.54538784491979,0.76637085824337403,0
2019,timesat_double_logistic,10,174,0,0.27355240051007668,0.27191842490002088,4.6120689655172411,4.5,1,0.5,0.5,527.27362743556671,0.79403838969271578,0
2019,timesat_double_logistic,20,207,0,0.2768184546918912,0.27191842490002088,5.0531400966183577,4.5,0.97584541062801933,0.48792270531400966,0.5,515.88054773360363,0.78577642416560345,0
2019,timesat_double_logistic,30,202,0,0.28205697774409383,0.27663004094955623,5.435643564356436,5,0.91089108910891092,0.45544554455445546,0.5,494.78406320401945,0.77279227572167386,0
2019,timesat_double_logistic,45,187,0,0.29743952212423053,0.28661946774659408,7.5748663101604281,6,0.73262032085561501,0.36631016042780751,0.5,424.39234971262022,0.73317824635914608,0
2019,timesat_smoothing_spline,10,174,0,0.26117425084161289,0.26114323533499528,8.6264367816091951,9,0.9885057471264368,0.98563218390804597,1,367.8454287325053,0.8046314716562728,0
2019,timesat_smoothing_spline,20,207,0,0.25981601289410167,0.26051180946029101,8.4492753623188399,9,1,0.95652173913043481,1,354.37573773451209,0.80464663388735091,0
2019,timesat_smoothing_spline,30,202,0,0.26052376878242084,0.26019769139271692,8.1336633663366342,9,1,0.90099009900990101,1,342.24392075761364,0.8020545585891955,0
2019,timesat_smoothing_spline,45,187,0,0.27581845270917288,0.25979125921623858,9.6096256684491976,9,0.88770053475935828,0.79679144385026734,1,387.49431056361288,0.75592088299407534,0
2020,linear_interpolation,10,242,0,0.15588381126528644,0.14385312046885551,35.958677685950413,31,0,0.98622589531680449,1,115.14225712293367,0.91403855513241083,0
2020,linear_interpolation,20,261,0,0.16568264652035153,0.14455290119392311,40.195402298850574,31,0,0.96807151979565775,1,129.83116032183889,0.90037197818813697,0
2020,linear_interpolation,30,243,0,0.17944992758032968,0.1466431281263372,45.814814814814817,31,0,0.93141289437585739,1,154.23351932588028,0.88134389493273257,0
2020,linear_interpolation,45,213,0,0.20103667200825417,0.16589850176502971,56.352112676056336,31,0,0.8779342723004695,1,197.63644592998361,0.84880780817489032,0
2020,timesat_double_logistic,10,242,0,0.2570736597778952,0.25407236790750271,144.92148760330579,151,0,0.099173553719008253,0,48.851487545669471,0.660440486044238,0
2020,timesat_double_logistic,20,261,0,0.25989322303817208,0.25541903085439482,142.36398467432952,151,0.030651340996168581,0.13537675606641122,0,76.34145105425182,0.656095295342351,0
2020,timesat_double_logistic,30,243,0,0.26472186617202809,0.25801627802224669,136.86831275720164,151,0.053497942386831275,0.16049382716049382,0,110.75810966611439,0.64739444719138606,0
2020,timesat_double_logistic,45,213,0,0.28049265508748478,0.26888385351338701,130.18779342723005,151,0.093896713615023469,0.1956181533646322,0.33333333333333331,204.35382763563567,0.62491521051025278,0
2020,timesat_smoothing_spline,10,242,0,0.20048354115715725,0.19011130567586609,140.06611570247935,151,0.057851239669421489,0.66804407713498604,0.66666666666666663,141.49656891881779,0.82314071584205528,0
2020,timesat_smoothing_spline,20,261,0,0.20955044249265775,0.1941667524891183,138.68199233716476,151,0.053639846743295021,0.65006385696040858,0.66666666666666663,159.68110137404997,0.80787543632617265,0
