year,method,duration_days,contains_reference_global_peak,n_scenarios,n_reconstruction_failures,mean_nrmse,median_nrmse,mean_absolute_global_peak_timing_error_days,median_absolute_global_peak_timing_error_days,global_peak_success_fraction_10d,mean_event_recovery_fraction_10d,median_event_recovery_fraction_10d,mean_absolute_integral_error,mean_pearson_correlation,fraction_scenarios_with_negative_values
2019,linear_interpolation,10,False,164,0,0.26192993043352158,0.2620996230591307,1.1097560975609757,1,0.99390243902439024,0.96036585365853655,1,376.79149007926833,0.81560172876773362,0
2019,linear_interpolation,10,True,10,0,0.27087703292496473,0.27842344150979231,12.699999999999999,19,0.40000000000000002,0.69999999999999996,0.5,426.63415899999984,0.81215683129953309,0
2019,linear_interpolation,20,False,187,0,0.26156559506816385,0.26153284248712833,1,1,1,0.92245989304812837,1,364.66030840106953,0.81445566816839277,0
2019,linear_interpolation,20,True,20,0,0.28715105272629371,0.28497055223366108,14.949999999999999,19,0.25,0.625,0.5,484.22893629999982,0.78770929796562927,0
2019,linear_interpolation,30,False,172,0,0.26072170476855278,0.26092602067718357,1,1,1,0.90697674418604646,1,340.74654398837208,0.81151987133685666,0
2019,linear_interpolation,30,True,30,0,0.30869051602089298,0.31844858316076502,13.266666666666667,19,0.43333333333333335,0.71666666666666667,0.5,581.78345119999972,0.76971357357967352,0
2019,linear_interpolation,45,False,142,0,0.26134439198633541,0.25999129320484837,1,1,1,0.86267605633802813,1,293.93811890845069,0.80362378207124918,0
2019,linear_interpolation,45,True,45,0,0.33910887797697364,0.31844858316076502,18.488888888888887,19,0.28888888888888886,0.57777777777777772,0.5,662.15054759999998,0.64881718749763406,0
2019,timesat_double_logistic,10,False,164,0,0.27219777064476031,0.27191842490002088,4.5182926829268295,4.5,1,0.5,0.5,520.04756468219921,0.79505914622220286,0
2019,timesat_double_logistic,10,True,10,0,0.29576833030126526,0.29882551818661302,6.1500000000000004,6,1,0.5,0.5,645.78105659079449,0.77729798260912897,0
2019,timesat_double_logistic,20,False,187,0,0.27314430733493505,0.27153391776425168,4.7754010695187166,4.5,1,0.5,0.5,494.5546141418323,0.78862904471019979,0
