scenario_id,p_seapar,coarse_smoothing,date,year,CHLF,common_support,s2_openwater_reference_candidate,common_support_segment_id,coarse_prediction
B2_2019_coarse_1000,1,1000,2019-04-17,2019,4.8965100000000001,True,True,2019_segment_1,3.8906170570922822
B2_2019_coarse_1000,1,1000,2019-04-18,2019,6.3200000000000003,True,False,2019_segment_1,3.7937838527834349
B2_2019_coarse_1000,1,1000,2019-04-19,2019,4.9500000000000002,True,False,2019_segment_1,3.6938450983585227
B2_2019_coarse_1000,1,1000,2019-04-20,2019,4.0700000000000003,True,False,2019_segment_1,3.5917529747069139
B2_2019_coarse_1000,1,1000,2019-04-21,2019,4.0899999999999999,True,False,2019_segment_1,3.4884596627179745
B2_2019_coarse_1000,1,1000,2019-04-22,2019,3.9399999999999999,True,True,2019_segment_1,3.3849173432810713
B2_2019_coarse_1000,1,1000,2019-04-23,2019,4.4000000000000004,True,False,2019_segment_1,3.2821707110712279
B2_2019_coarse_1000,1,1000,2019-04-24,2019,1.9497,True,True,2019_segment_1,3.1816345159060933
B2_2019_coarse_1000,1,1000,2019-04-25,2019,2.1053500000000001,True,False,2019_segment_1,3.084610698969307
B2_2019_coarse_1000,1,1000,2019-04-26,2019,2.5600100000000001,True,False,2019_segment_1,2.9915799117658377
B2_2019_coarse_1000,1,1000,2019-04-27,2019,2.29786,True,True,2019_segment_1,2.9028174833809879
B2_2019_coarse_1000,1,1000,2019-04-28,2019,2.7156500000000001,True,False,2019_segment_1,2.8184979166373543
B2_2019_coarse_1000,1,1000,2019-04-29,2019,2.8999700000000002,True,True,2019_segment_1,2.7383924093067127
B2_2019_coarse_1000,1,1000,2019-04-30,2019,1.86066,True,False,2019_segment_1,2.6621982625056875
B2_2019_coarse_1000,1,1000,2019-05-01,2019,1.9510099999999999,True,False,2019_segment_1,2.5897204957811168
B2_2019_coarse_1000,1,1000,2019-05-02,2019,1.7898499999999999,True,False,2019_segment_1,2.5207910582873918
B2_2019_coarse_1000,1,1000,2019-05-03,2019,1.63357,True,False,2019_segment_1,2.455241899178902
B2_2019_coarse_1000,1,1000,2019-05-04,2019,1.5651999999999999,True,False,2019_segment_1,2.3929049676100398
B2_2019_coarse_1000,1,1000,2019-05-05,2019,1.5090399999999999,True,False,2019_segment_1,2.3336122127351948
B2_2019_coarse_1000,1,1000,2019-05-06,2019,1.4016,True,False,2019_segment_1,2.2771955837087585
B2_2019_coarse_1000,1,1000,2019-05-07,2019,1.9534499999999999,True,False,2019_segment_1,2.2234870296851224
B2_2019_coarse_1000,1,1000,2019-05-08,2019,1.78077,True,False,2019_segment_1,2.172318499818676
B2_2019_coarse_1000,1,1000,2019-05-09,2019,1.83473,True,False,2019_segment_1,2.1235219432638108
B2_2019_coarse_1000,1,1000,2019-05-10,2019,1.8851,True,False,2019_segment_1,2.0769293091749175
B2_2019_coarse_1000,1,1000,2019-05-11,2019,1.9822299999999999,True,False,2019_segment_1,2.0323725467063873
B2_2019_coarse_1000,1,1000,2019-05-12,2019,1.8275399999999999,True,False,2019_segment_1,1.9896836050126114
B2_2019_coarse_1000,1,1000,2019-05-13,2019,1.88869,True,False,2019_segment_1,1.9486944332479796
B2_2019_coarse_1000,1,1000,2019-05-14,2019,2.04339,True,False,2019_segment_1,1.9092369805668838
B2_2019_coarse_1000,1,1000,2019-05-15,2019,2.25204,True,False,2019_segment_1,1.8711431961237139
B2_2019_coarse_1000,1,1000,2019-05-16,2019,2.39235,True,False,2019_segment_1,1.8342450290728616
B2_2019_coarse_1000,1,1000,2019-05-17,2019,2.24125,True,True,2019_segment_1,1.7983744285687173
B2_2019_coarse_1000,1,1000,2019-05-18,2019,2.0182099999999998,True,False,2019_segment_1,1.7634371563672684
B2_2019_coarse_1000,1,1000,2019-05-19,2019,1.8203400000000001,True,False,2019_segment_1,1.7296342246308876
B2_2019_coarse_1000,1,1000,2019-05-20,2019,1.6404700000000001,True,False,2019_segment_1,1.6972404581235438
B2_2019_coarse_1000,1,1000,2019-05-21,2019,1.46394,True,False,2019_segment_1,1.6665306816092067
B2_2019_coarse_1000,1,1000,2019-05-22,2019,1.2332099999999999,True,False,2019_segment_1,1.6377797198518449
B2_2019_coarse_1000,1,1000,2019-05-23,2019,0.78368499999999996,True,False,2019_segment_1,1.6112623976154279
B2_2019_coarse_1000,1,1000,2019-05-24,2019,0.62456100000000003,True,False,2019_segment_1,1.5872535396639245
B2_2019_coarse_1000,1,1000,2019-05-25,2019,0.77175099999999996,True,False,2019_segment_1,1.5660279707613038
B2_2019_coarse_1000,1,1000,2019-05-26,2019,0.81550999999999996,True,False,2019_segment_1,1.5478605156715355
B2_2019_coarse_1000,1,1000,2019-05-27,2019,0.80755399999999999,True,False,2019_segment_1,1.5330259991585879
B2_2019_coarse_1000,1,1000,2019-05-28,2019,1.3580099999999999,True,False,2019_segment_1,1.5217992459864307
B2_2019_coarse_1000,1,1000,2019-05-29,2019,1.14049,True,True,2019_segment_1,1.5144550809190327
B2_2019_coarse_1000,1,1000,2019-05-30,2019,1.24631,True,False,2019_segment_1,1.5112060012160573
B2_2019_coarse_1000,1,1000,2019-05-31,2019,1.1992799999999999,True,False,2019_segment_1,1.5120151941199449
