year,scenario_id,p_seapar,mapped_coarse_smoothing,full_extended_index,central_year_index,peak_time,common_support_segment_id,inside_frozen_common_support
2019,B1_2019_p_seapar_0.0,0,1000,443,78,2019-03-19,,False
2019,B1_2019_p_seapar_0.0,0,1000,598,233,2019-08-21,2019_segment_1,True
2019,B1_2019_p_seapar_0.1,0.10000000000000001,5900,444,79,2019-03-20,,False
2019,B1_2019_p_seapar_0.1,0.10000000000000001,5900,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.2,0.20000000000000001,10800,446,81,2019-03-22,,False
2019,B1_2019_p_seapar_0.2,0.20000000000000001,10800,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.3,0.29999999999999999,15700,449,84,2019-03-25,,False
2019,B1_2019_p_seapar_0.3,0.29999999999999999,15700,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.4,0.40000000000000002,20600,454,89,2019-03-30,,False
2019,B1_2019_p_seapar_0.4,0.40000000000000002,20600,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.5,0.5,25500,459,94,2019-04-04,,False
2019,B1_2019_p_seapar_0.5,0.5,25500,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.6,0.59999999999999998,30400,464,99,2019-04-09,,False
2019,B1_2019_p_seapar_0.6,0.59999999999999998,30400,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.7,0.69999999999999996,35300,470,105,2019-04-15,,False
2019,B1_2019_p_seapar_0.7,0.69999999999999996,35300,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.8,0.80000000000000004,40200,476,111,2019-04-21,2019_segment_1,True
2019,B1_2019_p_seapar_0.8,0.80000000000000004,40200,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_0.9,0.90000000000000002,45100,599,234,2019-08-22,2019_segment_1,True
2019,B1_2019_p_seapar_1.0,1,50000,599,234,2019-08-22,2019_segment_1,True
2020,B1_2020_p_seapar_0.0,0,1000,467,102,2020-04-11,2020_segment_2,True
2020,B1_2020_p_seapar_0.0,0,1000,522,157,2020-06-05,2020_segment_2,True
2020,B1_2020_p_seapar_0.0,0,1000,586,221,2020-08-08,2020_segment_2,True
2020,B1_2020_p_seapar_0.0,0,1000,620,255,2020-09-11,2020_segment_2,True
2020,B1_2020_p_seapar_0.0,0,1000,702,337,2020-12-02,,False
2020,B1_2020_p_seapar_0.1,0.10000000000000001,5900,467,102,2020-04-11,2020_segment_2,True
