event_id,year,method,p_seapar,mapped_coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2019_E01,2019,B1_2019_p_seapar_0.9,0.90000000000000002,45100,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.915287017822266,-38.979612982177734,38.979612982177734,1.3647584151313426,ok,,B1_2019_p_seapar_0.9
ERK_2019_E02,2019,B1_2019_p_seapar_0.9,0.90000000000000002,45100,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2019_p_seapar_0.9
ERK_2019_E01,2019,B1_2019_p_seapar_1.0,1,50000,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-21T12:00:00,-4.5,4.5,True,True,True,21.558717727661133,-39.336182272338867,39.336182272338867,1.3772426575877084,ok,,B1_2019_p_seapar_1.0
ERK_2019_E02,2019,B1_2019_p_seapar_1.0,1,50000,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2019_p_seapar_1.0
ERK_2020_E01,2020,B1_2020_p_seapar_0.0,0,1000,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,matched,,15,False,REC_2020_P001,2020-04-12T00:00:00,-6,6,False,True,True,18.485252380371094,-3.666847619628907,3.666847619628907,0.17418496359938315,ok,,B1_2020_p_seapar_0.0
ERK_2020_E02,2020,B1_2020_p_seapar_0.0,0,1000,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P002,2020-08-10T00:00:00,1,1,True,True,True,13.552470207214355,-25.401129792785646,25.401129792785646,1.2066208709232764,ok,,B1_2020_p_seapar_0.0
ERK_2020_E03,2020,B1_2020_p_seapar_0.0,0,1000,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P003,2020-09-10T00:00:00,1,1,True,True,True,16.269735336303711,-26.462164663696292,26.462164663696292,1.2570228345549015,ok,,B1_2020_p_seapar_0.0
ERK_2020_E01,2020,B1_2020_p_seapar_0.1,0.10000000000000001,5900,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.1
ERK_2020_E02,2020,B1_2020_p_seapar_0.1,0.10000000000000001,5900,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B1_2020_p_seapar_0.1
ERK_2020_E03,2020,B1_2020_p_seapar_0.1,0.10000000000000001,5900,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P001,2020-08-29T00:00:00,-11,11,False,False,True,13.452101707458496,-29.279798292541507,29.279798292541507,1.3908678867598443,ok,,B1_2020_p_seapar_0.1
