event_id,year,method,p_seapar,coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2019_E02,2019,B2_2019_coarse_3,1,3,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2019_coarse_3
ERK_2019_E01,2019,B2_2019_coarse_1,1,1,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P001,2019-08-19,-7,7,False,True,True,27.940744400024414,-32.954155599975586,32.954155599975586,1.153794451196259,ok,,B2_2019_coarse_1
ERK_2019_E02,2019,B2_2019_coarse_1,1,1,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,matched,,15,False,REC_2019_P002,2019-10-27,15,15,False,False,True,3.9810011386871338,-7.5263988613128667,7.5263988613128667,0.26351508893400571,ok,,B2_2019_coarse_1
ERK_2019_E01,2019,B2_2019_coarse_0,1,0,2019_segment_1,2019-08-26,60.8949,28.561547999999977,matched,,15,False,REC_2019_P002,2019-08-17,-9,9,False,True,True,23.006124496459961,-37.888775503540039,37.888775503540039,1.3265658956419333,ok,,B2_2019_coarse_0
ERK_2019_E02,2019,B2_2019_coarse_0,1,0,2019_segment_1,2019-10-12,11.507400000000001,28.561547999999977,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2019_coarse_0
ERK_2020_E01,2020,B2_2020_coarse_1000,1,1000,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,matched,,15,False,REC_2020_P001,2020-04-12,-6,6,False,True,True,18.485252380371094,-3.666847619628907,3.666847619628907,0.17418496359938315,ok,,B2_2020_coarse_1000
ERK_2020_E02,2020,B2_2020_coarse_1000,1,1000,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P002,2020-08-10,1,1,True,True,True,13.552470207214355,-25.401129792785646,25.401129792785646,1.2066208709232764,ok,,B2_2020_coarse_1000
ERK_2020_E03,2020,B2_2020_coarse_1000,1,1000,2020_segment_2,2020-09-09,42.731900000000003,21.051459000000001,matched,,15,False,REC_2020_P003,2020-09-10,1,1,True,True,True,16.269735336303711,-26.462164663696292,26.462164663696292,1.2570228345549015,ok,,B2_2020_coarse_1000
ERK_2020_E01,2020,B2_2020_coarse_300,1,300,2020_segment_2,2020-04-18,22.152100000000001,21.051459000000001,matched,,15,False,REC_2020_P001,2020-04-12,-6,6,False,True,True,18.565225601196289,-3.5868743988037117,3.5868743988037117,0.17038602401874908,ok,,B2_2020_coarse_300
ERK_2020_E02,2020,B2_2020_coarse_300,1,300,2020_segment_2,2020-08-09,38.953600000000002,21.051459000000001,matched,,15,False,REC_2020_P002,2020-08-10,1,1,True,True,True,13.484460830688477,-25.469139169311525,25.469139169311525,1.2098514962460096,ok,,B2_2020_coarse_300
