year,production_final_curve_sha256,diagnostic_final_curve_sha256,final_curve_byte_equal,maximum_absolute_final_curve_difference,frozen_saved_common_support_curve_sha256,diagnostic_common_support_curve_sha256,frozen_saved_common_support_curve_byte_equal,maximum_absolute_frozen_saved_curve_difference,actual_internal_coarse_smoothing
2019,368672adf3b5ea8ccac7b349e934c430c8adde9dbea0a3f6f614685e0c5dbfb5,368672adf3b5ea8ccac7b349e934c430c8adde9dbea0a3f6f614685e0c5dbfb5,True,0,58a5092acbf699ef826cacc11ab2a9f8ed27eaef2ea08c5216875a18a1cee6d5,58a5092acbf699ef826cacc11ab2a9f8ed27eaef2ea08c5216875a18a1cee6d5,True,0,50000
2020,200dab731220b3ccc4907b2c6fe9a2358fa55dd065acc2333170bc84c5176d06,200dab731220b3ccc4907b2c6fe9a2358fa55dd065acc2333170bc84c5176d06,True,0,26401e08670c42d795027f9857f25917bb99cd7fd89f9505918ad73d083fe93d,26401e08670c42d795027f9857f25917bb99cd7fd89f9505918ad73d083fe93d,True,0,50000
2021,80b21e5b991053186c8c2963178b7650d6560cff856939e6c95b6f31aeb12e50,80b21e5b991053186c8c2963178b7650d6560cff856939e6c95b6f31aeb12e50,True,0,6d49f548faa3387a57fefad14ef16d697fb42534cefd93d9fea09bcec744a6b8,6d49f548faa3387a57fefad14ef16d697fb42534cefd93d9fea09bcec744a6b8,True,0,50000
2022,07e3890d16e561d02fd313777640c25594632adf0b93689cf9f5f74093b6b1da,07e3890d16e561d02fd313777640c25594632adf0b93689cf9f5f74093b6b1da,True,0,57c3d82ad4326be456c75ceb52aafa0b25ed65918baa956784af3639cad8c62c,57c3d82ad4326be456c75ceb52aafa0b25ed65918baa956784af3639cad8c62c,True,0,50000
2023,73ba31513f394faff141069432b6cf6cffb3dc2e03def6bd76d03e22dd0d8044,73ba31513f394faff141069432b6cf6cffb3dc2e03def6bd76d03e22dd0d8044,True,0,767c99a5f33fcf2630a1dc2c520283ae798f120a1520ed76b864d8f5df39eca5,767c99a5f33fcf2630a1dc2c520283ae798f120a1520ed76b864d8f5df39eca5,True,0,50000
2024,fc56dfe243081566aed8240ac88f240077874fc2fb1d35ea1929ade8f30ac062,fc56dfe243081566aed8240ac88f240077874fc2fb1d35ea1929ade8f30ac062,True,0,e5c85394708cf62ad7a3bb80a2fc5154a454849f8bc0e41fb31fb33e65868426,e5c85394708cf62ad7a3bb80a2fc5154a454849f8bc0e41fb31fb33e65868426,True,0,50000
2025,04e9aa5a03132d10111afd4b95b68fe622c7cd89cf1c2beda99fbe01e0bfcd7b,04e9aa5a03132d10111afd4b95b68fe622c7cd89cf1c2beda99fbe01e0bfcd7b,True,0,75f37172dc0d8545a763794197e5c8f592a35031f4bbe91a9b9f9ea2252b6351,75f37172dc0d8545a763794197e5c8f592a35031f4bbe91a9b9f9ea2252b6351,True,0,50000
