year,scenario_id,p_seapar,mapped_coarse_smoothing,reconstruction_status,mae,rmse,nrmse,pearson_correlation,n_pointwise_evaluation_dates,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,reconstruction_failure_reason,actual_internal_coarse_smoothing,base_value,coarse_error_flag,raw_peak_count_full_extended,filtered_peak_count_full_extended,initialized_season_count_full_extended,filtered_peak_count_central_year,filtered_peak_count_common_support,filtered_peak_dates_common_support,final_numseason_output,reference_integral,reconstruction_integral,signed_integral_error,absolute_integral_error,relative_integral_error,n_reference_events,n_matched_events,event_recovery_5d,event_recovery_10d,event_recovery_15d
2019,B1_2019_p_seapar_0.0,0,1000,ok,3.6404100928499243,7.3884622087138965,0.25868563597161831,0.82626369235256036,198,1.645374059677124,0,0,,1000,0.95194399356842041,0,8,5,5,2,1,2019-08-21,1,1870.269949,1415.18137550354,-455.08857349645996,455.08857349645996,-0.2433277472804328,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.1,0.10000000000000001,5900,ok,3.6868507038415088,7.3799982736522303,0.25838929576408942,0.82651333825307949,198,1.5555731058120728,0,0,,5900,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1416.8294228315353,-453.44052616846466,453.44052616846466,-0.24244656575427051,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.2,0.20000000000000001,10800,ok,3.7048571956476546,7.3968664071364802,0.25897988467349481,0.82504714386765665,198,1.5015746355056763,0,0,,10800,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1428.5292762517929,-441.74067274820709,441.74067274820709,-0.23619086270642264,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.3,0.29999999999999999,15700,ok,3.7851689725868152,7.4305501529486069,0.26015922361591232,0.82509762405686016,198,1.5501188039779663,0,0,,15700,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1397.1177508831024,-473.15219811689758,473.15219811689758,-0.25298604534061175,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.4,0.40000000000000002,20600,ok,3.9026596691202879,7.4781519343221454,0.26182586232098315,0.82156495566845777,198,1.317896842956543,0,0,,20600,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1384.0212405323982,-486.24870846760177,486.24870846760177,-0.25998851595064676,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.5,0.5,25500,ok,3.9935352922131311,7.5283595349958849,0.26358373625252701,0.81841321599747729,198,1.0787414312362671,0,0,,25500,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1369.9641185998917,-500.30583040010833,500.30583040010833,-0.26750460844842905,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.6,0.59999999999999998,30400,ok,4.0367916996474209,7.5642453990613667,0.26484017599681126,0.81530580646309314,198,1.0301626920700073,0,0,,30400,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1378.3683254122734,-491.90162358772659,491.90162358772659,-0.26301102888956623,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.7,0.69999999999999996,35300,ok,4.0625266896710244,7.5848747605833724,0.26556245342806273,0.81302909699927051,198,1.0198004245758057,0,0,,35300,0.95194399356842041,0,5,5,5,2,1,2019-08-22,1,1870.269949,1392.0254878401756,-478.24446115982437,478.24446115982437,-0.25570878760872628,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.8,0.80000000000000004,40200,ok,4.0907564499627691,7.6022979837499163,0.26617247719731163,0.8110469387244803,198,0.99351894855499268,0,0,,40200,0.95194399356842041,0,5,5,5,2,2,2019-04-21;2019-08-22,1,1870.269949,1403.1633414626122,-467.10660753738784,467.10660753738784,-0.24975357583387436,2,1,0.5,0.5,0.5
2019,B1_2019_p_seapar_0.9,0.90000000000000002,45100,ok,4.2085618819321517,7.7309847831697027,0.27067807330224919,0.8047022855265662,198,0.95220118761062622,0,0,,45100,0.95194399356842041,0,3,3,3,1,1,2019-08-22,1,1870.269949,1316.5148105323315,-553.75513846766853,553.75513846766853,-0.2960830006191093,2,1,0.5,0.5,0.5
