year,scenario_id,coarse_smoothing,event_id,reference_event_time,coarse_peak_exists_within_15d,nearest_coarse_peak_time,nearest_coarse_peak_absolute_distance_days,final_event_status,final_double_logistic_matched,final_double_logistic_event_time,final_double_logistic_signed_timing_error_days,final_double_logistic_absolute_timing_error_days,mechanism_case
2021,B2_2021_coarse_3,3,ERK_2021_E02,2021-08-09,True,2021-08-08,1,matched,True,2021-08-06,-3,3,coarse_and_final_peak_within_15d
2021,B2_2021_coarse_1,1,ERK_2021_E01,2021-04-08,True,2021-04-07,1,matched,True,2021-04-07,-1,1,coarse_and_final_peak_within_15d
2021,B2_2021_coarse_1,1,ERK_2021_E02,2021-08-09,True,2021-08-08,1,matched,True,2021-08-09,0,0,coarse_and_final_peak_within_15d
2021,B2_2021_coarse_0,0,ERK_2021_E01,2021-04-08,True,2021-04-07,1,matched,True,2021-04-05,-3,3,coarse_and_final_peak_within_15d
2021,B2_2021_coarse_0,0,ERK_2021_E02,2021-08-09,True,2021-08-08,1,matched,True,2021-08-14,5,5,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_1000,1000,ERK_2022_E01,2022-08-07,True,2022-08-03,4,matched,True,2022-08-04,-3,3,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_1000,1000,ERK_2022_E02,2022-09-26,False,2022-08-03,54,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2022,B2_2022_coarse_300,300,ERK_2022_E01,2022-08-07,True,2022-08-02,5,matched,True,2022-08-04,-3,3,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_300,300,ERK_2022_E02,2022-09-26,False,2022-08-02,55,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2022,B2_2022_coarse_100,100,ERK_2022_E01,2022-08-07,True,2022-08-01,6,matched,True,2022-08-04,-3,3,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_100,100,ERK_2022_E02,2022-09-26,False,2022-08-01,56,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2022,B2_2022_coarse_30,30,ERK_2022_E01,2022-08-07,True,2022-07-31,7,matched,True,2022-08-04,-3,3,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_30,30,ERK_2022_E02,2022-09-26,False,2022-07-31,57,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2022,B2_2022_coarse_10,10,ERK_2022_E01,2022-08-07,True,2022-08-01,6,matched,True,2022-08-02,-5,5,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_10,10,ERK_2022_E02,2022-09-26,False,2022-08-01,56,matched,True,2022-10-07,11,11,final_fit_peak_without_nearby_filtered_coarse_peak
2022,B2_2022_coarse_3,3,ERK_2022_E01,2022-08-07,True,2022-08-03,4,matched,True,2022-08-03,-4,4,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_3,3,ERK_2022_E02,2022-09-26,False,2022-08-03,54,matched,True,2022-10-08,12,12,final_fit_peak_without_nearby_filtered_coarse_peak
2022,B2_2022_coarse_1,1,ERK_2022_E01,2022-08-07,True,2022-08-03,4,matched,True,2022-08-04,-3,3,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_1,1,ERK_2022_E02,2022-09-26,False,2022-08-19,38,matched,True,2022-10-09,13,13,final_fit_peak_without_nearby_filtered_coarse_peak
2022,B2_2022_coarse_0,0,ERK_2022_E01,2022-08-07,True,2022-08-04,3,matched,True,2022-08-03,-4,4,coarse_and_final_peak_within_15d
2022,B2_2022_coarse_0,0,ERK_2022_E02,2022-09-26,False,2022-08-20,37,matched,True,2022-10-08,12,12,final_fit_peak_without_nearby_filtered_coarse_peak
2023,B2_2023_coarse_1000,1000,ERK_2023_E01,2023-04-23,False,2023-07-29,97,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_1000,1000,ERK_2023_E02,2023-07-31,True,2023-07-29,2,matched,True,2023-08-06,6,6,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_1000,1000,ERK_2023_E03,2023-09-01,False,2023-07-29,34,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_300,300,ERK_2023_E01,2023-04-23,False,2023-07-24,92,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_300,300,ERK_2023_E02,2023-07-31,True,2023-07-24,7,matched,True,2023-07-29,-2,2,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_300,300,ERK_2023_E03,2023-09-01,False,2023-07-24,39,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_100,100,ERK_2023_E01,2023-04-23,False,2023-07-22,90,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_100,100,ERK_2023_E02,2023-07-31,True,2023-07-22,9,matched,True,2023-07-29,-2,2,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_100,100,ERK_2023_E03,2023-09-01,False,2023-07-22,41,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_30,30,ERK_2023_E01,2023-04-23,False,2023-07-22,90,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_30,30,ERK_2023_E02,2023-07-31,True,2023-07-22,9,matched,True,2023-07-29,-2,2,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_30,30,ERK_2023_E03,2023-09-01,False,2023-07-22,41,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_10,10,ERK_2023_E01,2023-04-23,True,2023-04-22,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2023,B2_2023_coarse_10,10,ERK_2023_E02,2023-07-31,True,2023-07-21,10,matched,True,2023-07-29,-2,2,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_10,10,ERK_2023_E03,2023-09-01,False,2023-07-21,42,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_3,3,ERK_2023_E01,2023-04-23,True,2023-04-23,0,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2023,B2_2023_coarse_3,3,ERK_2023_E02,2023-07-31,True,2023-07-21,10,matched,True,2023-07-28,-3,3,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_3,3,ERK_2023_E03,2023-09-01,False,2023-07-21,42,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_1,1,ERK_2023_E01,2023-04-23,True,2023-04-23,0,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2023,B2_2023_coarse_1,1,ERK_2023_E02,2023-07-31,True,2023-07-21,10,matched,True,2023-07-28,-3,3,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_1,1,ERK_2023_E03,2023-09-01,False,2023-07-21,42,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2023,B2_2023_coarse_0,0,ERK_2023_E01,2023-04-23,True,2023-04-24,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2023,B2_2023_coarse_0,0,ERK_2023_E02,2023-07-31,True,2023-07-21,10,matched,True,2023-07-28,-3,3,coarse_and_final_peak_within_15d
2023,B2_2023_coarse_0,0,ERK_2023_E03,2023-09-01,False,2023-07-21,42,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2024,B2_2024_coarse_1000,1000,ERK_2024_E01,2024-07-19,False,2024-09-02,45,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2024,B2_2024_coarse_1000,1000,ERK_2024_E02,2024-08-31,True,2024-09-02,2,matched,True,2024-08-31,0,0,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_300,300,ERK_2024_E01,2024-07-19,False,2024-09-04,47,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2024,B2_2024_coarse_300,300,ERK_2024_E02,2024-08-31,True,2024-09-04,4,matched,True,2024-08-31,0,0,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_100,100,ERK_2024_E01,2024-07-19,True,2024-07-18,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_100,100,ERK_2024_E02,2024-08-31,True,2024-09-05,5,matched,True,2024-09-02,2,2,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_30,30,ERK_2024_E01,2024-07-19,True,2024-07-17,2,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_30,30,ERK_2024_E02,2024-08-31,True,2024-08-20,11,matched,True,2024-08-21,-10,10,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_10,10,ERK_2024_E01,2024-07-19,True,2024-07-17,2,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_10,10,ERK_2024_E02,2024-08-31,True,2024-08-19,12,matched,True,2024-08-22,-9,9,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_3,3,ERK_2024_E01,2024-07-19,True,2024-07-18,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_3,3,ERK_2024_E02,2024-08-31,True,2024-08-20,11,matched,True,2024-08-23,-8,8,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_1,1,ERK_2024_E01,2024-07-19,True,2024-07-18,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_1,1,ERK_2024_E02,2024-08-31,True,2024-08-20,11,matched,True,2024-08-23,-8,8,coarse_and_final_peak_within_15d
2024,B2_2024_coarse_0,0,ERK_2024_E01,2024-07-19,True,2024-07-18,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2024,B2_2024_coarse_0,0,ERK_2024_E02,2024-08-31,False,2024-08-13,18,matched,True,2024-08-21,-10,10,final_fit_peak_without_nearby_filtered_coarse_peak
2025,B2_2025_coarse_1000,1000,ERK_2025_E01,2025-03-30,False,2025-08-15,138,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_1000,1000,ERK_2025_E02,2025-07-14,False,2025-08-15,32,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_1000,1000,ERK_2025_E03,2025-08-28,True,2025-08-15,13,matched,True,2025-08-14,-14,14,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_1000,1000,ERK_2025_E04,2025-10-14,False,2025-08-15,60,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_300,300,ERK_2025_E01,2025-03-30,False,2025-08-13,136,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_300,300,ERK_2025_E02,2025-07-14,False,2025-08-13,30,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_300,300,ERK_2025_E03,2025-08-28,True,2025-08-13,15,matched,True,2025-08-14,-14,14,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_300,300,ERK_2025_E04,2025-10-14,False,2025-08-13,62,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_100,100,ERK_2025_E01,2025-03-30,False,2025-04-24,25,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_100,100,ERK_2025_E02,2025-07-14,False,2025-08-09,26,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_100,100,ERK_2025_E03,2025-08-28,True,2025-08-23,5,matched,True,2025-08-17,-11,11,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_100,100,ERK_2025_E04,2025-10-14,False,2025-08-23,52,matched,True,2025-10-20,6,6,final_fit_peak_without_nearby_filtered_coarse_peak
2025,B2_2025_coarse_30,30,ERK_2025_E01,2025-03-30,True,2025-03-25,5,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_30,30,ERK_2025_E02,2025-07-14,False,2025-08-07,24,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_30,30,ERK_2025_E03,2025-08-28,True,2025-08-26,2,matched,True,2025-08-15,-13,13,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_30,30,ERK_2025_E04,2025-10-14,False,2025-08-26,49,matched,True,2025-10-22,8,8,final_fit_peak_without_nearby_filtered_coarse_peak
2025,B2_2025_coarse_10,10,ERK_2025_E01,2025-03-30,True,2025-03-26,4,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_10,10,ERK_2025_E02,2025-07-14,True,2025-07-15,1,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_10,10,ERK_2025_E03,2025-08-28,True,2025-08-26,2,matched,True,2025-08-15,-13,13,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_10,10,ERK_2025_E04,2025-10-14,False,2025-08-26,49,matched,True,2025-10-20,6,6,final_fit_peak_without_nearby_filtered_coarse_peak
2025,B2_2025_coarse_3,3,ERK_2025_E01,2025-03-30,True,2025-03-26,4,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_3,3,ERK_2025_E02,2025-07-14,True,2025-07-16,2,matched,True,2025-07-04,-10,10,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_3,3,ERK_2025_E03,2025-08-28,True,2025-08-26,2,matched,True,2025-08-16,-12,12,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_3,3,ERK_2025_E04,2025-10-14,False,2025-08-26,49,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_1,1,ERK_2025_E01,2025-03-30,True,2025-03-26,4,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_1,1,ERK_2025_E02,2025-07-14,True,2025-07-14,0,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_1,1,ERK_2025_E03,2025-08-28,True,2025-08-26,2,matched,True,2025-08-15,-13,13,coarse_and_final_peak_within_15d
2025,B2_2025_coarse_1,1,ERK_2025_E04,2025-10-14,False,2025-08-26,49,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
2025,B2_2025_coarse_0,0,ERK_2025_E01,2025-03-30,True,2025-03-26,4,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_0,0,ERK_2025_E02,2025-07-14,True,2025-07-14,0,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_0,0,ERK_2025_E03,2025-08-28,True,2025-08-26,2,missed_no_peak_within_15d,False,,,,final_double_logistic_fitting_bottleneck
2025,B2_2025_coarse_0,0,ERK_2025_E04,2025-10-14,False,2025-08-26,49,missed_no_peak_within_15d,False,,,,coarse_season_detection_bottleneck
