date,year,window_size,window_pixel_count,grid_resolution_m,analysis_status,l1c_product_id,l2a_product_id,l1c_failure_reason,l2a_failure_reason,L1C_B4_reflectance_median,L2A_B4_reflectance_median,L1C_minus_L2A_B4_reflectance_median,L1C_B5_reflectance_median,L2A_B5_reflectance_median,L1C_minus_L2A_B5_reflectance_median,L1C_B6_reflectance_median,L2A_B6_reflectance_median,L1C_minus_L2A_B6_reflectance_median,L1C_NDCI_median,L2A_NDCI_median,L1C_minus_L2A_NDCI_median,L1C_MCI_median,L2A_MCI_median,L1C_minus_L2A_MCI_median,comparison_status
2019-04-17,2019,1,1,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,,,0.024625,0.0025,0.022125000000000002,0.0209,0.0015,0.019399999999999997,0.018,0.0006,0.0174,-0.0818231740801758,-0.25,0.1681768259198242,-0.00019166666666666984,1.3333333333333513e-05,-0.00020500000000000336,available
2019-04-17,2019,3,9,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,,,0.025175,0.0032,0.021974999999999998,0.0211,0.0018,0.0193,0.0178,0.0003,0.017499999999999998,-0.08065366367949392,-0.18518518518518517,0.10453152150569126,3.333333333333313e-05,0.00027999999999999987,-0.00024666666666666674,available
2019-04-17,2019,5,25,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,,,0.025175,0.0032,0.021974999999999998,0.0211,0.0018,0.0193,0.0178,0.0003,0.017499999999999998,-0.0818231740801758,-0.25,0.1681768259198242,-7.499999999999868e-05,0.00020666666666666663,-0.0002816666666666653,available
2019-04-17,2019,7,49,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,,,0.02505,0.003,0.02205,0.0211,0.0018,0.0193,0.018,0.0005,0.017499999999999998,-0.08410200759631035,-0.25000000000000006,0.1658979924036897,-7.499999999999868e-05,0.00019999999999999987,-0.00027499999999999855,available
2019-04-17,2019,11,121,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,,,0.02505,0.0031,0.02195,0.0212,0.0018,0.0194,0.018,0.0005,0.017499999999999998,-0.08407079646017701,-0.2558139534883721,0.1717431570281951,-0.00013833333333333406,6.66666666666667e-05,-0.00020500000000000075,available
2019-04-22,2019,1,1,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,,,0.1127,0.1054,0.007300000000000001,0.1175,0.1197,-0.0022000000000000075,0.1341,0.1346,-0.0005000000000000004,0.0208514335360556,0.06352732119058199,-0.042675887654526394,-0.006613333333333332,-0.0012733333333333208,-0.005340000000000011,available
2019-04-22,2019,3,9,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,,,0.1127,0.1054,0.007300000000000001,0.1175,0.1197,-0.0022000000000000075,0.1354,0.1362,-0.0007999999999999952,0.02514121165134566,0.06920415224913494,-0.04406294059778928,-0.007004999999999997,-0.0018466666666666631,-0.005158333333333334,available
2019-04-22,2019,5,25,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,,,0.113775,0.1068,0.006974999999999995,0.1194,0.1223,-0.0029,0.1357,0.1365,-0.0008000000000000229,0.022339862361037594,0.06477906477906478,-0.04243920241802719,-0.007060000000000011,-0.002026666666666649,-0.005033333333333362,available
2019-04-22,2019,7,49,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,,,0.113775,0.1068,0.006974999999999995,0.1192,0.122,-0.002799999999999997,0.1358,0.1371,-0.0012999999999999956,0.022106901920083015,0.06477906477906478,-0.04267216285898177,-0.006736666666666655,-0.0015733333333333432,-0.0051633333333333115,available
2019-04-22,2019,11,121,20,DESCRIPTIVE_NO_SCIENTIFIC_RANKING,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,,,0.11165,0.1042,0.007449999999999998,0.1171,0.1196,-0.0025000000000000022,0.1347,0.1357,-0.0010000000000000009,0.020893603342976554,0.06565656565656562,-0.04476296231358907,-0.006370000000000001,-0.0012466666666666598,-0.005123333333333341,available
