product_level,year,window_size,metric,analysis_status,n_records,n_records_with_valid_fraction,n_records_with_spatial_median,n_records_unavailable,n_records_with_any_valid_pixel,mean_valid_pixel_fraction,median_valid_pixel_fraction,median_of_product_medians,mean_of_product_medians,minimum_product_median,maximum_product_median
L1C,2022,7,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,38,38,36,0,36,0.9274973147153599,1.0,0.0387625,0.0541875,0.025175,0.2127875
L1C,2022,7,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,38,38,36,0,36,0.9274973147153599,1.0,0.03185,0.04935138888888889,0.0213,0.2057
L1C,2022,7,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,38,38,36,0,36,0.9274973147153599,1.0,0.031549999999999995,0.047122222222222225,0.0201,0.19574999999999998
L1C,2022,7,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,38,38,36,0,36,0.9274973147153599,1.0,-0.06483290462041238,-0.0626773079672251,-0.11679091231806886,-0.002122162325893448
L1C,2022,7,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,38,38,36,0,36,0.9274973147153599,1.0,-0.0009750000000000036,-0.001087291666666665,-0.0058474999999999985,0.004793333333333344
L1C,2023,1,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9166666666666666,1.0,0.038775,0.04660681818181818,0.026325,0.100975
L1C,2023,1,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9166666666666666,1.0,0.0354,0.04221818181818182,0.023,0.0938
L1C,2023,1,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9166666666666666,1.0,0.0369,0.04055454545454545,0.02,0.0962
L1C,2023,1,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9166666666666666,1.0,-0.05203190277250292,-0.053875527241362825,-0.10853835021707674,-0.018015853951477315
L1C,2023,1,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9166666666666666,1.0,-0.0009083333333333339,-0.0011607575757575756,-0.0046283333333333315,0.0025250000000000133
L1C,2023,11,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8755739210284665,1.0,0.0410625,0.052964705882352935,0.02645,0.25375
L1C,2023,11,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8755739210284665,1.0,0.0374,0.048286764705882355,0.0236,0.2373
L1C,2023,11,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8755739210284665,1.0,0.036699999999999997,0.04594264705882353,0.02,0.2142
L1C,2023,11,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8755739210284665,1.0,-0.052250855214631284,-0.05254414715556505,-0.0965881787602114,-0.01769345555318696
L1C,2023,11,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,34,0,34,0.8755739210284665,1.0,-0.000746666666666668,-0.0009249509803921576,-0.0044766666666666705,0.005621666666666664
L1C,2023,3,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,36,36,33,0,33,0.9104938271604939,1.0,0.039025,0.04673636363636364,0.026125,0.101275
