product_level,window_size,metric,analysis_status,n_records,n_records_with_valid_fraction,n_records_with_spatial_median,n_records_unavailable,n_records_with_any_valid_pixel,mean_valid_pixel_fraction,median_valid_pixel_fraction,median_of_product_medians,mean_of_product_medians,minimum_product_median,maximum_product_median
,3,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,3,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,3,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,3,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,3,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,5,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,5,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,5,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,5,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,5,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,7,B4_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,7,B5_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,7,B6_reflectance,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,7,NDCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
,7,MCI,SECONDARY_EXPLORATORY_PRIMARY_3X3_UNCHANGED,619,0,0,619,0,,,,,,
