record_type,label,role,latitude,longitude,coordinate_source_for_matchup,coordinate_qc,accepted_for_polygon,reason,rule_id,field_source_relative_path,field_source_sha256,metric_x,metric_y,metric_crs,vertex_count,area_m2,area_km2,buffer_m,clipped_to_geometry,accepted_point_count,excluded_point_count,nominal_anchor_latitude,nominal_anchor_longitude,nominal_is_vertex,nominal_inside,tuned_from_performance
source_point,2018-06-25,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2018-07-09,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2018-07-23,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2018-08-06,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2018-08-20,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2018-09-03,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2019-05-08,field_sampling_coordinate,55.67508333333333,13.609333333333334,measured_GPS,ok,True,measured GPS with coordinate_qc ok,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2019-05-15,field_sampling_coordinate,55.67378333333333,13.603166666666667,measured_GPS,ok,True,measured GPS with coordinate_qc ok,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2019-05-21,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
source_point,2019-05-29,field_sampling_coordinate,,,paper_nominal_station,no measured GPS for this date,False,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,vombsjon_fixed_pelagic_hull_v1.1,data/sources/vombsjon/Vombsjon_S2_field_matchup_master.csv,115f0ae9dd3545f889c86e2cb0875ef69107db4038dfdb0772fd2e57f6281d37,,,,,,,,,,,,,,,
