product_id,product_level,source_relative_path,platform,sensing_datetime_utc,acquisition_date,year,tile_id,relative_orbit,processing_baseline,generation_time_utc,product_uri,metadata_tile_id,acquisition_metadata_complete,band_asset_count,qa_asset_count,scl_asset_count,B4_raster_count,B5_raster_count,B6_raster_count,discovery_status
S2A_MSIL1C_20170107T102401_N0500_R065_T33UVB_20230915T190258,L1C,S2A_MSIL1C_20170107T102401_N0500_R065_T33UVB_20230915T190258.SAFE,S2A,2017-01-07T10:24:01Z,2017-01-07,2017,T33UVB,65,N0500,2023-09-15T19:02:58Z,S2A_MSIL1C_20170107T102401_N0500_R065_T33UVB_20230915T190258.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170110T103411_N0500_R108_T33UVB_20230918T053622,L1C,S2A_MSIL1C_20170110T103411_N0500_R108_T33UVB_20230918T053622.SAFE,S2A,2017-01-10T10:34:11Z,2017-01-10,2017,T33UVB,108,N0500,2023-09-18T05:36:22Z,S2A_MSIL1C_20170110T103411_N0500_R108_T33UVB_20230918T053622.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170127T102301_N0500_R065_T33UVB_20230921T074349,L1C,S2A_MSIL1C_20170127T102301_N0500_R065_T33UVB_20230921T074349.SAFE,S2A,2017-01-27T10:23:01Z,2017-01-27,2017,T33UVB,65,N0500,2023-09-21T07:43:49Z,S2A_MSIL1C_20170127T102301_N0500_R065_T33UVB_20230921T074349.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170130T103251_N0500_R108_T33UVB_20230925T112659,L1C,S2A_MSIL1C_20170130T103251_N0500_R108_T33UVB_20230925T112659.SAFE,S2A,2017-01-30T10:32:51Z,2017-01-30,2017,T33UVB,108,N0500,2023-09-25T11:26:59Z,S2A_MSIL1C_20170130T103251_N0500_R108_T33UVB_20230925T112659.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170206T102211_N0500_R065_T33UVB_20230919T011521,L1C,S2A_MSIL1C_20170206T102211_N0500_R065_T33UVB_20230919T011521.SAFE,S2A,2017-02-06T10:22:11Z,2017-02-06,2017,T33UVB,65,N0500,2023-09-19T01:15:21Z,S2A_MSIL1C_20170206T102211_N0500_R065_T33UVB_20230919T011521.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170209T103151_N0500_R108_T33UVB_20231025T063437,L1C,S2A_MSIL1C_20170209T103151_N0500_R108_T33UVB_20231025T063437.SAFE,S2A,2017-02-09T10:31:51Z,2017-02-09,2017,T33UVB,108,N0500,2023-10-25T06:34:37Z,S2A_MSIL1C_20170209T103151_N0500_R108_T33UVB_20231025T063437.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170216T102101_N0500_R065_T33UVB_20231025T082534,L1C,S2A_MSIL1C_20170216T102101_N0500_R065_T33UVB_20231025T082534.SAFE,S2A,2017-02-16T10:21:01Z,2017-02-16,2017,T33UVB,65,N0500,2023-10-25T08:25:34Z,S2A_MSIL1C_20170216T102101_N0500_R065_T33UVB_20231025T082534.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170219T103051_N0500_R108_T33UVB_20231025T084923,L1C,S2A_MSIL1C_20170219T103051_N0500_R108_T33UVB_20231025T084923.SAFE,S2A,2017-02-19T10:30:51Z,2017-02-19,2017,T33UVB,108,N0500,2023-10-25T08:49:23Z,S2A_MSIL1C_20170219T103051_N0500_R108_T33UVB_20231025T084923.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170226T102021_N0500_R065_T33UVB_20231025T025019,L1C,S2A_MSIL1C_20170226T102021_N0500_R065_T33UVB_20231025T025019.SAFE,S2A,2017-02-26T10:20:21Z,2017-02-26,2017,T33UVB,65,N0500,2023-10-25T02:50:19Z,S2A_MSIL1C_20170226T102021_N0500_R065_T33UVB_20231025T025019.SAFE,,True,13,27,0,1,1,1,inventoried
S2A_MSIL1C_20170301T103021_N0500_R108_T33UVB_20231024T151435,L1C,S2A_MSIL1C_20170301T103021_N0500_R108_T33UVB_20231024T151435.SAFE,S2A,2017-03-01T10:30:21Z,2017-03-01,2017,T33UVB,108,N0500,2023-10-24T15:14:35Z,S2A_MSIL1C_20170301T103021_N0500_R108_T33UVB_20231024T151435.SAFE,,True,13,27,0,1,1,1,inventoried
