method,product_id,acolite_scene_id,linked_l1c_product_id,source_relative_path,target_id,target_role,target_latitude,target_longitude,coordinate_provenance,field_date,acquisition_date,year,sensing_datetime_utc,platform,tile_id,relative_orbit,processing_baseline,radiometry_processing_baseline,radiometry_processing_baseline_source,generation_time_utc,grid_resolution_m,window_size,window_pixel_count,support_detail,support_pixel_count,polygon_total_pixel_count,polygon_bbox_rows,polygon_bbox_cols,polygon_enclosing_window_size,polygon_coordinate_path,target_row,target_col,target_inside_raster,eligibility_rule_id,minimum_valid_pixels,minimum_valid_fraction,required_qa_complete,required_qa_incomplete_families,native_qa_incomplete,native_qa_incomplete_families,extraction_successful,observation_available,failure_reason,MCI_valid_pixel_count,MCI_valid_pixel_fraction,MCI_median,MCI_mean,MCI_SD,MCI_IQR,MCI_min,MCI_max,NDCI_valid_pixel_count,NDCI_valid_pixel_fraction,NDCI_median,NDCI_mean,NDCI_SD,NDCI_IQR,NDCI_min,NDCI_max,common_B456_valid_count,B4_reflectance_median,B5_reflectance_median,B6_reflectance_median,qa_whole_window_count_pixel_basis,qa_in_support_count_pixel_basis,qa_support_is_whole_read_window,qa_layer_counts_may_overlap,qa_common_hard_invalid_count_in_support,qa_common_hard_invalid_fraction_in_support,qa_scl_not_water_count_in_support,qa_opaque_cloud_count_in_support,qa_cirrus_count_in_support,qa_snow_ice_count_in_support,qa_B04_hard_invalid_count_in_support,qa_B05_hard_invalid_count_in_support,qa_B06_hard_invalid_count_in_support,qa_acolite_hard_invalid_count_in_support,qa_acolite_hard_invalid_fraction_in_support,mci_observation_eligible,mci_observation_status,ndci_observation_eligible,ndci_observation_status,eligibility_rule
ACOLITE,S2A_MSI_2017_01_07_10_25_15_T33UVB,S2A_MSI_2017_01_07_10_25_15_T33UVB,S2A_MSIL1C_20170107T102401_N0500_R065_T33UVB_20230915T190258,S2A_MSIL1C_20170107T102401_N0500_R065_T33UVB_20230915T190258/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-01-07,2017,2017-01-07T10:24:01Z,S2A,T33UVB,65,N0500,,,2023-09-15T19:02:58Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_01_10_10_35_10_T33UVB,S2A_MSI_2017_01_10_10_35_10_T33UVB,S2A_MSIL1C_20170110T103411_N0500_R108_T33UVB_20230918T053622,S2A_MSIL1C_20170110T103411_N0500_R108_T33UVB_20230918T053622/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-01-10,2017,2017-01-10T10:34:11Z,S2A,T33UVB,108,N0500,,,2023-09-18T05:36:22Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_01_27_10_25_16_T33UVB,S2A_MSI_2017_01_27_10_25_16_T33UVB,S2A_MSIL1C_20170127T102301_N0500_R065_T33UVB_20230921T074349,S2A_MSIL1C_20170127T102301_N0500_R065_T33UVB_20230921T074349/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-01-27,2017,2017-01-27T10:23:01Z,S2A,T33UVB,65,N0500,,,2023-09-21T07:43:49Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,9,1.0,0.0012461990118026733,0.0012933389180236393,0.002023954107490884,0.0016358509659767165,-0.0031906601041555398,0.003787358850240709,9,1.0,-0.0007492446548274106,0.013868853574141062,0.07050605272411771,0.07920941986773361,-0.07583381881611614,0.13469866835003946,9,0.020224889740347862,0.020473860204219818,0.01790378987789154,9,9,True,True,,,,,,,,,,0,0.0,True,eligible_at_least_6_of_9_valid_pixels,True,eligible_at_least_6_of_9_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_01_30_10_35_10_T33UVB,S2A_MSI_2017_01_30_10_35_10_T33UVB,S2A_MSIL1C_20170130T103251_N0500_R108_T33UVB_20230925T112659,S2A_MSIL1C_20170130T103251_N0500_R108_T33UVB_20230925T112659/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-01-30,2017,2017-01-30T10:32:51Z,S2A,T33UVB,108,N0500,,,2023-09-25T11:26:59Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_02_06_10_25_16_T33UVB,S2A_MSI_2017_02_06_10_25_16_T33UVB,S2A_MSIL1C_20170206T102211_N0500_R065_T33UVB_20230919T011521,S2A_MSIL1C_20170206T102211_N0500_R065_T33UVB_20230919T011521/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-02-06,2017,2017-02-06T10:22:11Z,S2A,T33UVB,65,N0500,,,2023-09-19T01:15:21Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_02_09_10_35_11_T33UVB,S2A_MSI_2017_02_09_10_35_11_T33UVB,S2A_MSIL1C_20170209T103151_N0500_R108_T33UVB_20231025T063437,S2A_MSIL1C_20170209T103151_N0500_R108_T33UVB_20231025T063437/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-02-09,2017,2017-02-09T10:31:51Z,S2A,T33UVB,108,N0500,,,2023-10-25T06:34:37Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_02_16_10_25_17_T33UVB,S2A_MSI_2017_02_16_10_25_17_T33UVB,S2A_MSIL1C_20170216T102101_N0500_R065_T33UVB_20231025T082534,S2A_MSIL1C_20170216T102101_N0500_R065_T33UVB_20231025T082534/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-02-16,2017,2017-02-16T10:21:01Z,S2A,T33UVB,65,N0500,,,2023-10-25T08:25:34Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,9,1.0,-0.0014516973868012421,-0.0008913763902253575,0.0014931114724138937,0.0019428677236040422,-0.003293789364397526,0.0015989404171705248,9,1.0,-0.11787776438095775,-0.05978923070902583,0.11523678236001719,0.20389829537066795,-0.17624606479158544,0.10197065284270135,9,0.010293521918356419,0.008390813134610653,0.00903982762247324,9,9,True,True,,,,,,,,,,0,0.0,True,eligible_at_least_6_of_9_valid_pixels,True,eligible_at_least_6_of_9_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_02_19_10_35_11_T33UVB,S2A_MSI_2017_02_19_10_35_11_T33UVB,S2A_MSIL1C_20170219T103051_N0500_R108_T33UVB_20231025T084923,S2A_MSIL1C_20170219T103051_N0500_R108_T33UVB_20231025T084923/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-02-19,2017,2017-02-19T10:30:51Z,S2A,T33UVB,108,N0500,,,2023-10-25T08:49:23Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_02_26_10_25_16_T33UVB,S2A_MSI_2017_02_26_10_25_16_T33UVB,S2A_MSIL1C_20170226T102021_N0500_R065_T33UVB_20231025T025019,S2A_MSIL1C_20170226T102021_N0500_R065_T33UVB_20231025T025019/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-02-26,2017,2017-02-26T10:20:21Z,S2A,T33UVB,65,N0500,,,2023-10-25T02:50:19Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
ACOLITE,S2A_MSI_2017_03_01_10_35_10_T33UVB,S2A_MSI_2017_03_01_10_35_10_T33UVB,S2A_MSIL1C_20170301T103021_N0500_R108_T33UVB_20231024T151435,S2A_MSIL1C_20170301T103021_N0500_R108_T33UVB_20231024T151435/acolite,vombsjon_fixed_nominal_station_3x3_20m,fixed_temporal_target,55.6775,13.60889,frozen_nominal_station_fixed_for_all_dates,,2017-03-01,2017,2017-03-01T10:30:21Z,S2A,T33UVB,108,N0500,,,2023-10-24T15:14:35Z,20,3,9,station_centred_3x3_window,9,,,,,,582,605,True,vombsjon_fixed3x3_min6_v1,6,,True,,,,True,True,,0,0.0,,,,,,,0,0.0,,,,,,,0,,,,9,9,True,True,,,,,,,,,,9,1.0,False,ineligible_below_6_valid_pixels,False,ineligible_below_6_valid_pixels,minimum_valid_pixel_count
