product_id,product_level,source_relative_path,platform,sensing_datetime_utc,acquisition_date,year,tile_id,relative_orbit,processing_baseline,generation_time_utc,product_uri,metadata_tile_id,acquisition_metadata_complete,band_asset_count,qa_asset_count,scl_asset_count,B4_raster_count,B5_raster_count,B6_raster_count,discovery_status
S2B_MSIL2A_20170323T102059_N0500_R094_T33UVB_20230915T074216,L2A,S2B_MSIL2A_20170323T102059_N0500_R094_T33UVB_20230915T074216.SAFE,S2B,2017-03-23T10:20:59Z,2017-03-23,2017,T33UVB,94,N0500,2023-09-15T07:42:16Z,S2B_MSIL2A_20170323T102059_N0500_R094_T33UVB_20230915T074216.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170326T103029_N0500_R137_T33UVB_20231026T035402,L2A,S2B_MSIL2A_20170326T103029_N0500_R137_T33UVB_20231026T035402.SAFE,S2B,2017-03-26T10:30:29Z,2017-03-26,2017,T33UVB,137,N0500,2023-10-26T03:54:02Z,S2B_MSIL2A_20170326T103029_N0500_R137_T33UVB_20231026T035402.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355,L2A,S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355.SAFE,S2A,2017-03-28T10:20:21Z,2017-03-28,2017,T33UVB,65,N0500,2023-09-27T14:33:55Z,S2A_MSIL2A_20170328T102021_N0500_R065_T33UVB_20230927T143355.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034,L2A,S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034.SAFE,S2A,2017-03-31T10:30:21Z,2017-03-31,2017,T33UVB,108,N0500,2023-11-12T16:00:34Z,S2A_MSIL2A_20170331T103021_N0500_R108_T33UVB_20231112T160034.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170402T102019_N0500_R065_T33UVB_20231113T175134,L2A,S2B_MSIL2A_20170402T102019_N0500_R065_T33UVB_20231113T175134.SAFE,S2B,2017-04-02T10:20:19Z,2017-04-02,2017,T33UVB,65,N0500,2023-11-13T17:51:34Z,S2B_MSIL2A_20170402T102019_N0500_R065_T33UVB_20231113T175134.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170405T103019_N0500_R108_T33UVB_20230914T180517,L2A,S2B_MSIL2A_20170405T103019_N0500_R108_T33UVB_20230914T180517.SAFE,S2B,2017-04-05T10:30:19Z,2017-04-05,2017,T33UVB,108,N0500,2023-09-14T18:05:17Z,S2B_MSIL2A_20170405T103019_N0500_R108_T33UVB_20230914T180517.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134,L2A,S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134.SAFE,S2A,2017-04-07T10:20:21Z,2017-04-07,2017,T33UVB,65,N0500,2023-11-13T03:51:34Z,S2A_MSIL2A_20170407T102021_N0500_R065_T33UVB_20231113T035134.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807,L2A,S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807.SAFE,S2A,2017-04-10T10:30:21Z,2017-04-10,2017,T33UVB,108,N0500,2023-11-12T08:08:07Z,S2A_MSIL2A_20170410T103021_N0500_R108_T33UVB_20231112T080807.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170412T102019_N0500_R065_T33UVB_20231111T093614,L2A,S2B_MSIL2A_20170412T102019_N0500_R065_T33UVB_20231111T093614.SAFE,S2B,2017-04-12T10:20:19Z,2017-04-12,2017,T33UVB,65,N0500,2023-11-11T09:36:14Z,S2B_MSIL2A_20170412T102019_N0500_R065_T33UVB_20231111T093614.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170415T103019_N0500_R108_T33UVB_20231017T221031,L2A,S2B_MSIL2A_20170415T103019_N0500_R108_T33UVB_20231017T221031.SAFE,S2B,2017-04-15T10:30:19Z,2017-04-15,2017,T33UVB,108,N0500,2023-10-17T22:10:31Z,S2B_MSIL2A_20170415T103019_N0500_R108_T33UVB_20231017T221031.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170417T102021_N0500_R065_T33UVB_20231111T155149,L2A,S2A_MSIL2A_20170417T102021_N0500_R065_T33UVB_20231111T155149.SAFE,S2A,2017-04-17T10:20:21Z,2017-04-17,2017,T33UVB,65,N0500,2023-11-11T15:51:49Z,S2A_MSIL2A_20170417T102021_N0500_R065_T33UVB_20231111T155149.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170420T103021_N0500_R108_T33UVB_20231114T212000,L2A,S2A_MSIL2A_20170420T103021_N0500_R108_T33UVB_20231114T212000.SAFE,S2A,2017-04-20T10:30:21Z,2017-04-20,2017,T33UVB,108,N0500,2023-11-14T21:20:00Z,S2A_MSIL2A_20170420T103021_N0500_R108_T33UVB_20231114T212000.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170422T102019_N0500_R094_T33UVB_20231112T074931,L2A,S2B_MSIL2A_20170422T102019_N0500_R094_T33UVB_20231112T074931.SAFE,S2B,2017-04-22T10:20:19Z,2017-04-22,2017,T33UVB,94,N0500,2023-11-12T07:49:31Z,S2B_MSIL2A_20170422T102019_N0500_R094_T33UVB_20231112T074931.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170425T103019_N0500_R108_T33UVB_20231114T032712,L2A,S2B_MSIL2A_20170425T103019_N0500_R108_T33UVB_20231114T032712.SAFE,S2B,2017-04-25T10:30:19Z,2017-04-25,2017,T33UVB,108,N0500,2023-11-14T03:27:12Z,S2B_MSIL2A_20170425T103019_N0500_R108_T33UVB_20231114T032712.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170427T102031_N0500_R065_T33UVB_20230926T023428,L2A,S2A_MSIL2A_20170427T102031_N0500_R065_T33UVB_20230926T023428.SAFE,S2A,2017-04-27T10:20:31Z,2017-04-27,2017,T33UVB,65,N0500,2023-09-26T02:34:28Z,S2A_MSIL2A_20170427T102031_N0500_R065_T33UVB_20230926T023428.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170430T103021_N0500_R108_T33UVB_20231113T073913,L2A,S2A_MSIL2A_20170430T103021_N0500_R108_T33UVB_20231113T073913.SAFE,S2A,2017-04-30T10:30:21Z,2017-04-30,2017,T33UVB,108,N0500,2023-11-13T07:39:13Z,S2A_MSIL2A_20170430T103021_N0500_R108_T33UVB_20231113T073913.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170502T102019_N0500_R065_T33UVB_20231111T213448,L2A,S2B_MSIL2A_20170502T102019_N0500_R065_T33UVB_20231111T213448.SAFE,S2B,2017-05-02T10:20:19Z,2017-05-02,2017,T33UVB,65,N0500,2023-11-11T21:34:48Z,S2B_MSIL2A_20170502T102019_N0500_R065_T33UVB_20231111T213448.SAFE,,True,25,31,2,3,2,2,inventoried
S2B_MSIL2A_20170505T103019_N0500_R108_T33UVB_20231113T104507,L2A,S2B_MSIL2A_20170505T103019_N0500_R108_T33UVB_20231113T104507.SAFE,S2B,2017-05-05T10:30:19Z,2017-05-05,2017,T33UVB,108,N0500,2023-11-13T10:45:07Z,S2B_MSIL2A_20170505T103019_N0500_R108_T33UVB_20231113T104507.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170507T102031_N0500_R065_T33UVB_20231114T024625,L2A,S2A_MSIL2A_20170507T102031_N0500_R065_T33UVB_20231114T024625.SAFE,S2A,2017-05-07T10:20:31Z,2017-05-07,2017,T33UVB,65,N0500,2023-11-14T02:46:25Z,S2A_MSIL2A_20170507T102031_N0500_R065_T33UVB_20231114T024625.SAFE,,True,25,31,2,3,2,2,inventoried
S2A_MSIL2A_20170510T103031_N0500_R108_T33UVB_20231019T123546,L2A,S2A_MSIL2A_20170510T103031_N0500_R108_T33UVB_20231019T123546.SAFE,S2A,2017-05-10T10:30:31Z,2017-05-10,2017,T33UVB,108,N0500,2023-10-19T12:35:46Z,S2A_MSIL2A_20170510T103031_N0500_R108_T33UVB_20231019T123546.SAFE,,True,25,31,2,3,2,2,inventoried
