date,n_products_on_date,n_products_passing,all_product_ids,product_pass_status,s2_date_usable,selected_product_id,selected_platform,selected_acquisition_datetime,selected_processing_baseline,selected_central_scl,selected_water_fraction_3x3,selected_bad_scl_fraction_3x3,date_rescued_by_alternate_product,qc_rule_id,mask_version
2025-03-28,2,1,S2B_MSIL2A_20250328T100559_N0511_R022_T34VCM_20250328T122235;S2A_MSIL2A_20250328T102031_N0511_R065_T34VCM_20250328T185213,S2B_MSIL2A_20250328T100559_N0511_R022_T34VCM_20250328T122235=pass;S2A_MSIL2A_20250328T102031_N0511_R065_T34VCM_20250328T185213=fail,True,S2B_MSIL2A_20250328T100559_N0511_R022_T34VCM_20250328T122235,S2B,2025-03-28T10:05:59Z,N0511,6,1,0,True,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-04-07,2,2,S2B_MSIL2A_20250407T100559_N0511_R022_T34VCM_20250407T125834;S2A_MSIL2A_20250407T101701_N0511_R065_T34VCM_20250407T171615,S2B_MSIL2A_20250407T100559_N0511_R022_T34VCM_20250407T125834=pass;S2A_MSIL2A_20250407T101701_N0511_R065_T34VCM_20250407T171615=pass,True,S2B_MSIL2A_20250407T100559_N0511_R022_T34VCM_20250407T125834,S2B,2025-04-07T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-04-17,2,0,S2B_MSIL2A_20250417T100559_N0511_R022_T34VCM_20250417T130210;S2A_MSIL2A_20250417T102041_N0511_R065_T34VCM_20250417T190314,S2B_MSIL2A_20250417T100559_N0511_R022_T34VCM_20250417T130210=fail;S2A_MSIL2A_20250417T102041_N0511_R065_T34VCM_20250417T190314=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-04-27,2,1,S2B_MSIL2A_20250427T100559_N0511_R022_T34VCM_20250427T130507;S2A_MSIL2A_20250427T101701_N0511_R065_T34VCM_20250427T170513,S2B_MSIL2A_20250427T100559_N0511_R022_T34VCM_20250427T130507=pass;S2A_MSIL2A_20250427T101701_N0511_R065_T34VCM_20250427T170513=fail,True,S2B_MSIL2A_20250427T100559_N0511_R022_T34VCM_20250427T130507,S2B,2025-04-27T10:05:59Z,N0511,6,1,0,True,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-05-17,2,0,S2B_MSIL2A_20250517T100559_N0511_R022_T34VCM_20250517T130149;S2A_MSIL2A_20250517T101701_N0511_R065_T34VCM_20250517T122915,S2B_MSIL2A_20250517T100559_N0511_R022_T34VCM_20250517T130149=fail;S2A_MSIL2A_20250517T101701_N0511_R065_T34VCM_20250517T122915=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-05-27,2,1,S2B_MSIL2A_20250527T100559_N0511_R022_T34VCM_20250527T140348;S2A_MSIL2A_20250527T102041_N0511_R065_T34VCM_20250527T165916,S2B_MSIL2A_20250527T100559_N0511_R022_T34VCM_20250527T140348=fail;S2A_MSIL2A_20250527T102041_N0511_R065_T34VCM_20250527T165916=pass,True,S2A_MSIL2A_20250527T102041_N0511_R065_T34VCM_20250527T165916,S2A,2025-05-27T10:20:41Z,N0511,6,1,0,True,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-06-06,2,0,S2B_MSIL2A_20250606T100559_N0511_R022_T34VCM_20250606T125852;S2A_MSIL2A_20250606T101701_N0511_R065_T34VCM_20250606T121844,S2B_MSIL2A_20250606T100559_N0511_R022_T34VCM_20250606T125852=fail;S2A_MSIL2A_20250606T101701_N0511_R065_T34VCM_20250606T121844=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-06-16,2,0,S2B_MSIL2A_20250616T100559_N0511_R022_T34VCM_20250616T130446;S2A_MSIL2A_20250616T102041_N0511_R065_T34VCM_20250616T121245,S2B_MSIL2A_20250616T100559_N0511_R022_T34VCM_20250616T130446=fail;S2A_MSIL2A_20250616T102041_N0511_R065_T34VCM_20250616T121245=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-06-26,2,2,S2B_MSIL2A_20250626T100559_N0511_R022_T34VCM_20250626T130127;S2A_MSIL2A_20250626T101701_N0511_R065_T34VCM_20250626T120604,S2B_MSIL2A_20250626T100559_N0511_R022_T34VCM_20250626T130127=pass;S2A_MSIL2A_20250626T101701_N0511_R065_T34VCM_20250626T120604=pass,True,S2B_MSIL2A_20250626T100559_N0511_R022_T34VCM_20250626T130127,S2B,2025-06-26T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-07-06,2,0,S2B_MSIL2A_20250706T100559_N0511_R022_T34VCM_20250706T124436;S2A_MSIL2A_20250706T102041_N0511_R065_T34VCM_20250706T121214,S2B_MSIL2A_20250706T100559_N0511_R022_T34VCM_20250706T124436=fail;S2A_MSIL2A_20250706T102041_N0511_R065_T34VCM_20250706T121214=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-07-16,2,2,S2B_MSIL2A_20250716T100559_N0511_R022_T34VCM_20250716T124455;S2A_MSIL2A_20250716T101701_N0511_R065_T34VCM_20250716T121613,S2B_MSIL2A_20250716T100559_N0511_R022_T34VCM_20250716T124455=pass;S2A_MSIL2A_20250716T101701_N0511_R065_T34VCM_20250716T121613=pass,True,S2B_MSIL2A_20250716T100559_N0511_R022_T34VCM_20250716T124455,S2B,2025-07-16T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-07-26,2,2,S2B_MSIL2A_20250726T100559_N0511_R022_T34VCM_20250726T122650;S2A_MSIL2A_20250726T102041_N0511_R065_T34VCM_20250726T155501,S2B_MSIL2A_20250726T100559_N0511_R022_T34VCM_20250726T122650=pass;S2A_MSIL2A_20250726T102041_N0511_R065_T34VCM_20250726T155501=pass,True,S2B_MSIL2A_20250726T100559_N0511_R022_T34VCM_20250726T122650,S2B,2025-07-26T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-08-05,2,2,S2B_MSIL2A_20250805T100559_N0511_R022_T34VCM_20250805T141708;S2A_MSIL2A_20250805T101701_N0511_R065_T34VCM_20250805T124016,S2B_MSIL2A_20250805T100559_N0511_R022_T34VCM_20250805T141708=pass;S2A_MSIL2A_20250805T101701_N0511_R065_T34VCM_20250805T124016=pass,True,S2B_MSIL2A_20250805T100559_N0511_R022_T34VCM_20250805T141708,S2B,2025-08-05T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-08-15,2,2,S2B_MSIL2A_20250815T100559_N0511_R022_T34VCM_20250815T122915;S2A_MSIL2A_20250815T102041_N0511_R065_T34VCM_20250815T120317,S2B_MSIL2A_20250815T100559_N0511_R022_T34VCM_20250815T122915=pass;S2A_MSIL2A_20250815T102041_N0511_R065_T34VCM_20250815T120317=pass,True,S2B_MSIL2A_20250815T100559_N0511_R022_T34VCM_20250815T122915,S2B,2025-08-15T10:05:59Z,N0511,6,1,0,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
2025-08-25,2,0,S2B_MSIL2A_20250825T100559_N0511_R022_T34VCM_20250825T122224;S2A_MSIL2A_20250825T101701_N0511_R065_T34VCM_20250825T142615,S2B_MSIL2A_20250825T100559_N0511_R022_T34VCM_20250825T122224=fail;S2A_MSIL2A_20250825T101701_N0511_R065_T34VCM_20250825T142615=fail,False,,,,,,,,False,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
