central_scl,water_pixel_count,bad_pixel_count,persistent_nonwater_pixel_count,class2_pixel_count,n_products,fraction_of_products
9,0,9,0,0,340,0.3578947368
6,9,0,0,0,306,0.3221052632
8,0,9,0,0,175,0.1842105263
10,0,9,0,0,69,0.07263157895
11,0,9,0,0,33,0.03473684211
6,8,1,0,0,7,0.007368421053
6,7,2,0,0,3,0.003157894737
6,5,4,0,0,3,0.003157894737
10,3,6,0,0,3,0.003157894737
6,6,3,0,0,2,0.002105263158
10,1,8,0,0,2,0.002105263158
6,6,0,3,0,1,0.001052631579
8,6,3,0,0,1,0.001052631579
8,3,6,0,0,1,0.001052631579
8,2,7,0,0,1,0.001052631579
8,1,8,0,0,1,0.001052631579
8,0,6,3,0,1,0.001052631579
11,3,6,0,0,1,0.001052631579
