source_rule_id_3x3,rule_label,rule_role,window_size,window_label,effective_maximum_bad_pixels,effective_minimum_water_pixels,effective_center_pixel_rule,effective_maximum_persistent_nonwater_pixels,effective_maximum_class2_pixels,n_products,n_products_passing,product_pass_fraction,n_candidate_dates,n_usable_dates,date_retention_fraction,first_usable_date,last_usable_date,median_interval_days,q25_interval_days,q75_interval_days,maximum_gap_days,n_gaps_gt_10_days,n_gaps_gt_20_days,n_gaps_gt_30_days,n_gaps_gt_45_days
bad2_water7_centernotbad_p0_class2zero,"Relaxed: <=2 bad, >=7 water",relaxed_sensitivity,1,1x1,0,1,not_obvious_bad,0,0,950,322,0.3389473684,926,315,0.3401727862,2019-04-17,2025-11-26,5,3,10,120,58,12,6,4
bad2_water9_centernotbad_p0_class2zero,Strict diagnostic: 9/9 water,strict_sensitivity,1,1x1,0,1,not_obvious_bad,0,0,950,322,0.3389473684,926,315,0.3401727862,2019-04-17,2025-11-26,5,3,10,120,58,12,6,4
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,1,1x1,0,1,not_obvious_bad,0,0,950,322,0.3389473684,926,315,0.3401727862,2019-04-17,2025-11-26,5,3,10,120,58,12,6,4
bad2_water7_centernotbad_p0_class2zero,"Relaxed: <=2 bad, >=7 water",relaxed_sensitivity,3,3x3,2,7,not_obvious_bad,0,0,950,316,0.3326315789,926,310,0.3347732181,2019-04-17,2025-11-26,5,3,10,120,57,15,7,4
bad2_water9_centernotbad_p0_class2zero,Strict diagnostic: 9/9 water,strict_sensitivity,3,3x3,2,9,not_obvious_bad,0,0,950,306,0.3221052632,926,301,0.3250539957,2019-04-17,2025-11-26,5,3,10,120,58,16,8,4
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,3,3x3,1,8,not_obvious_bad,0,0,950,313,0.3294736842,926,307,0.3315334773,2019-04-17,2025-11-26,5,3,10,120,57,15,8,4
bad2_water7_centernotbad_p0_class2zero,"Relaxed: <=2 bad, >=7 water",relaxed_sensitivity,5,5x5,5,20,not_obvious_bad,0,0,950,312,0.3284210526,926,307,0.3315334773,2019-04-17,2025-11-26,5,3,10,120,58,16,7,4
bad2_water9_centernotbad_p0_class2zero,Strict diagnostic: 9/9 water,strict_sensitivity,5,5x5,5,25,not_obvious_bad,0,0,950,293,0.3084210526,926,288,0.3110151188,2019-04-17,2025-11-26,5,3,10,122,59,17,9,4
scl3x3_b1_w8_centernotbad_p0_class2zero_v1,"Preferred: <=1 bad, >=8 water, center not bad",preferred,5,5x5,2,23,not_obvious_bad,0,0,950,300,0.3157894737,926,295,0.318574514,2019-04-17,2025-11-26,5,3,10,120,59,17,9,4
