product_id,platform,acquisition_datetime,date,processing_baseline,central_scl,water_pixel_count_3x3,bad_pixel_count_3x3,persistent_nonwater_pixel_count_3x3,class2_pixel_count_3x3,water_fraction_3x3,bad_scl_fraction_3x3,persistent_nonwater_fraction_3x3,class2_fraction_3x3,central_is_water,central_is_obvious_bad,central_is_persistent_nonwater,central_is_class2,passes_final_rule,final_rule_failure_reasons,qc_rule_id,mask_version
S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,S2A,2019-04-17T10:20:31Z,2019-04-17,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190419T101029_N0500_R022_T34VCM_20221031T042331,S2B,2019-04-19T10:10:29Z,2019-04-19,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,S2B,2019-04-22T10:20:29Z,2019-04-22,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,S2A,2019-04-24T10:10:31Z,2019-04-24,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,S2A,2019-04-27T10:20:31Z,2019-04-27,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,S2B,2019-04-29T10:10:29Z,2019-04-29,N0500,6,9,0,0,0,1,0,0,0,True,False,False,False,True,pass,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190502T102029_N0500_R065_T34VCM_20221214T000724,S2B,2019-05-02T10:20:29Z,2019-05-02,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190504T101031_N0500_R022_T34VCM_20221209T170420,S2A,2019-05-04T10:10:31Z,2019-05-04,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2A_MSIL2A_20190507T102031_N0500_R065_T34VCM_20221210T014059,S2A,2019-05-07T10:20:31Z,2019-05-07,N0500,9,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
S2B_MSIL2A_20190509T101039_N0500_R022_T34VCM_20221221T121028,S2B,2019-05-09T10:10:39Z,2019-05-09,N0500,8,0,9,0,0,0,1,0,0,False,True,False,False,False,too_many_obvious_bad_pixels;insufficient_water_pixels;center_obvious_bad,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,erken_s2_observation_mask_v1
