year,measurement_regime,reference_start_date,reference_end_date,calendar_days_missing_before_reference,calendar_days_missing_after_reference,partial_year_boundary_side,open_water_season_boundary_status,first_open_water_date,last_open_water_date,first_s2_usable_date,last_s2_usable_date,first_preliminary_sparse_candidate,last_preliminary_sparse_candidate,n_preliminary_sparse_candidates,days_from_reference_start_to_first_candidate,days_from_last_candidate_to_reference_end,reference_start_chlf,reference_end_chlf,audited_boundary_date,audited_boundary_chlf,audited_boundary_open_water,observed_year_chlf_median,adjacent_window_days,adjacent_boundary_chlf_median,boundary_chlf_above_observed_year_median,boundary_chlf_above_adjacent_window_median,boundary_chlf_elevated_relative_to_observed_context,adjacent_boundary_chlf_slope_per_day,observed_annual_max_chlf,observed_annual_max_date,annual_max_days_from_reference_start,annual_max_days_to_reference_end,annual_max_nearest_reference_boundary,annual_max_nearest_boundary_distance_days,annual_max_boundary_assessment,boundary_trajectory_evidence,requires_later_year_eligibility_decision
2019,pre_2023,2019-04-17,2019-12-31,106,0,left,left_truncated,2019-04-17,2019-12-31,2019-04-17,2019-12-05,2019-04-17,2019-12-05,35,0,26,4.89651,1.24661,2019-04-17,4.89651,True,2.80601,14,3.419985,True,True,True,-0.2751751868,60.8949,2019-08-26,131,127,reference_end,127,Observed annual maximum is 127 day(s) from reference_end; no near-boundary cutoff is applied.,Reference begins after Jan 1 while the boundary is open water; boundary CHLF is above the observed-year median and above the first-14-day median. Earlier trajectory is unobserved.,True
2025,2023_onward,2025-01-01,2025-11-30,0,31,right,right_truncated,2025-01-01,2025-11-30,2025-01-20,2025-11-26,2025-03-21,2025-11-26,48,79,4,3.01936,9.25375,2025-11-30,9.25375,True,5.61248,14,8.49862,True,True,True,0.1054194505,83.4709,2025-10-14,286,47,reference_end,47,Observed annual maximum is 47 day(s) from reference_end; no near-boundary cutoff is applied.,Reference ends before Dec 31 while the boundary is open water; boundary CHLF is above the observed-year median and above the last-14-day median. Later trajectory is unobserved.,True
