gap_id,year,previous_year,next_year,previous_date,next_date,gap_days,crosses_year_boundary,number_of_calendar_days_between,number_of_daily_reference_days_between,number_of_open_water_days_between,number_of_ice_days_between,number_of_reference_missing_days_between,contains_ice_day,interval_context
1,2019,2019,2019,2019-04-17,2019-04-22,5,False,4,4,4,0,0,False,within_openwater_calendar_span
2,2019,2019,2019,2019-04-22,2019-04-24,2,False,1,1,1,0,0,False,within_openwater_calendar_span
3,2019,2019,2019,2019-04-24,2019-04-27,3,False,2,2,2,0,0,False,within_openwater_calendar_span
4,2019,2019,2019,2019-04-27,2019-04-29,2,False,1,1,1,0,0,False,within_openwater_calendar_span
5,2019,2019,2019,2019-04-29,2019-05-17,18,False,17,17,17,0,0,False,within_openwater_calendar_span
6,2019,2019,2019,2019-05-17,2019-05-29,12,False,11,11,11,0,0,False,within_openwater_calendar_span
7,2019,2019,2019,2019-05-29,2019-06-06,8,False,7,7,7,0,0,False,within_openwater_calendar_span
8,2019,2019,2019,2019-06-06,2019-06-08,2,False,1,1,1,0,0,False,within_openwater_calendar_span
9,2019,2019,2019,2019-06-08,2019-06-18,10,False,9,9,9,0,0,False,within_openwater_calendar_span
10,2019,2019,2019,2019-06-18,2019-06-28,10,False,9,9,9,0,0,False,within_openwater_calendar_span
11,2019,2019,2019,2019-06-28,2019-07-11,13,False,12,12,12,0,0,False,within_openwater_calendar_span
12,2019,2019,2019,2019-07-11,2019-07-18,7,False,6,6,6,0,0,False,within_openwater_calendar_span
13,2019,2019,2019,2019-07-18,2019-07-23,5,False,4,4,4,0,0,False,within_openwater_calendar_span
14,2019,2019,2019,2019-07-23,2019-07-26,3,False,2,2,2,0,0,False,within_openwater_calendar_span
15,2019,2019,2019,2019-07-26,2019-07-28,2,False,1,1,1,0,0,False,within_openwater_calendar_span
16,2019,2019,2019,2019-07-28,2019-08-02,5,False,4,4,4,0,0,False,within_openwater_calendar_span
17,2019,2019,2019,2019-08-02,2019-08-05,3,False,2,2,2,0,0,False,within_openwater_calendar_span
18,2019,2019,2019,2019-08-05,2019-08-07,2,False,1,1,1,0,0,False,within_openwater_calendar_span
19,2019,2019,2019,2019-08-07,2019-08-22,15,False,14,14,14,0,0,False,within_openwater_calendar_span
20,2019,2019,2019,2019-08-22,2019-08-25,3,False,2,2,2,0,0,False,within_openwater_calendar_span
21,2019,2019,2019,2019-08-25,2019-08-27,2,False,1,1,1,0,0,False,within_openwater_calendar_span
22,2019,2019,2019,2019-08-27,2019-09-01,5,False,4,4,4,0,0,False,within_openwater_calendar_span
23,2019,2019,2019,2019-09-01,2019-09-04,3,False,2,2,2,0,0,False,within_openwater_calendar_span
24,2019,2019,2019,2019-09-04,2019-09-06,2,False,1,1,1,0,0,False,within_openwater_calendar_span
25,2019,2019,2019,2019-09-06,2019-09-26,20,False,19,19,19,0,0,False,within_openwater_calendar_span
26,2019,2019,2019,2019-09-26,2019-10-01,5,False,4,4,4,0,0,False,within_openwater_calendar_span
27,2019,2019,2019,2019-10-01,2019-10-04,3,False,2,2,2,0,0,False,within_openwater_calendar_span
28,2019,2019,2019,2019-10-04,2019-10-19,15,False,14,14,14,0,0,False,within_openwater_calendar_span
29,2019,2019,2019,2019-10-19,2019-10-29,10,False,9,9,9,0,0,False,within_openwater_calendar_span
30,2019,2019,2019,2019-10-29,2019-10-31,2,False,1,1,1,0,0,False,within_openwater_calendar_span
31,2019,2019,2019,2019-10-31,2019-11-03,3,False,2,2,2,0,0,False,within_openwater_calendar_span
32,2019,2019,2019,2019-11-03,2019-11-05,2,False,1,1,1,0,0,False,within_openwater_calendar_span
33,2019,2019,2019,2019-11-05,2019-11-30,25,False,24,24,24,0,0,False,within_openwater_calendar_span
34,2019,2019,2019,2019-11-30,2019-12-05,5,False,4,4,4,0,0,False,within_openwater_calendar_span
35,2020,2019,2020,2019-12-05,2020-01-19,45,True,44,44,44,0,0,False,crosses_year_boundary
36,2020,2020,2020,2020-01-19,2020-01-24,5,False,4,4,4,0,0,False,within_openwater_calendar_span
37,2020,2020,2020,2020-01-24,2020-02-03,10,False,9,9,9,0,0,False,within_openwater_calendar_span
38,2020,2020,2020,2020-02-03,2020-02-06,3,False,2,2,2,0,0,False,within_openwater_calendar_span
39,2020,2020,2020,2020-02-06,2020-02-11,5,False,4,4,4,0,0,False,within_openwater_calendar_span
40,2020,2020,2020,2020-02-11,2020-02-13,2,False,1,1,1,0,0,False,within_openwater_calendar_span
41,2020,2020,2020,2020-02-13,2020-02-21,8,False,7,7,7,0,0,False,within_openwater_calendar_span
42,2020,2020,2020,2020-02-21,2020-02-23,2,False,1,1,1,0,0,False,within_openwater_calendar_span
43,2020,2020,2020,2020-02-23,2020-02-26,3,False,2,2,2,0,0,False,within_openwater_calendar_span
