year,window_size,window_label,n_scenes,water_fraction_median,water_fraction_q05,water_fraction_q25,water_fraction_q75,water_fraction_q95,water_fraction_min,bad_scl_fraction_median,bad_scl_fraction_q05,bad_scl_fraction_q25,bad_scl_fraction_q75,bad_scl_fraction_q95,bad_scl_fraction_max,fraction_water_ge_0_50,fraction_water_ge_0_75,fraction_water_ge_0_90,fraction_water_ge_0_95,fraction_water_eq_1_00,fraction_any_bad_scl,fraction_dominated_by_nonwater,fraction_any_persistent_nonwater,pixel_weighted_persistent_nonwater_fraction,n_central_water_scenes,central_water_water_fraction_q05,fraction_central_water_scenes_window_all_water,fraction_central_water_scenes_any_bad_scl
2022,3,3x3,134,0,0,0,1,1,0,1,0,0,1,1,1,0.2910447761,0.2835820896,0.276119403,0.276119403,0.276119403,0.723880597,0.7089552239,0.007462686567,0.002487562189,38,1,0.9736842105,0.02631578947
2022,5,5x5,134,0,0,0,0.95,1,0,1,0,0.05,1,1,1,0.2910447761,0.2835820896,0.2686567164,0.2537313433,0.2462686567,0.7537313433,0.7089552239,0.007462686567,0.001492537313,38,0.914,0.8684210526,0.1315789474
2022,7,7x7,134,0,0,0,0.9489795918,1,0,1,0,0.05102040816,1,1,1,0.2985074627,0.276119403,0.2537313433,0.2537313433,0.2462686567,0.7537313433,0.7014925373,0.007462686567,0.0007614986293,38,0.7928571429,0.8684210526,0.1315789474
2022,11,11x11,134,0,0,0,0.8512396694,1,0,1,0,0.1487603306,1,1,1,0.3059701493,0.2686567164,0.2462686567,0.2462686567,0.2388059701,0.7611940299,0.6940298507,0.01492537313,0.0003700505736,38,0.6326446281,0.8421052632,0.1578947368
2023,1,1x1,136,0,0,0,1,1,0,1,0,0,1,1,1,0.2794117647,0.2794117647,0.2794117647,0.2794117647,0.2794117647,0.7205882353,0.7205882353,0,0,38,1,1,0
2023,3,3x3,136,0,0,0,0.9166666667,1,0,1,0,0.08333333333,1,1,1,0.2794117647,0.2647058824,0.25,0.25,0.25,0.75,0.7205882353,0,0,38,0.8555555556,0.8947368421,0.1052631579
2023,5,5x5,136,0,0,0,0.85,1,0,1,0,0.15,1,1,1,0.2794117647,0.2573529412,0.2426470588,0.2426470588,0.2426470588,0.7573529412,0.7205882353,0.007352941176,0.0005882352941,38,0.714,0.8684210526,0.1315789474
2023,7,7x7,136,0,0,0,0.8010204082,1,0,1,0,0.1989795918,1,1,1,0.2794117647,0.2573529412,0.2352941176,0.2352941176,0.2279411765,0.7720588235,0.7205882353,0.007352941176,0.002551020408,38,0.65,0.8157894737,0.1842105263
2023,11,11x11,136,0,0,0,0.7376033058,1,0,1,0,0.2623966942,1,1,1,0.2794117647,0.25,0.2352941176,0.2279411765,0.2205882353,0.7794117647,0.7205882353,0.007352941176,0.003949927078,38,0.647107438,0.7894736842,0.2105263158
2024,1,1x1,136,0,0,0,1,1,0,1,0,0,1,1,1,0.3014705882,0.3014705882,0.3014705882,0.3014705882,0.3014705882,0.6985294118,0.6985294118,0,0,41,1,1,0
2024,3,3x3,136,0,0,0,1,1,0,1,0,0,1,1,1,0.3014705882,0.3014705882,0.3014705882,0.3014705882,0.3014705882,0.6985294118,0.6985294118,0,0,41,1,1,0
2024,5,5x5,136,0,0,0,1,1,0,1,0,0,1,1,1,0.3014705882,0.3014705882,0.2941176471,0.2941176471,0.2941176471,0.7058823529,0.6985294118,0,0,41,1,0.9756097561,0.0243902439
2024,7,7x7,136,0,0,0,1,1,0,1,0,0,1,1,1,0.3014705882,0.2941176471,0.2867647059,0.2794117647,0.2794117647,0.7205882353,0.6985294118,0,0,41,0.9183673469,0.9268292683,0.07317073171
2024,11,11x11,136,0,0,0,1,1,0,1,0,0,1,1,1,0.3014705882,0.2867647059,0.2720588235,0.2720588235,0.2647058824,0.7279411765,0.6985294118,0.007352941176,6.07681089e-05,41,0.826446281,0.8780487805,0.09756097561
2025,1,1x1,177,0,0,0,1,1,0,1,0,0,1,1,1,0.3446327684,0.3446327684,0.3446327684,0.3446327684,0.3446327684,0.6553672316,0.6553672316,0,0,61,1,1,0
2025,3,3x3,177,0,0,0,1,1,0,1,0,0,1,1,1,0.3446327684,0.3333333333,0.3276836158,0.3276836158,0.3276836158,0.6666666667,0.6553672316,0.005649717514,0.001883239171,61,1,0.9508196721,0.03278688525
2025,5,5x5,177,0,0,0,1,1,0,1,0,0,1,1,1,0.3389830508,0.3276836158,0.3163841808,0.3107344633,0.3050847458,0.6892655367,0.6610169492,0.01129943503,0.002033898305,61,0.84,0.8852459016,0.09836065574
2025,7,7x7,177,0,0,0,1,1,0,1,0,0,1,1,1,0.3389830508,0.3220338983,0.3050847458,0.2994350282,0.2994350282,0.6949152542,0.6610169492,0.01129943503,0.001844805719,61,0.7346938776,0.868852459,0.1147540984
2025,11,11x11,177,0,0,0,1,1,0,1,0,0,1,1,1,0.3389830508,0.3107344633,0.2994350282,0.2994350282,0.2824858757,0.7175141243,0.6610169492,0.01129943503,0.001354064528,61,0.6611570248,0.8196721311,0.1803278689
