year,window_size,window_label,n_scenes,water_fraction_median,water_fraction_q05,water_fraction_q25,water_fraction_q75,water_fraction_q95,water_fraction_min,bad_scl_fraction_median,bad_scl_fraction_q05,bad_scl_fraction_q25,bad_scl_fraction_q75,bad_scl_fraction_q95,bad_scl_fraction_max,fraction_water_ge_0_50,fraction_water_ge_0_75,fraction_water_ge_0_90,fraction_water_ge_0_95,fraction_water_eq_1_00,fraction_any_bad_scl,fraction_dominated_by_nonwater,fraction_any_persistent_nonwater,pixel_weighted_persistent_nonwater_fraction,n_central_water_scenes,central_water_water_fraction_q05,fraction_central_water_scenes_window_all_water,fraction_central_water_scenes_any_bad_scl
2019,1,1x1,96,0,0,0,1,1,0,1,0,0,1,1,1,0.375,0.375,0.375,0.375,0.375,0.625,0.625,0,0,36,1,1,0
2019,3,3x3,96,0,0,0,1,1,0,1,0,0,1,1,1,0.375,0.375,0.3541666667,0.3541666667,0.3541666667,0.6458333333,0.625,0,0,36,0.9722222222,0.9444444444,0.05555555556
2019,5,5x5,96,0,0,0,1,1,0,1,0,0,1,1,1,0.375,0.3645833333,0.34375,0.34375,0.34375,0.65625,0.625,0,0,36,0.87,0.9166666667,0.08333333333
2019,7,7x7,96,0,0,0,1,1,0,1,0,0,1,1,1,0.375,0.3645833333,0.34375,0.34375,0.3229166667,0.6770833333,0.625,0,0,36,0.862244898,0.8611111111,0.1388888889
2019,11,11x11,96,0,0,0,1,1,0,1,0,0,1,1,1,0.3854166667,0.3541666667,0.34375,0.3333333333,0.3125,0.6875,0.6145833333,0,0,36,0.7541322314,0.8333333333,0.1666666667
2020,1,1x1,134,0,0,0,1,1,0,1,0,0,1,1,1,0.4328358209,0.4328358209,0.4328358209,0.4328358209,0.4328358209,0.5671641791,0.5671641791,0,0,58,1,1,0
2020,3,3x3,134,0,0,0,1,1,0,1,0,0,1,1,1,0.4328358209,0.4328358209,0.4104477612,0.4104477612,0.4104477612,0.5895522388,0.5671641791,0,0,58,0.9833333333,0.9482758621,0.05172413793
2020,5,5x5,134,0,0,0,1,1,0,1,0,0,1,1,1,0.4328358209,0.4328358209,0.4104477612,0.4104477612,0.4104477612,0.5895522388,0.5671641791,0,0,58,0.982,0.9482758621,0.05172413793
2020,7,7x7,134,0,0,0,1,1,0,1,0,0,1,1,1,0.4402985075,0.4253731343,0.4179104478,0.4104477612,0.4029850746,0.5970149254,0.5597014925,0,0,58,0.9734693878,0.9310344828,0.06896551724
2020,11,11x11,134,0,0,0,1,1,0,1,0,0,1,1,1,0.4402985075,0.4253731343,0.4179104478,0.4104477612,0.3731343284,0.6268656716,0.5597014925,0,0,58,0.9466942149,0.8620689655,0.1379310345
2021,1,1x1,137,0,0,0,1,1,0,1,0,0,1,1,1,0.3649635036,0.3649635036,0.3649635036,0.3649635036,0.3649635036,0.6350364964,0.6350364964,0,0,50,1,1,0
2021,3,3x3,137,0,0,0,1,1,0,1,0,0,1,1,1,0.3649635036,0.3503649635,0.3430656934,0.3430656934,0.3430656934,0.6569343066,0.6350364964,0,0,50,0.9388888889,0.94,0.06
2021,5,5x5,137,0,0,0,1,1,0,1,0,0,1,1,1,0.3649635036,0.3503649635,0.3430656934,0.3430656934,0.3284671533,0.6715328467,0.6350364964,0,0,50,0.872,0.9,0.1
2021,7,7x7,137,0,0,0,1,1,0,1,0,0,1,1,1,0.3649635036,0.3430656934,0.3357664234,0.3284671533,0.3211678832,0.6788321168,0.6350364964,0,0,50,0.787755102,0.88,0.12
2021,11,11x11,137,0,0,0,1,1,0,1,0,0,1,1,1,0.3576642336,0.3430656934,0.3211678832,0.3211678832,0.3065693431,0.6934306569,0.6423357664,0,0,50,0.7078512397,0.84,0.16
2022,1,1x1,134,0,0,0,1,1,0,1,0,0,1,1,1,0.2835820896,0.2835820896,0.2835820896,0.2835820896,0.2835820896,0.7164179104,0.7164179104,0,0,38,1,1,0
