stratum_type,stratum_value,window_size,n_scenes,water_fraction_median,water_fraction_q05,water_fraction_q25,water_fraction_q75,water_fraction_q95,bad_scl_fraction_median,bad_scl_fraction_q05,bad_scl_fraction_q95,fraction_water_eq_1_00,fraction_any_bad_scl,fraction_dominated_by_nonwater,fraction_any_persistent_nonwater
month,08,7,93,0,0,0,1,1,1,0,1,0.311827957,0.688172043,0.5698924731,0.01075268817
month,08,11,93,0,0,0,1,1,1,0,1,0.3010752688,0.6989247312,0.5806451613,0.01075268817
month,09,1,89,0,0,0,1,1,1,0,1,0.3483146067,0.6516853933,0.6516853933,0
month,09,3,89,0,0,0,1,1,1,0,1,0.3370786517,0.6516853933,0.6516853933,0.01123595506
month,09,5,89,0,0,0,1,1,1,0,1,0.3033707865,0.6853932584,0.6516853933,0.02247191011
month,09,7,89,0,0,0,1,1,1,0,1,0.2921348315,0.6966292135,0.6516853933,0.02247191011
month,09,11,89,0,0,0,1,1,1,0,1,0.2808988764,0.7191011236,0.6516853933,0.02247191011
month,10,1,90,0,0,0,1,1,1,0,1,0.3444444444,0.6555555556,0.6555555556,0
month,10,3,90,0,0,0,1,1,1,0,1,0.3111111111,0.6888888889,0.6555555556,0
month,10,5,90,0,0,0,1,1,1,0,1,0.3111111111,0.6888888889,0.6555555556,0
month,10,7,90,0,0,0,1,1,1,0,1,0.3111111111,0.6888888889,0.6444444444,0
month,10,11,90,0,0,0,1,1,1,0,1,0.3111111111,0.6888888889,0.6333333333,0
month,11,1,86,0,0,0,0,1,1,0,1,0.2441860465,0.7558139535,0.7558139535,0
month,11,3,86,0,0,0,0,1,1,0,1,0.2441860465,0.7558139535,0.7558139535,0
month,11,5,86,0,0,0,0,1,1,0,1,0.2441860465,0.7558139535,0.7558139535,0
month,11,7,86,0,0,0,0.01530612245,1,1,0,1,0.2325581395,0.7674418605,0.7558139535,0
month,11,11,86,0,0,0,0.06818181818,1,1,0,1,0.2093023256,0.7906976744,0.7558139535,0
month,12,1,33,0,0,0,0,1,1,0,1,0.1212121212,0.8787878788,0.8787878788,0
month,12,3,33,0,0,0,0,1,1,0,1,0.1212121212,0.8787878788,0.8787878788,0
month,12,5,33,0,0,0,0,1,1,0,1,0.1212121212,0.8787878788,0.8787878788,0
month,12,7,33,0,0,0,0,1,1,0,1,0.1212121212,0.8787878788,0.8787878788,0
month,12,11,33,0,0,0,0,1,1,0,1,0.1212121212,0.8787878788,0.8787878788,0
platform,S2A,1,415,0,0,0,1,1,1,0,1,0.3445783133,0.6554216867,0.6554216867,0
platform,S2A,3,415,0,0,0,1,1,1,0,1,0.3325301205,0.6674698795,0.6530120482,0
platform,S2A,5,415,0,0,0,1,1,1,0,1,0.313253012,0.686746988,0.6530120482,0.004819277108
platform,S2A,7,415,0,0,0,1,1,1,0,1,0.3060240964,0.6939759036,0.6506024096,0.004819277108
platform,S2A,11,415,0,0,0,1,1,1,0,1,0.2843373494,0.713253012,0.6481927711,0.007228915663
platform,S2B,1,474,0,0,0,1,1,1,0,1,0.3417721519,0.6582278481,0.6582278481,0
platform,S2B,3,474,0,0,0,1,1,1,0,1,0.3206751055,0.6772151899,0.6582278481,0.004219409283
platform,S2B,5,474,0,0,0,1,1,1,0,1,0.3122362869,0.6856540084,0.6582278481,0.004219409283
platform,S2B,7,474,0,0,0,1,1,1,0,1,0.3016877637,0.6962025316,0.6561181435,0.004219409283
platform,S2B,11,474,0,0,0,1,1,1,0,1,0.2953586498,0.7046413502,0.6561181435,0.006329113924
platform,S2C,1,61,0,0,0,1,1,1,0,1,0.2786885246,0.7213114754,0.7213114754,0
platform,S2C,3,61,0,0,0,1,1,1,0,1,0.262295082,0.737704918,0.7213114754,0
platform,S2C,5,61,0,0,0,0.96,1,1,0,1,0.2459016393,0.7540983607,0.737704918,0
platform,S2C,7,61,0,0,0,0.8775510204,1,1,0,1,0.2295081967,0.7704918033,0.737704918,0
platform,S2C,11,61,0,0,0,0.7851239669,1,1,0,1,0.1967213115,0.8032786885,0.737704918,0
processing_baseline,N0500,1,367,0,0,0,1,1,1,0,1,0.3923705722,0.6076294278,0.6076294278,0
processing_baseline,N0500,3,367,0,0,0,1,1,1,0,1,0.3705722071,0.6294277929,0.6076294278,0
processing_baseline,N0500,5,367,0,0,0,1,1,1,0,1,0.3623978202,0.6376021798,0.6076294278,0
processing_baseline,N0500,7,367,0,0,0,1,1,1,0,1,0.3514986376,0.6485013624,0.6049046322,0
processing_baseline,N0500,11,367,0,0,0,1,1,1,0,1,0.3324250681,0.6675749319,0.6049046322,0
processing_baseline,N0509,1,1,1,1,1,1,1,0,0,0,1,0,0,0
processing_baseline,N0509,3,1,1,1,1,1,1,0,0,0,1,0,0,0
processing_baseline,N0509,5,1,1,1,1,1,1,0,0,0,1,0,0,0
processing_baseline,N0509,7,1,1,1,1,1,1,0,0,0,1,0,0,0
processing_baseline,N0509,11,1,1,1,1,1,1,0,0,0,1,0,0,0
processing_baseline,N0510,1,344,0,0,0,1,1,1,0,1,0.2761627907,0.7238372093,0.7238372093,0
processing_baseline,N0510,3,344,0,0,0,1,1,1,0,1,0.261627907,0.738372093,0.7209302326,0.002906976744
processing_baseline,N0510,5,344,0,0,0,0.93,1,1,0,1,0.2470930233,0.7529069767,0.7209302326,0.005813953488
processing_baseline,N0510,7,344,0,0,0,0.8571428571,1,1,0,1,0.238372093,0.761627907,0.7180232558,0.005813953488
processing_baseline,N0510,11,344,0,0,0,0.770661157,1,1,0,1,0.2296511628,0.7703488372,0.7151162791,0.008720930233
processing_baseline,N0511,1,238,0,0,0,1,1,1,0,1,0.3445378151,0.6554621849,0.6554621849,0
processing_baseline,N0511,3,238,0,0,0,1,1,1,0,1,0.3319327731,0.6638655462,0.6554621849,0.004201680672
processing_baseline,N0511,5,238,0,0,0,1,1,1,0,1,0.3109243697,0.6848739496,0.6596638655,0.008403361345
processing_baseline,N0511,7,238,0,0,0,1,1,1,0,1,0.3025210084,0.6932773109,0.6596638655,0.008403361345
processing_baseline,N0511,11,238,0,0,0,1,1,1,0,1,0.2857142857,0.7100840336,0.6596638655,0.01260504202
