stratum_type,stratum_value,window_size,n_scenes,water_fraction_median,water_fraction_q05,water_fraction_q25,water_fraction_q75,water_fraction_q95,bad_scl_fraction_median,bad_scl_fraction_q05,bad_scl_fraction_q95,fraction_water_eq_1_00,fraction_any_bad_scl,fraction_dominated_by_nonwater,fraction_any_persistent_nonwater
month,01,1,59,0,0,0,0,1,1,0,1,0.186440678,0.813559322,0.813559322,0
month,01,3,59,0,0,0,0,1,1,0,1,0.1694915254,0.8305084746,0.813559322,0
month,01,5,59,0,0,0,0,1,1,0,1,0.1694915254,0.8305084746,0.813559322,0
month,01,7,59,0,0,0,0,1,1,0,1,0.1694915254,0.8305084746,0.813559322,0
month,01,11,59,0,0,0,0,1,1,0,1,0.1525423729,0.8474576271,0.813559322,0
month,02,1,67,0,0,0,0,1,1,0,1,0.1791044776,0.8208955224,0.8208955224,0
month,02,3,67,0,0,0,0,1,1,0,1,0.1791044776,0.8208955224,0.8208955224,0
month,02,5,67,0,0,0,0.02,1,1,0,1,0.1791044776,0.8208955224,0.8208955224,0
month,02,7,67,0,0,0,0.112244898,1,1,0,1,0.1641791045,0.8358208955,0.8208955224,0
month,02,11,67,0,0,0,0.132231405,1,1,0,1,0.1343283582,0.8656716418,0.8208955224,0
month,03,1,76,0,0,0,0,1,1,0,1,0.1842105263,0.8157894737,0.8157894737,0
month,03,3,76,0,0,0,0,1,1,0,1,0.1447368421,0.8552631579,0.8157894737,0
month,03,5,76,0,0,0,0,1,1,0,1,0.1447368421,0.8552631579,0.8289473684,0
month,03,7,76,0,0,0,0,1,1,0,1,0.1315789474,0.8684210526,0.8289473684,0
month,03,11,76,0,0,0,0,1,1,0,1,0.1184210526,0.8815789474,0.8289473684,0
month,04,1,84,0,0,0,1,1,1,0,1,0.3928571429,0.6071428571,0.6071428571,0
month,04,3,84,0,0,0,1,1,1,0,1,0.380952381,0.619047619,0.6071428571,0
month,04,5,84,0,0,0,1,1,1,0,1,0.369047619,0.630952381,0.6071428571,0
month,04,7,84,0,0,0,1,1,1,0,1,0.369047619,0.630952381,0.6071428571,0
month,04,11,84,0,0,0,1,1,1,0,1,0.369047619,0.630952381,0.6071428571,0
month,05,1,91,0,0,0,1,1,1,0,1,0.4505494505,0.5494505495,0.5494505495,0
month,05,3,91,0,0,0,1,1,1,0,1,0.4505494505,0.5494505495,0.5494505495,0
month,05,5,91,0,0,0,1,1,1,0,1,0.4285714286,0.5714285714,0.5494505495,0.01098901099
month,05,7,91,0,0,0,1,1,1,0,1,0.4175824176,0.5824175824,0.5384615385,0.01098901099
month,05,11,91,0,0,0,1,1,1,0,1,0.3956043956,0.6043956044,0.5384615385,0.02197802198
month,06,1,89,1,0,0,1,1,0,0,1,0.5393258427,0.4606741573,0.4606741573,0
month,06,3,89,1,0,0,1,1,0,0,1,0.5393258427,0.4606741573,0.4606741573,0
month,06,5,89,1,0,0,1,1,0,0,1,0.5280898876,0.4719101124,0.4606741573,0
month,06,7,89,1,0,0,1,1,0,0,1,0.5056179775,0.4943820225,0.4606741573,0
month,06,11,89,0.8842975207,0,0,1,1,0.1157024793,0,1,0.4943820225,0.5056179775,0.4494382022,0
month,07,1,93,0,0,0,1,1,1,0,1,0.3978494624,0.6021505376,0.6021505376,0
month,07,3,93,0,0,0,1,1,1,0,1,0.376344086,0.623655914,0.6021505376,0
month,07,5,93,0,0,0,1,1,1,0,1,0.3548387097,0.6451612903,0.6021505376,0
month,07,7,93,0,0,0,1,1,1,0,1,0.3440860215,0.6559139785,0.6021505376,0
month,07,11,93,0,0,0,1,1,1,0,1,0.311827957,0.6774193548,0.6021505376,0.01075268817
month,08,1,93,0,0,0,1,1,1,0,1,0.4193548387,0.5806451613,0.5806451613,0
month,08,3,93,0,0,0,1,1,1,0,1,0.3655913978,0.6344086022,0.5698924731,0.01075268817
month,08,5,93,0,0,0,1,1,1,0,1,0.3225806452,0.6774193548,0.5698924731,0.01075268817
