rule_id,rule_label,rule_role,calendar_month,n_products,n_products_passing,n_candidate_dates,n_usable_dates,date_retention_fraction
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,1,59,10,59,10,0.1694915254
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,2,67,12,67,12,0.1791044776
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,3,76,11,75,11,0.1466666667
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,4,84,32,81,31,0.3827160494
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,5,91,41,89,41,0.4606741573
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,6,89,48,86,47,0.5465116279
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,7,93,35,90,33,0.3666666667
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,8,93,34,90,33,0.3666666667
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,9,89,30,86,30,0.3488372093
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,10,90,28,87,28,0.3218390805
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,11,86,21,83,21,0.2530120482
bad0_water5_centernotbad_p0_class2zero,Bad allowance 0; water >=5,diagnostic,12,33,4,33,4,0.1212121212
bad1_water5_centernotbad_p0_class2zero,Bad allowance 1; water >=5,diagnostic,1,59,10,59,10,0.1694915254
bad1_water5_centernotbad_p0_class2zero,Bad allowance 1; water >=5,diagnostic,2,67,12,67,12,0.1791044776
bad1_water5_centernotbad_p0_class2zero,Bad allowance 1; water >=5,diagnostic,3,76,12,75,12,0.16
bad1_water5_centernotbad_p0_class2zero,Bad allowance 1; water >=5,diagnostic,4,84,33,81,32,0.3950617284
bad1_water5_centernotbad_p0_class2zero,Bad allowance 1; water >=5,diagnostic,5,91,41,89,41,0.4606741573
