year,method,analysis_role,selected_p_seapar,reconstruction_status,mae,rmse,nrmse,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,absolute_integral_error,absolute_relative_integral_error,pearson_correlation,recovery_fraction_10d
2019,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,3.6404100928499239,7.3884622087138956,0.25868563597161831,5,1,1,1,34.394268667602539,1.2042158452897078,455.08857349646001,0.2433277472804328,0.82626369235256025,0.5
2019,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,4.2311019493418023,7.7744444400484243,0.27219968749762552,4.5,1,1,1,39.336182272338867,1.3772426575877084,544.4316727329483,0.2910979097023112,0.80039558192864035,0.5
2020,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,2.6910484983026297,4.9018290970543541,0.23284985126467261,150,0,0,0,24.246647619628909,1.1517799131940885,57.026583254096749,0.029745285226655802,0.73029560599506693,1
2020,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,3.0294291078473137,5.3571924568595879,0.2544808156460599,151,0,0,0,26.934385084533695,1.2794545539353686,6.2204850313642055,0.0032446289247529,0.66486755162307964,0
2021,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,2.6865837047769769,4.1746723364046039,0.1884191156561992,4,1,1,1,15.723096545410158,0.70964418467741963,161.52361567016214,0.1098839168463407,0.7969408791950332,1
2021,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,2.7649537672713524,4.6601235158438969,0.21032940574689091,14,0,0,1,21.785585101318361,0.98326775087179963,131.33297694917292,0.089345337264705199,0.7074911646466352,0.5
2022,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,2.4268103246511457,5.2991367497861681,0.3153344294350261,3,1,1,1,42.810674635314939,2.5475243039161652,99.039457887191929,0.070576890484897403,0.7413905497220209,0.5
2022,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,2.6259611057443619,5.6287582150949822,0.33494913303686952,1,1,1,1,43.923346487426755,2.6137357946175994,54.795726626892247,0.0390481943226254,0.68971023098309792,0.5
2023,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,1.3423849489468946,1.8976207054507008,0.17797730506965581,2,1,1,1,0.1001887466430666,0.0093966739900238003,76.947683205711201,0.072515407320519601,0.86293110545045904,0.33333333333333331
2023,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,1.3450203008213824,1.9006932417065727,0.17826547736930351,2,1,1,1,0.034787640380859103,0.0032627228755110001,71.451679160701588,0.0673359794890976,0.86203013794015915,0.33333333333333331
2024,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,2.4816682439582167,3.616555535831441,0.2216381473953131,0,1,1,1,18.491805044555665,1.1332577009987452,61.000217991706904,0.0445915269770608,0.79371464156444715,0.5
2024,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,2.6850856691507725,3.6821108707119303,0.2256556615274308,1,1,1,1,18.966473547363279,1.1623474375026812,55.851695520046178,0.040827926022089303,0.79252834296939945,0.5
2025,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,0,ok,4.6110320784288987,8.3145871465789654,0.27734450371394792,207,0,0,0,50.17286533203125,1.6735850127139915,65.620607799201935,0.026078183830172501,0.67776288400904383,0
2025,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,1,ok,4.6919608880097714,8.3136740105172517,0.27731404480319322,207,0,0,0,51.294134558105469,1.7109864917715814,17.634128755241363,0.0070079517210706,0.67556240869231543,0
