omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2022,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.022944880180270456,6
2023,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.035286475607155844,6
2024,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.03229424206898681,6
2025,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.030512044621731887,6
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,-0.16666666666666666,6
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.16666666666666666,6
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.33333333333333331,6
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.16666666666666666,6
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.16666666666666666,6
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.16666666666666666,6
2019,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.10255646624997004,6
2020,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.07387166182102238,6
2021,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.069647347164271886,6
2022,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.080763130324654639,6
2023,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.10437521535832898,6
2024,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.098916839197931913,6
2025,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.088946727579558682,6
2019,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.66249232575775896,6
2020,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.48556085098211482,6
2021,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.44070266096489147,6
2022,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.55757881599734826,6
2023,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.74549434554364746,6
2024,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.71460563542055111,6
2025,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,0.66362851535883072,6
