method,duration_days,covariate,outcome,scenario_family,equal_year_mean_spearman,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_available_total,covariate_observed_minimum,covariate_observed_maximum
linear_interpolation,10,a_gap,absolute_peak_date_error_days,consecutive_internal_gap,0.28685575555231652,0.19902416984620885,0.35991980203291435,7,1379,0.0069078347491259001,6.455637488556297
linear_interpolation,10,a_gap,nrmse,consecutive_internal_gap,0.27319520885385778,0.044640085507080617,0.51094820902209326,7,1379,0.0069078347491259001,6.455637488556297
linear_interpolation,10,a_gap,peak_timing_success_10d,consecutive_internal_gap,-0.31917827171758006,-0.36274949196359335,-0.25985762053444883,4,1379,0.0069078347491259001,6.455637488556297
linear_interpolation,10,observations_removed,absolute_peak_date_error_days,consecutive_internal_gap,0.087784373099034044,0.021352948288187693,0.16076185672778251,7,1379,1,5
linear_interpolation,10,observations_removed,nrmse,consecutive_internal_gap,-0.14869078134027586,-0.31592932595685652,0.013861821277973269,7,1379,1,5
linear_interpolation,10,observations_removed,peak_timing_success_10d,consecutive_internal_gap,-0.095993952556359091,-0.17240763099205031,-0.043246655108725489,4,1379,1,5
linear_interpolation,10,window_midpoint_relative_position,absolute_peak_date_error_days,consecutive_internal_gap,-0.059689767208473472,-0.17621088820022729,0.046278043027453135,7,1379,0.02,0.97799999999999998
linear_interpolation,10,window_midpoint_relative_position,nrmse,consecutive_internal_gap,-0.0018479503159467242,-0.091406033369836673,0.088282334824259942,7,1379,0.02,0.97799999999999998
linear_interpolation,10,window_midpoint_relative_position,peak_timing_success_10d,consecutive_internal_gap,0.016712467532181339,-0.085037867350890292,0.15556688495268872,4,1379,0.02,0.97799999999999998
linear_interpolation,20,a_gap,absolute_peak_date_error_days,consecutive_internal_gap,0.35295557296369751,0.20749647378648284,0.47502142943210818,7,1525,0.025285744316099298,11.128388419283166
linear_interpolation,20,a_gap,nrmse,consecutive_internal_gap,0.36675299213562423,0.10267405987458054,0.6348312209143574,7,1525,0.025285744316099298,11.128388419283166
linear_interpolation,20,a_gap,peak_timing_success_10d,consecutive_internal_gap,-0.46188606974556234,-0.49567352875445359,-0.4280986107366711,4,1525,0.025285744316099298,11.128388419283166
linear_interpolation,20,observations_removed,absolute_peak_date_error_days,consecutive_internal_gap,0.15647545582342812,0.07525628932677024,0.24045177851454025,7,1525,1,8
linear_interpolation,20,observations_removed,nrmse,consecutive_internal_gap,-0.038387745363379459,-0.23138875328168593,0.14042199064593067,7,1525,1,8
linear_interpolation,20,observations_removed,peak_timing_success_10d,consecutive_internal_gap,-0.11600150910227788,-0.24358807055214743,0.011585052347591634,4,1525,1,8
linear_interpolation,20,window_midpoint_relative_position,absolute_peak_date_error_days,consecutive_internal_gap,-0.081633088282410449,-0.23330957156708859,0.048152584586629139,7,1525,0.0403846153846152,0.95961538461538465
linear_interpolation,20,window_midpoint_relative_position,nrmse,consecutive_internal_gap,-0.01439434976620144,-0.12386222157460559,0.084161728107684089,7,1525,0.0403846153846152,0.95961538461538465
linear_interpolation,20,window_midpoint_relative_position,peak_timing_success_10d,consecutive_internal_gap,0.064033217383583738,-0.11381711811534714,0.2957395061427967,4,1525,0.0403846153846152,0.95961538461538465
linear_interpolation,30,a_gap,absolute_peak_date_error_days,consecutive_internal_gap,0.3906166118938173,0.2072972668355382,0.55497003262166678,7,1475,0.048636719550354902,15.484027686454541
linear_interpolation,30,a_gap,nrmse,consecutive_internal_gap,0.42050325803121957,0.16246677464032178,0.67910850133102063,7,1475,0.048636719550354902,15.484027686454541
linear_interpolation,30,a_gap,peak_timing_success_10d,consecutive_internal_gap,-0.52554078176098784,-0.60522889204742147,-0.44585267147455421,4,1475,0.048636719550354902,15.484027686454541
linear_interpolation,30,observations_removed,absolute_peak_date_error_days,consecutive_internal_gap,0.15473858566135892,0.033755942477136959,0.28743490601934035,7,1475,1,11
linear_interpolation,30,observations_removed,nrmse,consecutive_internal_gap,0.03849400046900233,-0.18546054178455468,0.26147911113142186,7,1475,1,11
linear_interpolation,30,observations_removed,peak_timing_success_10d,consecutive_internal_gap,-0.16645566165180781,-0.3062246974788157,-0.056699985409500595,4,1475,1,11
linear_interpolation,30,window_midpoint_relative_position,absolute_peak_date_error_days,consecutive_internal_gap,-0.074241907674420474,-0.23943055132108079,0.071854639119975056,7,1475,0.059615384615384501,0.94038461538461515
linear_interpolation,30,window_midpoint_relative_position,nrmse,consecutive_internal_gap,-0.018160456329978421,-0.11313212334891223,0.089314810097928757,7,1475,0.059615384615384501,0.94038461538461515
linear_interpolation,30,window_midpoint_relative_position,peak_timing_success_10d,consecutive_internal_gap,0.053958407345683773,-0.14964311972784822,0.29800360148306981,4,1475,0.059615384615384501,0.94038461538461515
linear_interpolation,45,a_gap,absolute_peak_date_error_days,consecutive_internal_gap,0.44369496464846819,0.20508714664190103,0.65389123066271593,7,1367,0.27055384094511942,17.288983776369555
linear_interpolation,45,a_gap,nrmse,consecutive_internal_gap,0.53195016715940024,0.27594206532534299,0.73124798116335199,7,1367,0.27055384094511942,17.288983776369555
linear_interpolation,45,a_gap,peak_timing_success_10d,consecutive_internal_gap,-0.61699607929974232,-0.71981470746567533,-0.46256920361603127,4,1367,0.27055384094511942,17.288983776369555
linear_interpolation,45,observations_removed,absolute_peak_date_error_days,consecutive_internal_gap,0.12080219428595353,-0.017862398222492887,0.29033566258911436,7,1367,1,14
linear_interpolation,45,observations_removed,nrmse,consecutive_internal_gap,0.047089722510324138,-0.16769927808363347,0.27881764928247854,7,1367,1,14
linear_interpolation,45,observations_removed,peak_timing_success_10d,consecutive_internal_gap,-0.074388516505485558,-0.28659921926072751,0.093452954747159395,4,1367,1,14
linear_interpolation,45,window_midpoint_relative_position,absolute_peak_date_error_days,consecutive_internal_gap,-0.058422533796925975,-0.24029791223217664,0.11376472632999733,7,1367,0.0884615384615383,0.91153846153846163
linear_interpolation,45,window_midpoint_relative_position,nrmse,consecutive_internal_gap,-0.017285504916334841,-0.23862277820571007,0.18396849180328365,7,1367,0.0884615384615383,0.91153846153846163
linear_interpolation,45,window_midpoint_relative_position,peak_timing_success_10d,consecutive_internal_gap,0.028838778357347924,-0.22643007924595124,0.29411464201761478,4,1367,0.0884615384615383,0.91153846153846163
timesat_double_logistic,10,a_gap,absolute_peak_date_error_days,consecutive_internal_gap,0.07811058911286671,-0.035201372771157972,0.18541234585728375,6,1379,0.0069078347491259001,6.455637488556297
timesat_double_logistic,10,a_gap,nrmse,consecutive_internal_gap,0.35997446473335887,0.24812921105783631,0.48445829228306769,7,1379,0.0069078347491259001,6.455637488556297
timesat_double_logistic,10,a_gap,peak_timing_success_10d,consecutive_internal_gap,0.057491966279490894,0.057491966279490894,0.057491966279490894,1,1379,0.0069078347491259001,6.455637488556297
timesat_double_logistic,10,observations_removed,absolute_peak_date_error_days,consecutive_internal_gap,-0.037135047532077435,-0.14517015496596705,0.051932904485832189,6,1379,1,5
timesat_double_logistic,10,observations_removed,nrmse,consecutive_internal_gap,-0.29571397039442171,-0.41750371649296064,-0.17737593897671494,7,1379,1,5
timesat_double_logistic,10,observations_removed,peak_timing_success_10d,consecutive_internal_gap,0.22174962095597983,0.22174962095597983,0.22174962095597983,1,1379,1,5
