year,method,reconstruction_status,reconstruction_failure_reason,first_sparse_input_date,last_sparse_input_date,diagnostic_n_sparse_inputs,n_pointwise_evaluation_dates,n_common_support_dates,q95_minus_q05,reference_peak_time,reconstruction_peak_time,signed_peak_date_error_days,reference_peak_at_boundary,peak_timing_metric_status,n_negative_reconstructed_days,selected_smoothing,mae,rmse,nrmse,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,absolute_integral_error,absolute_relative_integral_error,pearson_correlation,calendar_coverage_status,analysis_role
2022,timesat_double_logistic,ok,,2022-04-18,2022-12-09,36,200,236,16.804815000000001,2022-08-07,2022-08-06T00:00:00,-1,False,ok,0,10,2.6259611057443619,5.6287582150949822,0.33494913303686952,1,True,True,True,43.923346487426755,2.6137357946175994,54.795726626892247,0.0390481943226254,0.68971023098309792,complete_calendar_year_source_coverage,primary_actual_mask
2022,timesat_smoothing_spline,ok,,2022-04-18,2022-12-09,36,200,236,16.804815000000001,2022-08-07,2022-07-25T00:00:00,-13,False,ok,0,10,1.6052803355981826,4.7041679610539289,0.27992976781082851,13,False,False,True,40.272992102050779,2.3965150525043435,177.40676447727219,0.12642251941699759,0.82420883673090861,complete_calendar_year_source_coverage,primary_actual_mask
2023,linear_interpolation,ok,,2023-04-21,2023-11-29,27,196,223,10.662149899999999,2023-04-23,2023-04-23T00:00:00,0,False,ok,0,10,1.1504836782057779,1.8347420987909149,0.1720799384738452,0,True,True,True,0,0,102.4164679999999,0.096517160542628794,0.88501244765435394,complete_calendar_year_source_coverage,primary_actual_mask
2023,timesat_double_logistic,ok,,2023-04-21,2023-11-29,27,196,223,10.662149899999999,2023-04-23,2023-04-21T00:00:00,-2,False,ok,0,10,1.3450203008213824,1.9006932417065727,0.17826547736930359,2,True,True,True,0.034787640380859103,0.0032627228755110998,71.451679160701588,0.067335979489097794,0.86203013794015915,complete_calendar_year_source_coverage,primary_actual_mask
2023,timesat_smoothing_spline,ok,,2023-04-21,2023-11-29,27,196,223,10.662149899999999,2023-04-23,2023-04-22T00:00:00,-1,False,ok,0,10,1.3890923326526368,2.1035961649433146,0.1972956847045749,1,True,True,True,1.450430407714844,0.13603545451136859,147.21321584831412,0.1387335637080202,0.85485623348592377,complete_calendar_year_source_coverage,primary_actual_mask
2024,linear_interpolation,ok,,2024-04-17,2024-11-28,40,186,226,16.317387499999999,2024-08-31,2024-09-04T00:00:00,4,False,ok,0,3,1.9195744852429533,3.4494627554158876,0.2113979799410835,4,True,True,True,8.5762999999999963,0.52559271513286043,30.246232999999847,0.022110178605547301,0.84725500956820921,complete_calendar_year_source_coverage,primary_actual_mask
2024,timesat_double_logistic,ok,,2024-04-17,2024-11-28,40,186,226,16.317387499999999,2024-08-31,2024-08-30T00:00:00,-1,False,ok,0,3,2.6850856691507725,3.6821108707119303,0.2256556615274308,1,True,True,True,18.966473547363279,1.1623474375026812,55.851695520046178,0.040827926022089303,0.79252834296939945,complete_calendar_year_source_coverage,primary_actual_mask
2024,timesat_smoothing_spline,ok,,2024-04-17,2024-11-28,40,186,226,16.317387499999999,2024-08-31,2024-09-03T00:00:00,3,False,ok,0,3,2.1029770194989865,3.6996815332100943,0.2267324676336879,3,True,True,True,12.089093176269529,0.74087185686247437,95.509797011676241,0.069818237216771703,0.8181046954775465,complete_calendar_year_source_coverage,primary_actual_mask
2025,linear_interpolation,ok,,2025-03-21,2025-11-26,48,203,251,29.979275000000001,2025-10-14,2025-03-28T00:00:00,-200,False,ok,0,10,3.8853107354517409,7.9678487741828974,0.26577856783337478,200,False,False,False,42.770600000000002,1.4266722594192156,233.29240400000023,0.0927123719474129,0.76585398338162125,boundary_truncated_common_support,primary_actual_mask
2025,timesat_double_logistic,ok,,2025-03-21,2025-11-26,48,203,251,29.979275000000001,2025-10-14,2025-03-21T00:00:00,-207,False,ok,0,10,4.6919608880097714,8.3136740105172517,0.27731404480319322,207,False,False,False,51.294134558105469,1.7109864917715814,17.634128755241363,0.0070079517210706,0.67556240869231543,boundary_truncated_common_support,primary_actual_mask
2025,timesat_smoothing_spline,ok,,2025-03-21,2025-11-26,48,203,251,29.979275000000001,2025-10-14,2025-03-26T00:00:00,-202,False,ok,0,10,3.9811332024046422,8.0253819526450929,0.26769766622592078,202,False,False,False,44.388208807373047,1.480629828685752,257.87106221327213,0.1024801383348569,0.76095943091070184,boundary_truncated_common_support,primary_actual_mask
