method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,3,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,169.3286492916736,96.003249558931884,257.37200636853061,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,35.723191291362781,2.2414136386261823,92.224933451641519,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.098191371697822633,0.063242675801413531,0.13723660009962327,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.80540491790900426,0.25380576658029569,1.4411074115546261,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20834235818602256,0.16170858453459053,0.24919432585488677,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.69031027044964333,0.38758918201426912,0.97602455616392902,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.69727891156462596,0.39455782312925169,0.98299319727891166,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.54745312759250042,0.14285714285714285,0.84320557491289194,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8565938961266063,0.81384569859837241,0.90134134448752812,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
linear_interpolation,10,3,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.4601281111495021,2.8414427043366084,6.2621384506781199,7,7,268,0,268,0,0.026548343436092501,6.455637488556297,0.02,0.9407894736842104,3,3,15,43
