year,method,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2025,linear_interpolation,random_deletion,resulting_maximum_internal_gap_days,peak_timing_success_10d,within_year_spearman,,400,15,67
2019,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.27812745984468079,400,0.077253218884119998,0.1373390557939913
2020,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.042476593655520395,400,0.095709570957095702,0.1683168316831683
2021,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.32067352278908345,400,0.091954022988505704,0.160919540229885
2022,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.28294994868744744,400,0.080508474576271,0.1398305084745762
2023,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.28525392016847373,400,0.062780269058295798,0.1076233183856502
2024,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.3365278399643829,400,0.092920353982300696,0.15929203539823
2025,linear_interpolation,random_deletion,resulting_observation_density,absolute_peak_date_error_days,within_year_spearman,-0.014284837433809835,400,0.099601593625498003,0.1713147410358565
2019,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,0.24345650535742586,400,0.077253218884119998,0.1373390557939913
2020,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.66931170857719224,400,0.095709570957095702,0.1683168316831683
2021,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.72949805785989086,400,0.091954022988505704,0.160919540229885
2022,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.30267459436569494,400,0.080508474576271,0.1398305084745762
2023,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.50472879061692233,400,0.062780269058295798,0.1076233183856502
2024,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,-0.41051815265248665,400,0.092920353982300696,0.15929203539823
2025,linear_interpolation,random_deletion,resulting_observation_density,nrmse,within_year_spearman,0.084470030750042308,400,0.099601593625498003,0.1713147410358565
2019,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.22558778976232488,400,0.077253218884119998,0.1373390557939913
2020,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,-0.21429865385363076,400,0.095709570957095702,0.1683168316831683
2021,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.2966523929215395,400,0.091954022988505704,0.160919540229885
2022,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.20133845088934615,400,0.080508474576271,0.1398305084745762
2023,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,,400,0.062780269058295798,0.1076233183856502
2024,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,0.31096556754660831,400,0.092920353982300696,0.15929203539823
2025,linear_interpolation,random_deletion,resulting_observation_density,peak_timing_success_10d,within_year_spearman,,400,0.099601593625498003,0.1713147410358565
2019,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.075158623639081157,400,25,72
2020,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.11964420383157653,400,22,78
2021,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.076674324285030071,400,15,65
2022,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.32526092889695812,400,20,90
2023,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.20507098013613068,400,42,117
2024,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,0.34164597459068768,400,20,68
2025,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,within_year_spearman,-0.069359735856073246,400,15,67
2019,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.21847740871235261,400,25,72
2020,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.4852917505717273,400,22,78
2021,timesat_double_logistic,random_deletion,resulting_maximum_internal_gap_days,nrmse,within_year_spearman,0.39936185507685745,400,15,65
