duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
45,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,-83.309897740860066,-139.6515859127656,-40.593017355530414,83.309897740860066,38.670780497086575,138.70140529133943,7,7,0,0
45,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-11.436032471648142,-35.432069082097435,4.0386783748935544,11.436032471648142,-4.4005073659759111,35.421242265256097,7,6,1,0
45,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,-0.053878789552432624,-0.095188561383491035,-0.025608279726322489,0.053878789552432624,0.025608279726322489,0.095581097513685487,7,7,0,0
45,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.18332753759705891,-0.36676299921389915,-0.037551402751435363,0.18332753759705891,0.03524231590877025,0.36885445649443455,7,4,3,0
45,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.041852370795375515,-0.069818421108940321,-0.01654662741382245,0.041852370795375515,0.017437705772812857,0.069587388825668742,7,6,1,0
45,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.063185962486245487,-0.031235650025109103,0.21447411797577018,0.063185962486245487,-0.03041056798306177,0.21294270728942993,7,2,3,2
45,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,-0.018442413643504223,-0.057774364947286529,0.023499755595721223,-0.018442413643504223,-0.058877026112015007,0.023896025052358313,7,2,3,2
45,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.1021458453178524,-0.05898636684998531,0.33340330408752172,0.1021458453178524,-0.059657057661521198,0.32901684078001919,7,4,2,1
45,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.055640981356769412,0.019517450456040808,0.095880575574153193,0.055640981356769412,0.019968781526470841,0.095411624170013518,7,6,1,0
45,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.77586877846078994,-1.2403343877456015,-0.31079569761474551,0.77586877846078994,0.31079569761474551,1.2531563156874388,7,6,1,0
45,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,59.267736376558069,4.3182922869719755,121.19419034432224,-59.267736376558069,-121.01147442226889,-3.6481273321308265,7,3,4,0
45,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-8.3473475084325681,-22.024227392387463,2.146468678380443,8.3473475084325681,-2.1508454948347269,22.024227392387463,7,3,4,0
45,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.035589248669334009,9.2278969747129034e-05,0.079972127896798362,-0.035589248669334009,-0.07975858973720952,2.2649984696558731e-05,7,3,4,0
45,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.28320579443130317,-0.38384404541780504,-0.17797501496326845,0.28320579443130317,0.17797501496326845,0.38383058496667999,7,7,0,0
45,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.0094902884508445418,-0.037335183752627267,0.029753723329799864,0.0094902884508445418,-0.029366865858871716,0.036956102567857516,7,5,2,0
45,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.064800973414021801,-0.21094570047171105,0.39786984978310763,0.064800973414021801,-0.21894844062026728,0.39013473855074177,7,4,2,1
45,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.044052936581415077,-0.023510540113091595,0.13779790540896453,0.044052936581415077,-0.021939919781569023,0.13788234109711539,7,4,2,1
45,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.0033681330695687034,-0.24811628000482486,0.32378440193257679,0.0033681330695687034,-0.24811628000482486,0.33137314122266243,7,2,3,2
45,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.073136876229576625,8.7513848582981038e-05,0.13300491129452938,0.073136876229576625,0.0010463991028499095,0.13357085335817528,7,6,1,0
45,timesat_smoothing_spline,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.22440012160705361,-0.72280111486309795,0.45109402439170865,0.22440012160705361,-0.45109402439170865,0.72352225032625317,7,5,2,0
