duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
10,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.26904767477347008,-0.41083695841415085,-0.12062145972747206,0.26904767477347008,0.11660677377183873,0.40977479219989055,7,6,1,0
10,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.025454864325724059,-0.049819853702926034,-0.0017545019712558968,0.025454864325724059,0.0023191995222802764,0.048757506110804004,7,5,2,0
10,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.011141061992243533,-0.35816026555538327,0.39420142947279141,0.011141061992243533,-0.36022300603026508,0.39858220144530188,7,2,3,2
10,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.038744785763786781,-0.011459129106187928,0.12280765656007434,0.038744785763786781,-0.011459129106187928,0.12217042259140334,7,2,2,3
10,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,-0.09392004104928961,-0.48145803497026224,0.30501612916347637,-0.09392004104928961,-0.48145803497026218,0.30501612916347637,7,2,3,2
10,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.085666249921205487,0.028915136712084139,0.14255090304558662,0.085666249921205487,0.029445967909013104,0.14370782944103314,7,6,1,0
10,timesat_smoothing_spline,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.56617359788065558,-1.040761461951724,-0.11221931686507314,0.56617359788065558,0.12428861920909189,1.0373589358711308,7,5,2,0
20,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,12.588723013334203,-46.885717660902607,65.70851347798866,-12.588723013334203,-65.961842768862994,47.503715951892751,7,3,4,0
20,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-22.643447974718899,-52.36498900713601,0.20887716683752797,22.643447974718899,-0.40917545716502257,51.975126516038166,7,5,2,0
20,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.0071449431055597536,-0.025260633827119339,0.036619729230470362,-0.0071449431055597536,-0.035987600265962878,0.026908481466098467,7,3,4,0
