omitted_year,method,metric,metric_label,unit,favorable_direction,equal_year_estimate_after_omission,n_years_retained
2019,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.073629084426485039,6
2020,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09780164882591276,6
2021,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.097648526840123387,6
2022,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.088433601120535152,6
2023,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09134366525304792,6
2024,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10374482890922816,6
2025,linear_interpolation,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09197779668558391,6
2019,linear_interpolation,mae,point-wise MAE,ug_L,lower,1.8476263035294167,6
2020,linear_interpolation,mae,point-wise MAE,ug_L,lower,2.1308421371230279,6
2021,linear_interpolation,mae,point-wise MAE,ug_L,lower,2.2024763512968231,6
2022,linear_interpolation,mae,point-wise MAE,ug_L,lower,2.1328818247454255,6
2023,linear_interpolation,mae,point-wise MAE,ug_L,lower,2.1931188759250193,6
2024,linear_interpolation,mae,point-wise MAE,ug_L,lower,2.0649370747521569,6
2025,linear_interpolation,mae,point-wise MAE,ug_L,lower,1.7373143663840256,6
2019,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.74547649252968151,6
2020,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.90029942022248743,6
2021,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.93021262798004312,6
2022,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.54002683896659676,6
2023,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.93021262798004312,6
2024,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.84261384212456647,6
2025,linear_interpolation,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.69243391807684052,6
2019,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.19355928710991036,6
2020,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21337358785969707,6
2021,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22199384530430302,6
2022,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.19140420294967289,6
2023,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20869384653731451,6
2024,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2021408396261081,6
2025,linear_interpolation,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.19307740831072626,6
2019,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2020,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.83333333333333337,6
2021,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2022,linear_interpolation,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
