scenario_family,level_name,level_value,method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.0103565943229418,0.0039108947647829495,0.01676529627585549,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.032815813060833747,0.012414398879524068,0.0560998815596652,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.70495809765349349,0.40587712096332795,0.98190753045404211,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,51.330142371147581,3.9852025298022733,109.80391827895578,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,168.33059953663385,100.69479098652158,270.4169895000793,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.49841830326330561,0.29761890732896018,0.70292579148389234,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24614774647347776,0.21587411942931453,0.27644590004058694,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76273372680499174,0.71666293330511865,0.8064891255009673,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.57521672526106282,0.17432966878929865,0.85797964113181491,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,59.909076484196653,10.422339829295302,119.57876848259147,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,157.23774718764767,77.12982054132749,283.47858962478659,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.34904037325529219,0.20655671003058279,0.47031505337554957,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25650434079641959,0.22418882665027914,0.29137857040040976,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.72991791374415782,0.68135283317024786,0.78340625375629691,7,1525,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.12643521080886561,-0.010582010582010571,0.37396224094459135,7,1475,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,6.4878261384297433,-0.44685111432810726,19.650488545518918,7,1475,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-16.041252296493525,-40.858348639711089,9.5779466523294925,7,1475,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.14649535452356671,0.0030964405964405803,0.29657064471879285,7,1475,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.0094869312037154287,0.0021248768266164627,0.017323552446306227,7,1475,0
consecutive_internal_gap,duration_days,30,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.034432623502709911,0.014933238837079896,0.055328129775315586,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.68501971203563738,0.29299887660723745,0.96409407223220323,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,53.071383445912161,4.7188034535452195,112.85301853051648,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,196.29244039982862,129.50214531666794,292.17392088604674,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.47784254608078253,0.28247479501996203,0.6776136083518447,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25351094827412674,0.22559217305916482,0.28259603242919368,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.75170106469673192,0.70360606790751479,0.79718119407422894,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.55858450122677183,0.17679095884586629,0.83869768693616931,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,59.559209584341907,11.127209164112665,118.09623920193026,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,180.25118810333512,102.82650396747368,292.22552883611104,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.33134719155721576,0.20229204167786702,0.44044494251281102,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26299787947784214,0.23153716509444025,0.29664931739927775,7,1475,0
consecutive_internal_gap,duration_days,30,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.71726844119402189,0.66811086593381308,0.77141679415751852,7,1475,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.11371390729803929,-0.023341027431314092,0.34518308411605336,7,1367,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,6.3514403372468484,0.12241608175379502,16.465227084349134,7,1367,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-30.083876566778688,-72.185379581484781,4.5716842344608652,7,1367,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.1357849079157992,0.0093262818062104236,0.27576134654584861,7,1367,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.0055615008805269817,-0.0069937214784939828,0.017173240883480025,7,1367,0
consecutive_internal_gap,duration_days,45,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.041439491258441992,0.020734741999656321,0.063995640621326885,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.59605089400119637,0.33732004429678847,0.83676191801119337,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,55.230390753627297,10.56525225200796,113.17712264777454,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,282.48559426996678,216.81418365314497,358.46901585729199,7,1367,0
consecutive_internal_gap,duration_days,45,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.42864061900624939,0.25707094794431623,0.61718535246022843,7,1367,0
