method,duration_days,contains_reference_global_peak,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,False,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,158.46414618968427,91.206913654625538,244.12325965112058,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,35.227552076332636,1.8279400157853196,91.550066243860769,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.092756160794802672,0.059540310315051255,0.13433748567859236,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.80078492257344391,0.26035051261517111,1.4325644709720886,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20683286045942051,0.15875286504979327,0.25059075491773103,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.70545062824245353,0.41587182677172374,0.99031476997578693,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.70867903825052458,0.41114838200473852,0.99439332396481028,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.56732908128112758,0.14285714285714285,0.85540069686411158,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85830774692672063,0.81303407927474125,0.90363052697981416,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,False,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.4178342563779216,2.8143012431852559,6.1296447752464838,7,7,1320,0,1320,0,0.0069078347491259001,5.1454914138407384,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,True,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,179.07316863877554,110.47634236734693,272.63038253923469,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,47.508163265306123,11.224285714285717,101.38571428571429,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10509015012383678,0.075318857270626483,0.14762814737745208,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.93454925175252279,0.42572391468600684,1.5310924232820677,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22326854020835776,0.18786515598045014,0.25882586028635346,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.38979591836734689,0.17551020408163268,0.6183673469387756,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.47551020408163264,0.19999999999999998,0.77142857142857146,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.32857142857142857,0.1142857142857143,0.59999999999999998,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8388567952580408,0.80721959667482157,0.86890237143079552,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,10,True,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.7771385733747396,3.2875680063083585,6.3726772704110521,7,7,59,0,59,0,1.1239928262497978,6.455637488556297,0.024774774774774602,0.84599999999999975,1,3,15,42
linear_interpolation,20,False,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,163.87089361499508,99.47778807930932,242.34370014731755,7,7,1403,0,1403,0,0.025285744316099298,7.0106529239941811,0.042000000000000003,0.95961538461538465,1,8,21,85
linear_interpolation,20,False,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,35.850911103133981,1.6194238194238193,92.320989030354767,7,7,1403,0,1403,0,0.025285744316099298,7.0106529239941811,0.042000000000000003,0.95961538461538465,1,8,21,85
linear_interpolation,20,False,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09631805148282449,0.065458135004655332,0.1349551747505113,7,7,1403,0,1403,0,0.025285744316099298,7.0106529239941811,0.042000000000000003,0.95961538461538465,1,8,21,85
linear_interpolation,20,False,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.80589794599687703,0.24447240560479258,1.4322756229632563,7,7,1403,0,1403,0,0.025285744316099298,7.0106529239941811,0.042000000000000003,0.95961538461538465,1,8,21,85
linear_interpolation,20,False,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21101139118877635,0.16535167049141439,0.25245868810412897,7,7,1403,0,1403,0,0.025285744316099298,7.0106529239941811,0.042000000000000003,0.95961538461538465,1,8,21,85
