method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
linear_interpolation,timesat_double_logistic,rmse,primary_actual_mask,point-wise RMSE,ug_L,lower,-0.97791190890168578,-1.7451128976314862,-0.29850201261932491,0.97791190890168578,0.3019924334795428,1.7691200843177288,7,7,0,0
linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_actual_mask,absolute common-support integral error,ug_day_L,lower,-29.614335962620906,-47.013432980240914,-10.859905743375267,29.614335962620906,10.380634283976773,46.872797659531749,7,6,1,0
linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_actual_mask,absolute global-peak date error,days,lower,-20,-53.857142857142854,-1.5714285714285714,20,1.5714285714285714,54,7,6,1,0
linear_interpolation,timesat_smoothing_spline,absolute_peak_magnitude_error,primary_actual_mask,absolute global-peak magnitude error,ug_L,lower,-4.8760808445521766,-9.3610462585449223,-1.4662106905692005,4.8760808445521766,1.5146512826102112,9.3185093758719315,7,7,0,0
linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_actual_mask,absolute relative common-support integral error,fraction,lower,-0.02122652812678787,-0.03484923147882537,-0.0077531589477886952,0.02122652812678787,0.0075404020608700476,0.034721558701691004,7,6,1,0
linear_interpolation,timesat_smoothing_spline,mae,primary_actual_mask,point-wise MAE,ug_L,lower,-0.26772050236557915,-0.45570896853664833,-0.10791070620964713,0.26772050236557915,0.10546014993232419,0.45309896708492525,7,7,0,0
linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_actual_mask,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.24163266877639708,-0.45521838962954203,-0.08173944166066649,0.24163266877639708,0.084137970237148751,0.45521838962954203,7,7,0,0
linear_interpolation,timesat_smoothing_spline,nrmse,primary_actual_mask,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.019466080231711071,-0.033512613519141463,-0.0066371990652997438,0.019466080231711071,0.0066371990652997438,0.033198460851070213,7,6,1,0
linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_actual_mask,global-peak timing success <=10 d,fraction,higher,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,7,1,0,6
linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_actual_mask,global-peak timing success <=15 d,fraction,higher,0,0,0,0,0,0,7,0,0,7
linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_actual_mask,global-peak timing success <=5 d,fraction,higher,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,7,1,0,6
linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_actual_mask,daily trajectory Pearson correlation,correlation,higher,0.033655151251159428,0.01465396759948028,0.056534321779738446,0.033655151251159428,0.014901957458493209,0.056173876172908227,7,7,0,0
linear_interpolation,timesat_smoothing_spline,rmse,primary_actual_mask,point-wise RMSE,ug_L,lower,-0.36790288746952238,-0.67831762452767597,-0.093791719514454128,0.36790288746952238,0.093779984555223822,0.6722099144411684,7,6,1,0
timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_actual_mask,absolute common-support integral error,ug_day_L,lower,61.114408815997066,-33.29699255217399,144.78437714094798,-61.114408815997066,-143.80612315966417,33.296992552173933,7,1,6,0
timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_actual_mask,absolute global-peak date error,days,lower,0.21428571428571427,-4.6428571428571432,5.1428571428571432,-0.21428571428571427,-5.2857142857142856,4.7142857142857144,7,3,3,1
timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,primary_actual_mask,absolute global-peak magnitude error,ug_L,lower,-6.0024326828002925,-9.0105311529976984,-2.9549936401367183,6.0024326828002925,2.8703797079903737,9.0064532416207452,7,6,1,0
timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_actual_mask,absolute relative common-support integral error,fraction,lower,0.036465274500254115,-0.016493431264238939,0.075977919720951734,-0.036465274500254115,-0.075973157343467296,0.014490203688471369,7,1,6,0
timesat_smoothing_spline,timesat_double_logistic,mae,primary_actual_mask,point-wise MAE,ug_L,lower,-0.74146747683882963,-0.95931511189298546,-0.44709615445565215,0.74146747683882963,0.45025115461275622,0.96203784442139584,7,6,1,0
timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_actual_mask,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.26537042283531587,-0.41047281957177295,-0.10379232422991012,0.26537042283531587,0.1019930027402325,0.41110534890766232,7,6,1,0
timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_actual_mask,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.027526949472523394,-0.051467603547881144,-0.0034955621583698843,0.027526949472523394,0.0036445822373478948,0.052712084259253507,7,5,2,0
timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_actual_mask,global-peak timing success <=10 d,fraction,higher,0,-0.42857142857142855,0.42857142857142855,0,-0.42857142857142855,0.42857142857142855,7,1,1,5
timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_actual_mask,global-peak timing success <=15 d,fraction,higher,0,0,0,0,0,0,7,0,0,7
timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,primary_actual_mask,global-peak timing success <=5 d,fraction,higher,-0.14285714285714285,-0.5714285714285714,0.2857142857142857,-0.14285714285714285,-0.5714285714285714,0.2857142857142857,7,1,2,4
timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,primary_actual_mask,daily trajectory Pearson correlation,correlation,higher,0.088439626813676925,0.031779458124561163,0.14741538186887135,0.088439626813676925,0.033005998274202537,0.14618701700324119,7,6,1,0
timesat_smoothing_spline,timesat_double_logistic,rmse,primary_actual_mask,point-wise RMSE,ug_L,lower,-0.61000902143216329,-1.1008949907187382,-0.1514610283307942,0.61000902143216329,0.14288888111305506,1.1138143289029199,7,5,2,0
