year,method,duration_days,activity_class,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,a_gap_minimum,a_gap_maximum,window_midpoint_relative_position_minimum,window_midpoint_relative_position_maximum,observations_removed_minimum,observations_removed_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2019,linear_interpolation,45,low,51,0,0,0.30263450706523343,1.2353056283924111,0.099137931034482707,0.90086206896551724,4,6,47,73,7.4501006794781803,51,0,0.26084372876001616,51,0,1,51,0,1,51,0,0,1,51,0,0,1,51,0,0,1.1084168127021694,51,0,356.21760350980401,51,0,0.19046320222397148,51,0,0.81190639428250977,51,0
2019,linear_interpolation,45,medium,69,0,0,1.3916175691877772,4.1025972401776025,0.26293103448275862,0.84482758620689635,4,9,47,85,7.4566363242309031,69,0,0.26107255545921076,69,0,1,69,0,1,69,0,0,1,69,0,0,1,69,0,0,1.1084168127021699,69,0,282.84866479710138,69,0,0.15123413865914676,69,0,0.80273264246944942,69,0
2019,timesat_double_logistic,10,high,54,0,0,0.64196135307512092,6.455637488556297,0.3125,0.79094827586206895,1,3,25,30,7.8877472151774617,54,0,0.27616665648435684,54,0,4.4907407407407405,54,0,0.72222222222222221,54,0,0,1,54,0,0,1,54,0,0,1.4040170078478265,54,0,539.30986095945843,54,0,0.28835936825473646,54,0,0.79262505597670396,54,0
2019,timesat_double_logistic,10,low,67,0,0,0.0095670584801635008,0.1594755998519409,0.032327586206896401,0.97629310344827602,1,4,25,42,7.7736917661008,67,0,0.2721733347961674,67,0,4.6567164179104479,67,0,0.83582089552238803,67,0,0,1,67,0,0,1,67,0,0,1.3825080188082737,67,0,541.81219265504831,67,0,0.28969732040272866,67,0,0.79795922495924398,67,0
2019,timesat_double_logistic,10,medium,53,0,0,0.17071553684695251,0.6078919812049407,0.023706896551724001,0.84267241379310343,1,4,25,43,7.7867967005403766,53,0,0.27263216617461977,53,0,4.6792452830188678,53,0,0.660377358490566,53,0,0,1,53,0,0,1,53,0,0,1.3833345880399304,53,0,496.6313542281066,53,0,0.26553993154498695,53,0,0.79052186248153267,53,0
2019,timesat_double_logistic,20,high,62,0,0,1.553369061088707,11.128388419283166,0.45474137931034481,0.71767241379310343,1,6,25,50,8.1278679929186044,62,0,0.28457379106057595,62,0,4.911290322580645,62,0,0.67741935483870963,62,0,0,0.91935483870967738,62,0,0,1,62,0,0,1.438689067654749,62,0,528.31399094749179,62,0,0.28248007258522845,62,0,0.77743614545323203,62,0
2019,timesat_double_logistic,20,low,79,0,0,0.025285744316099298,0.37131670874421813,0.045258620689655103,0.95474137931034475,1,5,25,57,7.7782296793606802,79,0,0.27233221670480479,79,0,4.7721518987341769,79,0,0.70886075949367089,79,0,0,1,79,0,0,1,79,0,0,1.386328396674521,79,0,540.43877866138143,79,0,0.28896298042448043,79,0,0.79605250222674939,79,0
2019,timesat_double_logistic,20,medium,66,0,0,0.44074536856335672,1.5305573773522372,0.28232758620689652,0.82974137931034475,1,6,25,57,7.8516560762118885,66,0,0.27490302963312402,66,0,5.5227272727272725,66,0,0.39393939393939392,66,0,0,1,66,0,0,1,66,0,0,1.3866532610288915,66,0,474.80518830094462,66,0,0.25386986972378739,66,0,0.78131107739797601,66,0
2019,timesat_double_logistic,30,high,67,0,0,2.5550645224131427,15.484027686454541,0.44612068965517232,0.73922413793103425,3,7,32,53,8.4243559180387635,67,0,0.29495445828211997,67,0,5.2388059701492535,67,0,0.56716417910447758,67,0,0,0.77611940298507465,67,0,0,1,67,0,0,1.4730726242109908,67,0,518.82617606173073,67,0,0.27740710710725891,67,0,0.75976243698168999,67,0
2019,timesat_double_logistic,30,low,68,0,0,0.048636719550354902,0.68384003556109851,0.066810344827586202,0.93318965517241381,2,5,32,57,7.8037073990599346,68,0,0.27322424537563361,68,0,5.007352941176471,68,0,0.61764705882352944,68,0,0,1,68,0,0,1,68,0,0,1.393555173814607,68,0,537.40355770235112,68,0,0.28734010188726561,68,0,0.79208089224563349,68,0
2019,timesat_double_logistic,30,medium,67,0,0,0.75800863454599932,2.4711151860536429,0.26508620689655171,0.83836206896551724,2,8,32,57,7.9436537296573952,67,0,0.27812406140092272,67,0,6.0671641791044779,67,0,0.37313432835820898,67,0,0,0.95522388059701491,67,0,0,1,67,0,0,1.3921297438062823,67,0,427.48634398979306,67,0,0.22856932723447876,67,0,0.76624560813883258,67,0
2019,timesat_double_logistic,45,high,67,0,0,4.4669371562073623,17.288983776369555,0.42241379310344812,0.7068965517241379,5,11,47,73,9.1838601604790568,67,0,0.32154630275918744,67,0,10.955223880597014,67,0,0.26865671641791045,67,0,0,0.44776119402985076,67,0,0,0.77611940298507465,67,0,0,1.5441278330687556,67,0,530.68792417524935,67,0,0.28374937236145958,67,0,0.70969579583852471,67,0
2019,timesat_double_logistic,45,low,51,0,0,0.30263450706523343,1.2353056283924111,0.099137931034482707,0.90086206896551724,4,6,47,73,7.9262020829082367,51,0,0.27751304246213271,51,0,5.6372549019607847,51,0,0.39215686274509803,51,0,0,1,51,0,0,1,51,0,0,1.4183355671130284,51,0,515.3207367913177,51,0,0.27553281122163686,51,0,0.77753893387153517,51,0
2019,timesat_double_logistic,45,medium,69,0,0,1.3916175691877772,4.1025972401776025,0.26293103448275862,0.84482758620689635,4,9,47,85,8.2474256408986797,69,0,0.28875975633038814,69,0,5.72463768115942,69,0,0.49275362318840582,69,0,0,0.81159420289855078,69,0,0,0.92753623188405798,69,0,0,1.4003777378622471,69,0,253.96986811827682,69,0,0.13579316090389509,69,0,0.72319171189175124,69,0
2019,timesat_smoothing_spline,10,high,54,0,0,0.64196135307512092,6.455637488556297,0.3125,0.79094827586206895,1,3,25,30,7.4775833051074887,54,0,0.26180595341357166,54,0,7.8888888888888893,54,0,0.22222222222222221,54,0,0,0.96296296296296291,54,0,0,1,54,0,0,1.1487845105250198,54,0,378.87056499479797,54,0,0.20257533689047025,54,0,0.8065711409250077,54,0
2019,timesat_smoothing_spline,10,low,67,0,0,0.0095670584801635008,0.1594755998519409,0.032327586206896401,0.97629310344827602,1,4,25,42,7.4536448092401901,67,0,0.26096781621360976,67,0,9,67,0,0,67,0,0,1,67,0,0,1,67,0,0,1.1455852929232033,67,0,362.57850781278199,67,0,0.19386426435747742,67,0,0.80376588107439118,67,0
2019,timesat_smoothing_spline,10,medium,53,0,0,0.17071553684695251,0.6078919812049407,0.023706896551724001,0.84267241379310343,1,4,25,43,7.4486116266841469,53,0,0.26079159388294182,53,0,8.9056603773584904,53,0,0,53,0,0,1,53,0,0,1,53,0,0,1.1473820975432487,53,0,363.27045408076305,53,0,0.1942342356914824,53,0,0.80374944200484655,53,0
2019,timesat_smoothing_spline,20,high,62,0,0,1.553369061088707,11.128388419283166,0.45474137931034481,0.71767241379310343,1,6,25,50,7.3433595975064314,62,0,0.25710649848203043,62,0,7.5,62,0,0.27419354838709675,62,0,0,1,62,0,0,1,62,0,0,1.1428139685248095,62,0,340.36402771673198,62,0,0.18198657787273873,62,0,0.81032284266459498,62,0
2019,timesat_smoothing_spline,20,low,79,0,0,0.025285744316099298,0.37131670874421813,0.045258620689655103,0.95474137931034475,1,5,25,57,7.4475466760985825,79,0,0.26075430771814556,79,0,9,79,0,0,79,0,0,1,79,0,0,1,79,0,0,1.1455853049343205,79,0,354.36202373978222,79,0,0.18947105680078591,79,0,0.80246351813623251,79,0
2019,timesat_smoothing_spline,20,medium,66,0,0,0.44074536856335672,1.5305573773522372,0.28232758620689652,0.82974137931034475,1,6,25,57,7.4613674984184444,66,0,0.26123820384029778,66,0,8.6818181818181817,66,0,0.045454545454545456,66,0,0,1,66,0,0,1,66,0,0,1.1496460541427653,66,0,367.55466844187629,66,0,0.19652492873470009,66,0,0.80192756116233943,66,0
2019,timesat_smoothing_spline,30,high,67,0,0,2.5550645224131427,15.484027686454541,0.44612068965517232,0.73922413793103425,3,7,32,53,7.3823654681580653,67,0,0.25847217623351754,67,0,6.6567164179104479,67,0,0.2537313432835821,67,0,0,1,67,0,0,1,67,0,0,1.1636935436689189,67,0,313.64137038116399,67,0,0.1676984493863371,67,0,0.8092078001680999,67,0
2019,timesat_smoothing_spline,30,low,68,0,0,0.048636719550354902,0.68384003556109851,0.066810344827586202,0.93318965517241381,2,5,32,57,7.4408624566624839,68,0,0.26052027910610759,68,0,9,68,0,0,68,0,0,1,68,0,0,1,68,0,0,1.1455856011444647,68,0,349.21548920820521,68,0,0.18671929653520031,68,0,0.80120575212946266,68,0
2019,timesat_smoothing_spline,30,medium,67,0,0,0.75800863454599932,2.4711151860536429,0.26508620689655171,0.83836206896551724,2,8,32,57,7.4996599444597347,67,0,0.26257890309235832,67,0,8.7313432835820901,67,0,0,67,0,0,1,67,0,0,1,67,0,0,1.1501142020349837,67,0,363.77084942301531,67,0,0.19450178816032249,67,0,0.79576279222315438,67,0
2019,timesat_smoothing_spline,45,high,67,0,0,4.4669371562073623,17.288983776369555,0.42241379310344812,0.7068965517241379,5,11,47,73,8.5170250238587961,67,0,0.29819899901289659,67,0,10.656716417910447,67,0,0.14925373134328357,67,0,0,0.76119402985074625,67,0,0,0.80597014925373134,67,0,0,1.2584110796343495,67,0,422.12558747846816,67,0,0.2257030262953062,67,0,0.68947467066029722,67,0
2019,timesat_smoothing_spline,45,low,51,0,0,0.30263450706523343,1.2353056283924111,0.099137931034482707,0.90086206896551724,4,6,47,73,7.4153127207887328,51,0,0.25962572899720771,51,0,9,51,0,0,51,0,0,1,51,0,0,1,51,0,0,1.1455869838894197,51,0,342.1133111357762,51,0,0.18292188853202598,51,0,0.80083535942167883,51,0
2019,timesat_smoothing_spline,45,medium,69,0,0,1.3916175691877772,4.1025972401776025,0.26293103448275862,0.84482758620689635,4,9,47,85,7.598947017631664,69,0,0.26605515281005332,69,0,9.0434782608695645,69,0,0,69,0,0,0.92753623188405798,69,0,0,1,69,0,0,1.1492681107929745,69,0,387.40931661469108,69,0,0.20714085515934835,69,0,0.78724346166879045,69,0
2020,linear_interpolation,10,high,82,0,0,0.64239632986958295,4.9937408138789818,0.02,0.9407894736842104,1,4,22,32,3.6803211484429812,82,0,0.17482499186602604,82,0,45.634146341463413,82,0,0,82,0,0,0,82,0,0,0,82,0,0,0.22755482057608251,82,0,125.37475946036568,82,0,0.065395956895314022,82,0,0.88887319611985915,82,0
2020,linear_interpolation,10,low,72,0,0,0.0069078347491259001,0.16236879353587791,0.072368421052631401,0.9622222222222222,1,4,22,42,3.0247630611236449,72,0,0.14368424825679033,72,0,31,72,0,0,72,0,0,0,72,0,0,0,72,0,0,0.17947924654533451,72,0,104.00537547222198,72,0,0.054249603991563561,72,0,0.92966803009748333,72,0
2020,linear_interpolation,10,medium,88,0,0,0.16350885703456461,0.64046059705410452,0.073333333333333306,0.85111111111111115,1,4,22,42,3.1201532674725327,88,0,0.1482155354397304,88,0,31,88,0,0,88,0,0,0,88,0,0,0,88,0,0,0.17947924654533451,88,0,114.71941947727247,88,0,0.059838090565292747,88,0,0.92470034196813866,88,0
2020,linear_interpolation,20,high,87,0,0,1.5386334980392573,7.6760513368693362,0.042222222222222203,0.875,2,8,22,50,4.1639235924115159,87,0,0.1977973874595351,87,0,58.586206896551722,87,0,0,87,0,0,0,87,0,0,0,87,0,0,0.27010446655731923,87,0,173.47024506321833,87,0,0.090482747226007701,87,0,0.8563032527357598,87,0
2020,linear_interpolation,20,low,87,0,0,0.15771353424957371,0.39842046102362771,0.13815789473684201,0.95333333333333325,1,7,22,42,3.0302983904939902,87,0,0.1439471910471378,87,0,31,87,0,0,87,0,0,0,87,0,0,0,87,0,0,0.17947924654533448,87,0,97.154238284482489,87,0,0.050676024475704663,87,0,0.9290379045420406,87,0
2020,linear_interpolation,20,medium,87,0,0,0.41040908375994273,1.5249346850496208,0.068888888888888805,0.76973684210526305,1,7,22,33,3.2693623377985128,87,0,0.15530336105438164,87,0,31,87,0,0,87,0,0,0,87,0,0,0,87,0,0,0.17947924654533448,87,0,118.86899761781591,87,0,0.062002526488286497,87,0,0.91577477728661105,87,0
2020,linear_interpolation,30,high,80,0,0,2.5776840455571284,8.8796529494701559,0.064444444444444401,0.80921052631578927,3,9,32,52,4.7932792774504005,80,0,0.22769344763469368,80,0,76,80,0,0,80,0,0,0,80,0,0,0,80,0,0,0.32731163668988467,80,0,241.93390650548685,80,0,0.12619365643807556,80,0,0.81412829827459565,80,0
2020,linear_interpolation,30,low,76,0,0,0.3362223017416513,0.74619436116043036,0.14888888888888871,0.93111111111111122,1,10,32,60,3.0546117622648126,76,0,0.14510214053405091,76,0,31,76,0,0,76,0,0,0,76,0,0,0,76,0,0,0.17947924654533448,76,0,82.191255368420755,76,0,0.042871275018829903,76,0,0.92707129347555017,76,0
2020,linear_interpolation,30,medium,87,0,0,0.7492145318763892,2.4315131792052984,0.082222222222222099,0.7844444444444445,2,11,32,52,3.4754492249809248,87,0,0.16509303345582477,87,0,31,87,0,0,87,0,0,0,87,0,0,0,87,0,0,0.17947924654533448,87,0,136.5229571005745,87,0,0.071210899675483469,87,0,0.90320556669591456,87,0
2020,linear_interpolation,45,high,74,0,0,4.9611368979223718,12.345151944100412,0.44444444444444442,0.76888888888888884,5,12,47,70,5.2367081061943619,74,0,0.24875749021454338,74,0,100.72972972972973,74,0,0,74,0,0,0,74,0,0,0,74,0,0,0.40855286010265546,74,0,307.32413524999993,74,0,0.1603014513304179,74,0,0.77306859898157176,74,0
2020,linear_interpolation,45,low,63,0,0,0.59362593348043013,1.259300839908531,0.1822222222222222,0.89777777777777756,2,14,47,65,3.1720513911356321,63,0,0.1506808336246733,63,0,31,63,0,0,63,0,0,0,63,0,0,0,63,0,0,0.17947924654533445,63,0,60.444619742063338,63,0,0.031528146209167482,63,0,0.9193675394134232,63,0
2020,linear_interpolation,45,medium,76,0,0,1.2890370211394848,4.1868945995619598,0.0977777777777777,0.81777777777777783,2,13,47,60,4.1326962172806754,76,0,0.19631400452009878,76,0,34.157894736842103,76,0,0,76,0,0,0,76,0,0,0,76,0,0,0.18985344936249587,76,0,204.56007803732277,76,0,0.10669932371882065,76,0,0.86406357675749468,76,0
2020,timesat_double_logistic,10,high,82,0,0,0.64239632986958295,4.9937408138789818,0.02,0.9407894736842104,1,4,22,32,5.5187588463858148,82,0,0.26215564661745366,82,0,143.14634146341464,82,0,0,82,0,0,0,82,0,0,0.024390243902439025,82,0,0,1.267206889708355,82,0,94.48175354090904,82,0,0.049282046151468216,82,0,0.6546646654464402,82,0
2020,timesat_double_logistic,10,low,72,0,0,0.0069078347491259001,0.16236879353587791,0.072368421052631401,0.9622222222222222,1,4,22,42,5.3551588276060738,72,0,0.25438421287598523,72,0,151,72,0,0,72,0,0,0,72,0,0,0,72,0,0,1.2816374673472974,72,0,20.133058840128456,72,0,0.010501480949968016,72,0,0.66259538757130132,72,0
2020,timesat_double_logistic,10,medium,88,0,0,0.16350885703456461,0.64046059705410452,0.073333333333333306,0.85111111111111115,1,4,22,42,5.3584095038289643,88,0,0.2545386285971421,88,0,141.60227272727272,88,0,0,88,0,0,0,88,0,0,0.045454545454545456,88,0,0,1.2758977517701202,88,0,29.829272263729774,88,0,0.015559063176461153,88,0,0.66405939944277081,88,0
2020,timesat_double_logistic,20,high,87,0,0,1.5386334980392573,7.6760513368693362,0.042222222222222203,0.875,2,8,22,50,5.6561832218976358,87,0,0.26868366804873878,87,0,126.86206896551724,87,0,0.091954022988505746,87,0,0,0.091954022988505746,87,0,0,0.16091954022988506,87,0,0,1.2350893455938328,87,0,140.47945334277236,87,0,0.073274623337446221,87,0,0.64892335551525127,87,0
2020,timesat_double_logistic,20,low,87,0,0,0.15771353424957371,0.39842046102362771,0.13815789473684201,0.95333333333333325,1,7,22,42,5.3699847851769595,87,0,0.25508848508680354,87,0,151,87,0,0,87,0,0,0,87,0,0,0,87,0,0,1.2836722006069996,87,0,33.557814520022333,87,0,0.017503885162356545,87,0,0.65970685776819449,87,0
2020,timesat_double_logistic,20,medium,87,0,0,0.41040908375994273,1.5249346850496208,0.068888888888888805,0.76973684210526305,1,7,22,33,5.3872265804232145,87,0,0.25590751597897388,87,0,149.22988505747125,87,0,0,87,0,0,0,87,0,0,0,87,0,0,1.2736231455468023,87,0,54.987085299960754,87,0,0.028681475247112648,87,0,0.65965567274360692,87,0
2020,timesat_double_logistic,30,high,80,0,0,2.5776840455571284,8.8796529494701559,0.064444444444444401,0.80921052631578927,3,9,32,52,5.8119684508068472,80,0,0.27608387859515326,80,0,113.4375,80,0,0.16250000000000001,80,0,0,0.16250000000000001,80,0,0,0.23749999999999999,80,0,0,1.2155437615622318,80,0,161.1645930621292,80,0,0.084064071798069101,80,0,0.64366372365084479,80,0
2020,timesat_double_logistic,30,low,76,0,0,0.3362223017416513,0.74619436116043036,0.14888888888888871,0.93111111111111122,1,10,32,60,5.4440304503378796,76,0,0.25860585009038456,76,0,151,76,0,0,76,0,0,0,76,0,0,0,76,0,0,1.2806348631677682,76,0,69.705667322087365,76,0,0.036358744257414685,76,0,0.64941413428876182,76,0
2020,timesat_double_logistic,30,medium,87,0,0,0.7492145318763892,2.4315131792052984,0.082222222222222099,0.7844444444444445,2,11,32,52,5.4653116914470123,87,0,0.25961676534852102,87,0,146.06896551724137,87,0,0,87,0,0,0,87,0,0,0.034482758620689655,87,0,0,1.2723413791459701,87,0,100.26922399329679,87,0,0.052300813005867641,87,0,0.64906067321256644,87,0
2020,timesat_double_logistic,45,high,74,0,0,4.9611368979223718,12.345151944100412,0.44444444444444442,0.76888888888888884,5,12,47,70,6.2601483417101704,74,0,0.29737360919783123,74,0,102.10810810810811,74,0,0.20270270270270271,74,0,0,0.27027027027027029,74,0,0,0.33783783783783783,74,0,0,1.2005046864835864,74,0,259.3986619387955,74,0,0.13530334006514497,74,0,0.62750656859525933,74,0
2020,timesat_double_logistic,45,low,63,0,0,0.59362593348043013,1.259300839908531,0.1822222222222222,0.89777777777777756,2,14,47,65,5.5584855512302491,63,0,0.26404277020563033,63,0,150.47619047619048,63,0,0,63,0,0,0,63,0,0,0,63,0,0,1.2639907138815198,63,0,126.01315566386577,63,0,0.06572894681119433,63,0,0.63308210058794301,63,0
2020,timesat_double_logistic,45,medium,76,0,0,1.2890370211394848,4.1868945995619598,0.0977777777777777,0.81777777777777783,2,13,47,60,5.8458222872353476,76,0,0.27769202539526339,76,0,140.71052631578948,76,0,0,76,0,0,0,76,0,0,0.078947368421052627,76,0,0,1.227343930532814,76,0,215.69783547494717,76,0,0.11250882084915499,76,0,0.61562212402097627,76,0
2020,timesat_smoothing_spline,10,high,82,0,0,0.64239632986958295,4.9937408138789818,0.02,0.9407894736842104,1,4,22,32,4.5410971704637673,82,0,0.21571413033480324,82,0,122.86585365853658,82,0,0.10975609756097561,82,0,0,0.17073170731707318,82,0,0,0.17073170731707318,82,0,0,0.94019446588836686,82,0,150.46055004347056,82,0,0.078480801777319198,82,0,0.79979628625966781,82,0
2020,timesat_smoothing_spline,10,low,72,0,0,0.0069078347491259001,0.16236879353587791,0.072368421052631401,0.9622222222222222,1,4,22,42,4.0020159003641762,72,0,0.19010634371537741,72,0,151,72,0,0,72,0,0,0,72,0,0,0,72,0,0,0.98169136352941733,72,0,131.98142259295568,72,0,0.068842017803429204,72,0,0.8393179963153552,72,0
2020,timesat_smoothing_spline,10,medium,88,0,0,0.16350885703456461,0.64046059705410452,0.073333333333333306,0.85111111111111115,1,4,22,42,4.1004418242292022,88,0,0.19478183551217051,88,0,147.14772727272728,88,0,0,88,0,0,0,88,0,0,0,88,0,0,0.97153478893740275,88,0,140.92888804655121,88,0,0.073509050208070595,88,0,0.83165752302021612,88,0
2020,timesat_smoothing_spline,20,high,87,0,0,1.5386334980392573,7.6760513368693362,0.042222222222222203,0.875,2,8,22,50,4.9594849745829137,87,0,0.23558865799196674,87,0,123.91954022988506,87,0,0.10344827586206896,87,0,0,0.13793103448275862,87,0,0,0.13793103448275862,87,0,0,0.9237158875842777,87,0,192.57312519177071,87,0,0.10044688299655798,87,0,0.76669557277463829,87,0
2020,timesat_smoothing_spline,20,low,87,0,0,0.15771353424957371,0.39842046102362771,0.13815789473684201,0.95333333333333325,1,7,22,42,4.0318722365135367,87,0,0.19152459867572755,87,0,151,87,0,0,87,0,0,0,87,0,0,0,87,0,0,0.98111616032192972,87,0,136.82521040773523,87,0,0.071368556163373231,87,0,0.83647512885450537,87,0
2020,timesat_smoothing_spline,20,medium,87,0,0,0.41040908375994273,1.5249346850496208,0.068888888888888805,0.76973684210526305,1,7,22,33,4.2426704346016813,87,0,0.20153807081027877,87,0,141.12643678160919,87,0,0,87,0,0,0.022988505747126436,87,0,0,0.022988505747126436,87,0,0,0.95494615768583846,87,0,149.64496852264395,87,0,0.078055391318227169,87,0,0.82045560734937573,87,0
2020,timesat_smoothing_spline,30,high,80,0,0,2.5776840455571284,8.8796529494701559,0.064444444444444401,0.80921052631578927,3,9,32,52,5.7422204445644853,80,0,0.27277066376085779,80,0,130.96250000000001,80,0,0.012500000000000001,80,0,0,0.087499999999999994,80,0,0,0.087499999999999994,80,0,0,0.8847470197721844,80,0,300.89538032973826,80,0,0.15694818803032856,80,0,0.71494852290661837,80,0
2020,timesat_smoothing_spline,30,low,76,0,0,0.3362223017416513,0.74619436116043036,0.14888888888888871,0.93111111111111122,1,10,32,60,4.0604626188260395,76,0,0.19288271747939356,76,0,151,76,0,0,76,0,0,0,76,0,0,0,76,0,0,0.98073713763772918,76,0,150.13918838113156,76,0,0.078313178297851851,76,0,0.83303625617186638,76,0
2020,timesat_smoothing_spline,30,medium,87,0,0,0.7492145318763892,2.4315131792052984,0.082222222222222099,0.7844444444444445,2,11,32,52,4.601897769677783,87,0,0.21860231966239399,87,0,136.62068965517241,87,0,0,87,0,0,0.022988505747126436,87,0,0,0.022988505747126436,87,0,0,0.91699393872309709,87,0,202.26198483268305,87,0,0.10550062946170793,87,0,0.79584604633698985,87,0
