year,method,duration_days,activity_class,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,a_gap_minimum,a_gap_maximum,window_midpoint_relative_position_minimum,window_midpoint_relative_position_maximum,observations_removed_minimum,observations_removed_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2019,linear_interpolation,10,high,54,0,0,0.64196135307512092,6.455637488556297,0.3125,0.79094827586206895,1,3,25,30,7.5326126084482006,54,0,0.26373264531909146,54,0,3.5,54,0,0.87037037037037035,54,0,0,0.87037037037037035,54,0,0,0.87037037037037035,54,0,0,1.147454210763315,54,0,392.55853737037017,54,0,0.2098940517010735,54,0,0.81806950641706855,54,0
2019,linear_interpolation,10,low,67,0,0,0.0095670584801635008,0.1594755998519409,0.032327586206896401,0.97629310344827602,1,4,25,42,7.48072688046273,67,0,0.26191601661306096,67,0,1,67,0,1,67,0,0,1,67,0,0,1,67,0,0,1.1084168127021699,67,0,376.77581959701507,67,0,0.2014553138697813,67,0,0.81472294395247935,67,0
2019,linear_interpolation,10,medium,53,0,0,0.17071553684695251,0.6078919812049407,0.023706896551724001,0.84267241379310343,1,4,25,43,7.4773825277297652,53,0,0.26179892377436159,53,0,1,53,0,1,53,0,0,1,53,0,0,1,53,0,0,1.1084168127021694,53,0,370.15103833962269,53,0,0.19791316143294482,53,0,0.81354832527482612,53,0
2019,linear_interpolation,20,high,62,0,0,1.553369061088707,11.128388419283166,0.45474137931034481,0.71767241379310343,1,6,25,50,7.6946207828210493,62,0,0.26940489299883363,62,0,5.5,62,0,0.75806451612903225,62,0,0,0.75806451612903225,62,0,0,0.75806451612903225,62,0,0,1.184816563909294,62,0,392.72503333870952,62,0,0.20998307412718284,62,0,0.80946845708850168,62,0
2019,linear_interpolation,20,low,79,0,0,0.025285744316099298,0.37131670874421813,0.045258620689655103,0.95474137931034475,1,5,25,57,7.4692996826885274,79,0,0.26151592633174275,79,0,1,79,0,1,79,0,0,1,79,0,0,1,79,0,0,1.1084168127021701,79,0,371.86405197468366,79,0,0.19882907928532587,79,0,0.81408029045888219,79,0
2019,linear_interpolation,20,medium,66,0,0,0.44074536856335672,1.5305573773522372,0.28232758620689652,0.82974137931034475,1,6,25,57,7.4835262106241505,66,0,0.26201402706268428,66,0,1,66,0,1,66,0,0,1,66,0,0,1,66,0,0,1.1084168127021699,66,0,365.90673066666665,66,0,0.19564380578445928,66,0,0.81148497910701867,66,0
2019,linear_interpolation,30,high,67,0,0,2.5550645224131427,15.484027686454541,0.44612068965517232,0.73922413793103425,3,7,32,53,8.0282168796405671,67,0,0.28108479553141075,67,0,6.4925373134328357,67,0,0.62686567164179108,67,0,0,0.74626865671641796,67,0,0,0.74626865671641796,67,0,0,1.2418640509783492,67,0,411.08861925373122,67,0,0.21980175614409719,67,0,0.79340783832911577,67,0
2019,linear_interpolation,30,low,68,0,0,0.048636719550354902,0.68384003556109851,0.066810344827586202,0.93318965517241381,2,5,32,57,7.4566497183470233,68,0,0.26107302441544933,68,0,1,68,0,1,68,0,0,1,68,0,0,1,68,0,0,1.1084168127021699,68,0,367.2902605441177,68,0,0.19638355454542863,68,0,0.81347259408640071,68,0
2019,linear_interpolation,30,medium,67,0,0,0.75800863454599932,2.4711151860536429,0.26508620689655171,0.83836206896551724,2,8,32,57,7.4682913644422442,67,0,0.26148062298451935,67,0,1,67,0,1,67,0,0,1,67,0,0,1,67,0,0,1.1084168127021699,67,0,351.39155067164171,67,0,0.18788279780655434,67,0,0.80893079867766471,67,0
2019,linear_interpolation,45,high,67,0,0,4.4669371562073623,17.288983776369555,0.42241379310344812,0.7068965517241379,5,11,47,73,8.9750472767525018,67,0,0.31423532354592637,67,0,12.746268656716419,67,0,0.40298507462686567,67,0,0,0.52238805970149249,67,0,0,0.55223880597014929,67,0,0,1.393969074325583,67,0,505.25868473134324,67,0,0.27015281136367286,67,0,0.69426226944344627,67,0
