year,method,duration_days,scenario_family,covariate,outcome,association,spearman_correlation,n_scenarios_available,covariate_minimum,covariate_maximum
2022,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.0043674598027803394,188,0.023404255319148901,0.94680851063829785
2023,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.21399361960294339,129,0.024774774774774602,0.83108108108108103
2024,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,0.094668839429358678,187,0.068888888888888805,0.97555555555555562
2025,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,absolute_peak_date_error_days,within_year_spearman,-0.12523847473269314,224,0.021999999999999902,0.97799999999999998
2019,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.002696522685709038,174,0.023706896551724001,0.97629310344827602
2020,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.17573104843632498,242,0.02,0.9622222222222222
2021,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.10947265654140942,235,0.0211538461538461,0.97115384615384603
2022,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.12978550778725131,188,0.023404255319148901,0.94680851063829785
2023,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.10661313026537594,129,0.024774774774774602,0.83108108108108103
2024,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,0.10514123475654368,187,0.068888888888888805,0.97555555555555562
2025,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,nrmse,within_year_spearman,-0.15846637865550189,224,0.021999999999999902,0.97799999999999998
2019,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.075406895272421906,174,0.023706896551724001,0.97629310344827602
2020,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,242,0.02,0.9622222222222222
2021,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.23255814502772559,235,0.0211538461538461,0.97115384615384603
2022,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,0.0043674598027803394,188,0.023404255319148901,0.94680851063829785
2023,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,,129,0.024774774774774602,0.83108108108108103
2024,linear_interpolation,10,consecutive_internal_gap,window_midpoint_relative_position,peak_timing_success_10d,within_year_spearman,-0.094668839429358678,187,0.068888888888888805,0.97555555555555562
