year,method,deletion_fraction,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,observations_remaining_minimum,observations_remaining_maximum,resulting_observation_density_minimum,resulting_observation_density_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,n_delete_minimum,n_delete_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2019,linear_interpolation,0.10000000000000001,100,0,0,32,32,0.1373390557939913,0.1373390557939913,25,38,3,3,7.44044053643068,100,0,0.26050550678943191,100,0,1.24,100,0,1,100,0,0,1,100,0,0,1,100,0,0,1.118165864119131,100,0,378.10058487000003,100,0,0.20216364224435279,100,0,0.81586518501307348,100,0
2019,linear_interpolation,0.20000000000000001,100,0,0,28,28,0.12017167381974241,0.12017167381974241,25,55,7,7,7.3750752994615461,100,0,0.25821693206059942,100,0,2.0800000000000001,100,0,0.96999999999999997,100,0,0,0.96999999999999997,100,0,0,0.96999999999999997,100,0,0,1.1410068179777944,100,0,379.85307331999996,100,0,0.20310066657655515,100,0,0.81867690172176155,100,0
2019,linear_interpolation,0.29999999999999982,100,0,0,25,25,0.1072961373390558,0.1072961373390558,25,53,10,10,7.2942408242535155,100,0,0.25538674669361489,100,0,2.5800000000000001,100,0,0.94999999999999996,100,0,0,0.95999999999999996,100,0,0,0.95999999999999996,100,0,0,1.1583091014534659,100,0,364.06728146999995,100,0,0.19466028509128327,100,0,0.81957808554588207,100,0
2019,linear_interpolation,0.5,100,0,0,18,18,0.077253218884119998,0.077253218884119998,27,72,17,17,7.3375826453747841,100,0,0.25690423521073824,100,0,4.4800000000000004,100,0,0.81999999999999995,100,0,0,0.84999999999999998,100,0,0,0.84999999999999998,100,0,0,1.2270111199855145,100,0,374.39396617999989,100,0,0.2001817793095492,100,0,0.82171849006448039,100,0
2019,timesat_double_logistic,0.10000000000000001,100,0,0,32,32,0.1373390557939913,0.1373390557939913,25,38,3,3,7.790398461210307,100,0,0.27275827140777914,100,0,4.54,100,0,0.76000000000000001,100,0,0,1,100,0,0,1,100,0,0,1.3912972654192297,100,0,528.09752473038327,100,0,0.28236433195793342,100,0,0.79391492550543885,100,0
2019,timesat_double_logistic,0.20000000000000001,100,0,0,28,28,0.12017167381974241,0.12017167381974241,25,55,7,7,7.8693834602458956,100,0,0.27552370271547955,100,0,4.5949999999999998,100,0,0.65000000000000002,100,0,0,1,100,0,0,1,100,0,0,1.4191998314593675,100,0,493.39063854229346,100,0,0.26380717864076286,100,0,0.78037268593194054,100,0
2019,timesat_double_logistic,0.29999999999999982,100,0,0,25,25,0.1072961373390558,0.1072961373390558,25,53,10,10,7.915353720729609,100,0,0.27713321843513566,100,0,4.8550000000000004,100,0,0.58999999999999997,100,0,0,1,100,0,0,1,100,0,0,1.4328967379806059,100,0,449.47538822275311,100,0,0.24032647718211991,100,0,0.76822924551503458,100,0
2019,timesat_double_logistic,0.5,100,0,0,18,18,0.077253218884119998,0.077253218884119998,27,72,17,17,8.1258948981307473,100,0,0.28450470885299195,100,0,4.3499999999999996,100,0,0.67000000000000004,100,0,0,0.97999999999999998,100,0,0,1,100,0,0,1.4861103755254386,100,0,392.04316531231075,100,0,0.20961849144928468,100,0,0.74091620156384153,100,0
2019,timesat_smoothing_spline,0.10000000000000001,100,0,0,32,32,0.1373390557939913,0.1373390557939913,25,38,3,3,7.4319113966356563,100,0,0.26020688362674393,100,0,8.3000000000000007,100,0,0.11,100,0,0,1,100,0,0,1,100,0,0,1.1345151272936298,100,0,366.82934341323283,100,0,0.19613711037241963,100,0,0.80357170192329008,100,0
2019,timesat_smoothing_spline,0.20000000000000001,100,0,0,28,28,0.12017167381974241,0.12017167381974241,25,55,7,7,7.3813855081739428,100,0,0.25843786576882832,100,0,7.7000000000000002,100,0,0.22,100,0,0,0.96999999999999997,100,0,0,1,100,0,0,1.1353373296383564,100,0,377.41236306135266,100,0,0.20179566231235666,100,0,0.80517002113384717,100,0
