method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,36.810000000000002,3.6557142857142857,90.535714285714292,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.096416876913144073,0.069012638061536291,0.13544040626288717,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.84655530009682867,0.31443407430323056,1.4581461231090329,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21680432297205524,0.17646529277014597,0.2536616744815583,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.65857142857142859,0.35285714285714287,0.93571428571428572,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68714285714285717,0.38714285714285707,0.96857142857142853,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.53857142857142848,0.15571428571428572,0.84428571428571431,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84143166412270032,0.80105437590303941,0.8837355108135051,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.20000000000000001,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,4.6029262143476233,3.1584508662094417,6.1888230701481364,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,168.57206419502103,117.99814646004198,238.40477282787811,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
linear_interpolation,0.29999999999999982,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.434285714285707,4.7999999999999989,89.974285714285699,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
