method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,absolute_integral_error,secondary_double_logistic_parameter_sensitivity,absolute common-support integral error,ug_day_L,lower,13.504053504023441,-23.59474970398114,41.034293333246843,-13.504053504023441,-40.849271285871929,23.643148923126166,7,1,6,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,absolute_peak_date_error_days,secondary_double_logistic_parameter_sensitivity,absolute global-peak date error,days,lower,-1.3571428571428572,-4.5,0.6428571428571429,1.3571428571428572,-0.6428571428571429,4.4285714285714288,7,3,2,2
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,absolute_peak_magnitude_error,secondary_double_logistic_parameter_sensitivity,absolute global-peak magnitude error,ug_L,lower,-2.3336211571829653,-3.9997126674107144,-0.82003047659737605,2.3336211571829653,0.83524920719691664,4.0072939736502509,7,6,1,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,absolute_relative_integral_error,secondary_double_logistic_parameter_sensitivity,absolute relative common-support integral error,fraction,lower,0.0084015757884896309,-0.012482963313112341,0.023282101349648053,-0.0084015757884896309,-0.023455118581539019,0.011971989411396934,7,1,6,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,mae,secondary_double_logistic_parameter_sensitivity,point-wise MAE,ug_L,lower,-0.21336784232458147,-0.35937996245436843,-0.09197142108450411,0.21336784232458147,0.092215406372053027,0.36996132117327779,7,7,0,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,normalized_absolute_peak_magnitude_error,secondary_double_logistic_parameter_sensitivity,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.10012768205458684,-0.17266777321629981,-0.038683643614935141,0.10012768205458684,0.038226171995008718,0.16972333816913521,7,6,1,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,nrmse,secondary_double_logistic_parameter_sensitivity,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.011563605302991473,-0.018085726921070359,-0.0046473946995913762,0.011563605302991473,0.0048443944651255276,0.018114812914611287,7,6,1,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,peak_timing_success_10d,secondary_double_logistic_parameter_sensitivity,global-peak timing success <=10 d,fraction,higher,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,7,1,0,6
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,peak_timing_success_15d,secondary_double_logistic_parameter_sensitivity,global-peak timing success <=15 d,fraction,higher,0,0,0,0,0,0,7,0,0,7
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,peak_timing_success_5d,secondary_double_logistic_parameter_sensitivity,global-peak timing success <=5 d,fraction,higher,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,7,1,0,6
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,pearson_correlation,secondary_double_logistic_parameter_sensitivity,daily trajectory Pearson correlation,correlation,higher,0.033816277072186311,0.010570914848431513,0.059075157499536082,0.033816277072186311,0.010531172304484495,0.059075157499536082,7,7,0,0
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,recovery_fraction_10d,secondary_double_logistic_parameter_sensitivity,major-event recovery <=10 d,fraction,higher,0.21428571428571427,0,0.5,0.21428571428571427,0,0.5,7,2,0,5
timesat_double_logistic_cv_seapar,timesat_double_logistic_default_seapar1,rmse,secondary_double_logistic_parameter_sensitivity,point-wise RMSE,ug_L,lower,-0.24630471013750246,-0.39215573196814973,-0.097623349744743695,0.24630471013750246,0.097623349744743695,0.38511265531077815,7,6,1,0
