year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,135.82623523171517,131.33297694917292,4.4932582825422571,-4.4932582825422571
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,177.40676447727219,54.795726626892247,122.61103785037994,-122.61103785037994
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,147.21321584831412,71.451679160701588,75.761536687612534,-75.761536687612534
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,95.509797011676241,55.851695520046178,39.658101491630063,-39.658101491630063
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,257.87106221327213,17.634128755241363,240.23693345803076,-240.23693345803076
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,9,4.5,4.5,-4.5
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,151,151,0,-0
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,3,14,-11,11
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,13,1,12,-12
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,1,2,-1,1
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,3,1,2,-2
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,202,207,-5,5
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,32.719671881103515,39.336182272338867,-6.6165103912353516,6.6165103912353516
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,20.666390203857425,26.934385084533695,-6.2679948806762695,6.2679948806762695
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,8.6710793334960954,21.785585101318361,-13.114505767822266,13.114505767822266
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,40.272992102050779,43.923346487426755,-3.6503543853759766,3.6503543853759766
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,1.450430407714844,0.034787640380859103,1.4156427673339849,-1.4156427673339849
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,12.089093176269529,18.966473547363279,-6.87738037109375,6.87738037109375
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,44.388208807373047,51.294134558105469,-6.9059257507324219,6.9059257507324219
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1943324945583782,0.2910979097023112,-0.096765415143932998,0.096765415143932998
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.068975811499102202,0.0032446289247529,0.065731182574349303,-0.065731182574349303
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.092402084214304597,0.089345337264705393,0.0030567469495992039,-0.0030567469495992039
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.12642251941699759,0.0390481943226254,0.087374325094372179,-0.087374325094372179
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1387335637080202,0.067335979489097794,0.071397584218922408,-0.071397584218922408
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.069818237216771703,0.040827926022089303,0.0289903111946824,-0.0289903111946824
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1024801383348569,0.0070079517210706,0.0954721866137863,-0.0954721866137863
2019,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.2463872895323633,4.2311019493418023,-0.98471465980943895,0.98471465980943895
2020,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,2.0997396860734883,3.0294291078473137,-0.92968942177382541,0.92968942177382541
2021,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.7586305845546495,2.7649537672713524,-1.006323182716703,1.006323182716703
2022,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.6052803355981826,2.6259611057443619,-1.0206807701461793,1.0206807701461793
2023,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.3890923326526368,1.3450203008213824,0.04407203183125441,-0.04407203183125441
2024,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,2.1029770194989865,2.6850856691507725,-0.58210864965178599,0.58210864965178599
2025,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,3.9811332024046422,4.6919608880097714,-0.71082768560512921,0.71082768560512921
2019,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1455846819333302,1.3772426575877084,-0.23165797565437818,0.23165797565437818
2020,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.98170821337644243,1.2794545539353686,-0.29774634055892613,0.29774634055892613
2021,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.39135936144132732,0.98326775087179963,-0.5919083894304723,0.5919083894304723
2022,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,2.3965150525043435,2.6137357946175994,-0.21722074211325593,0.21722074211325593
2023,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.13603545451136859,0.0032627228755110998,0.13277273163585748,-0.13277273163585748
2024,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.74087185686247437,1.1623474375026812,-0.42147558064020685,0.42147558064020685
2025,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.480629828685752,1.7109864917715814,-0.23035666308582936,0.23035666308582936
2019,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26186729250703922,0.27219968749762552,-0.010332394990586302,0.010332394990586302
2020,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.19003406902709849,0.2544808156460599,-0.064446746618961409,0.064446746618961409
2021,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.13694863141055991,0.21032940574689091,-0.073380774336331001,0.073380774336331001
2022,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.27992976781082851,0.33494913303686952,-0.055019365226041006,0.055019365226041006
2023,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.1972956847045749,0.17826547736930359,0.019030207335271304,-0.019030207335271304
2024,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2267324676336879,0.2256556615274308,0.0010768061062570999,-0.0010768061062570999
2025,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26769766622592078,0.27731404480319322,-0.0096163785772724331,0.0096163785772724331
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,0,1,1
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,1,-1,-1
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2019,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,1,-1,-1
2020,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2021,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,0,1,1
2022,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,1,-1,-1
2023,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2024,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2025,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2019,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.80413417212455873,0.80039558192864046,0.0037385901959182677,0.0037385901959182677
2020,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84071496839268411,0.66486755162307987,0.17584741676960425,0.17584741676960425
2021,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.90868446935674241,0.7074911646466352,0.20119330471010721,0.20119330471010721
2022,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.82420883673090861,0.68971023098309792,0.1344986057478107,0.1344986057478107
2023,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85485623348592377,0.86203013794015915,-0.0071739044542353803,-0.0071739044542353803
2024,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8181046954775465,0.79252834296939945,0.025576352508147049,0.025576352508147049
2025,timesat_smoothing_spline,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76095943091070184,0.67556240869231543,0.085397022218386409,0.085397022218386409
2019,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,7.4793352445698353,7.7744444400484243,-0.29510919547858894,0.29510919547858894
2020,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,4.000494412727134,5.3571924568595879,-1.3566980441324539,1.3566980441324539
2021,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,3.034276331608103,4.6601235158438969,-1.625847184235794,1.625847184235794
2022,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,4.7041679610539289,5.6287582150949822,-0.92459025404105333,0.92459025404105333
2023,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,2.1035961649433146,1.9006932417065727,0.20290292323674186,-0.20290292323674186
2024,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,3.6996815332100943,3.6821108707119303,0.017570662498163969,-0.017570662498163969
2025,timesat_smoothing_spline,timesat_double_logistic,rmse,point-wise RMSE,ug_L,lower,8.0253819526450929,8.3136740105172517,-0.28829205787215884,0.28829205787215884
