year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2025,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,200,207,-7,7
2019,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,31.658100000000001,39.336182272338867,-7.678082272338866,7.678082272338866
2020,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,3.7783000000000015,26.934385084533695,-23.156085084533693,23.156085084533693
2021,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,0,21.785585101318361,-21.785585101318361,21.785585101318361
2022,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,39.341999999999999,43.923346487426755,-4.5813464874267567,4.5813464874267567
2023,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,0,0.034787640380859103,-0.034787640380859103,0.034787640380859103
2024,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,8.5762999999999963,18.966473547363279,-10.390173547363283,10.390173547363283
2025,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,42.770600000000002,51.294134558105469,-8.5235345581054673,8.5235345581054673
2019,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.20280464550200611,0.2910979097023112,-0.088293264200305088,0.088293264200305088
2020,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.057769259105439799,0.0032446289247529,0.0545246301806869,-0.0545246301806869
2021,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.058687991020176002,0.089345337264705393,-0.030657346244529392,0.030657346244529392
2022,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1139775453377054,0.0390481943226254,0.074929351015079998,-0.074929351015079998
2023,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.096517160542628794,0.067335979489097794,0.029181181053531,-0.029181181053531
