year,method,duration_days,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,a_gap_minimum,a_gap_maximum,window_midpoint_relative_position_minimum,window_midpoint_relative_position_maximum,observations_removed_minimum,observations_removed_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2019,linear_interpolation,10,174,0,0,0.0095670584801635008,6.455637488556297,0.023706896551724001,0.97629310344827602,1,4,25,43,7.4958106656142718,174,0,0.26244413172613323,174,0,1.7758620689655173,174,0,0.95977011494252873,174,0,0,0.95977011494252873,174,0,0,0.95977011494252873,174,0,0,1.1205318672728704,174,0,379.65601128160927,174,0,0.20299530101769772,174,0,0.81540374615461853,174,0
2019,linear_interpolation,20,207,0,0,0.025285744316099298,11.128388419283166,0.045258620689655103,0.95474137931034475,1,6,25,57,7.5413231563695291,207,0,0.26403761996266917,207,0,2.347826086956522,207,0,0.92753623188405798,207,0,0,0.92753623188405798,207,0,0,0.92753623188405798,207,0,0,1.1312998299719366,207,0,376.21283283574883,207,0,0.20115429488502609,207,0,0.81187147781063806,207,0
2019,linear_interpolation,30,202,0,0,0.048636719550354902,15.484027686454541,0.066810344827586202,0.93318965517241381,2,8,32,57,7.65009026337201,202,0,0.26784578564761319,202,0,2.8217821782178216,202,0,0.87623762376237624,202,0,0,0.91584158415841588,202,0,0,0.91584158415841588,202,0,0,1.1526790154967443,202,0,376.54410446534655,202,0,0.20133141991971684,202,0,0.80531101523430471,202,0
2019,linear_interpolation,45,187,0,0,0.30263450706523343,17.288983776369555,0.099137931034482707,0.90086206896551724,4,11,47,85,7.9988834682766692,187,0,0.2800577709680398,187,0,5.2085561497326207,187,0,0.78609625668449201,187,0,0,0.82887700534759357,187,0,0,0.83957219251336901,187,0,0,1.2107269813052113,187,0,382.54538784491979,187,0,0.20454019915652275,187,0,0.76637085824337403,187,0
2019,timesat_double_logistic,10,174,0,0,0.0095670584801635008,6.455637488556297,0.023706896551724001,0.97629310344827602,1,4,25,43,7.8130800176837747,174,0,0.27355240051007662,174,0,4.6120689655172411,174,0,0.74712643678160917,174,0,0,1,174,0,0,1,174,0,0,1.3894349933911105,174,0,527.27362743556671,174,0,0.28192380876220047,174,0,0.79403838969271578,174,0
2019,timesat_double_logistic,20,207,0,0,0.025285744316099298,11.128388419283166,0.045258620689655103,0.95474137931034475,1,6,25,57,7.9063635809682697,207,0,0.27681845469189115,207,0,5.0531400966183577,207,0,0.59903381642512077,207,0,0,0.97584541062801933,207,0,0,1,207,0,0,1.4021148828975289,207,0,515.88054773360363,207,0,0.27583213215259944,207,0,0.78577642416560345,207,0
2019,timesat_double_logistic,30,202,0,0,0.048636719550354902,15.484027686454541,0.066810344827586202,0.93318965517241381,2,8,32,57,8.0559839085728626,202,0,0.28205697774409377,202,0,5.435643564356436,202,0,0.51980198019801982,202,0,0,0.91089108910891092,202,0,0,1,202,0,0,1.4194569825571812,202,0,494.78406320401945,202,0,0.26455221796648754,202,0,0.77279227572167386,202,0
2019,timesat_double_logistic,45,187,0,0,0.30263450706523343,17.288983776369555,0.099137931034482707,0.90086206896551724,4,11,47,85,8.4953331882482672,187,0,0.29743952212423053,187,0,7.5748663101604281,187,0,0.38502673796791442,187,0,0,0.73262032085561501,187,0,0,0.89304812834224601,187,0,0,1.4567793724645246,187,0,424.39234971262022,187,0,0.22691502365181837,187,0,0.73317824635914608,187,0
2019,timesat_smoothing_spline,10,174,0,0,0.0095670584801635008,6.455637488556297,0.023706896551724001,0.97629310344827602,1,4,25,43,7.4595409017767649,174,0,0.26117425084161289,174,0,8.6264367816091951,174,0,0.068965517241379309,174,0,0,0.9885057471264368,174,0,0,1,174,0,0,1.1471254561149304,174,0,367.8454287325053,174,0,0.19668039307864915,174,0,0.8046314716562728,174,0
2019,timesat_smoothing_spline,20,207,0,0,0.025285744316099298,11.128388419283166,0.045258620689655103,0.95474137931034475,1,6,25,57,7.4207475234434987,207,0,0.25981601289410161,207,0,8.4492753623188399,207,0,0.096618357487922704,207,0,0,1,207,0,0,1,207,0,0,1.146049974453005,207,0,354.37573773451209,207,0,0.18947838942928547,207,0,0.80464663388735091,207,0
2019,timesat_smoothing_spline,30,202,0,0,0.048636719550354902,15.484027686454541,0.066810344827586202,0.93318965517241381,2,8,32,57,7.4409621272200068,202,0,0.26052376878242073,202,0,8.1336633663366342,202,0,0.084158415841584164,202,0,0,1,202,0,0,1,202,0,0,1.1530937615840846,202,0,342.24392075761364,202,0,0.18299172316841492,202,0,0.8020545585891955,202,0
2019,timesat_smoothing_spline,45,187,0,0,0.30263450706523343,17.288983776369555,0.099137931034482707,0.90086206896551724,4,11,47,85,7.877801976338767,187,0,0.27581845270917288,187,0,9.6096256684491976,187,0,0.053475935828877004,187,0,0,0.88770053475935828,187,0,0,0.93048128342245995,187,0,0,1.1873688671581664,187,0,387.49431056361288,187,0,0.20718629990863038,187,0,0.75592088299407523,187,0
