stratification_variable,lower_tertile_cut,upper_tertile_cut,observed_minimum,observed_maximum,n_unique_scenarios,analysis_role
resulting_observation_density,0.1072961373390558,0.1373390557939913,0.062780269058295798,0.1713147410358565,2800,exploratory_post_hoc_visual_stratification
resulting_maximum_internal_gap_days,25,36,15,117,2800,exploratory_post_hoc_visual_stratification
