method,duration_days,activity_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,156.89414011613007,86.372671628103973,244.97520979611201,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.5714285714285714,91.142857142857139,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.091615852487262089,0.055665545094829058,0.13363825909917357,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717996,0.2352649360483105,1.4385044140001304,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20276802271564215,0.15404234623164131,0.24890251973670841,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.2857142857142857,1,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86350077600243347,0.81761884778559935,0.9108383120630229,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
linear_interpolation,10,low,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.3380326623924468,2.7483484964505647,6.1474843724220944,7,7,460,0,460,0,0.0069078347491259001,0.16236879353587791,0.032327586206896401,0.97629310344827602,1,4,15,52
