year,method,stratification_variable,covariate_class,n_scenarios,n_reconstruction_failures,n_scenarios_with_negative_values,observations_remaining_minimum,observations_remaining_maximum,resulting_observation_density_minimum,resulting_observation_density_maximum,resulting_maximum_internal_gap_days_minimum,resulting_maximum_internal_gap_days_maximum,n_delete_minimum,n_delete_maximum,rmse,n_rmse_available,n_rmse_unavailable,nrmse,n_nrmse_available,n_nrmse_unavailable,absolute_peak_date_error_days,n_absolute_peak_date_error_days_available,n_absolute_peak_date_error_days_unavailable,peak_timing_success_5d,n_peak_timing_success_5d_available,n_peak_timing_success_5d_unavailable,n_peak_timing_success_5d_reference_ineligible,peak_timing_success_10d,n_peak_timing_success_10d_available,n_peak_timing_success_10d_unavailable,n_peak_timing_success_10d_reference_ineligible,peak_timing_success_15d,n_peak_timing_success_15d_available,n_peak_timing_success_15d_unavailable,n_peak_timing_success_15d_reference_ineligible,normalized_absolute_peak_magnitude_error,n_normalized_absolute_peak_magnitude_error_available,n_normalized_absolute_peak_magnitude_error_unavailable,absolute_integral_error,n_absolute_integral_error_available,n_absolute_integral_error_unavailable,absolute_relative_integral_error,n_absolute_relative_integral_error_available,n_absolute_relative_integral_error_unavailable,pearson_correlation,n_pearson_correlation_available,n_pearson_correlation_unavailable
2019,linear_interpolation,resulting_observation_density,low,200,0,0,18,25,0.077253218884119998,0.1072961373390558,25,72,10,17,7.3159117348141498,200,0,0.25614549095217654,200,0,3.5299999999999998,200,0,0.88500000000000001,200,0,0,0.90500000000000003,200,0,0,0.90500000000000003,200,0,0,1.1926601107194903,200,0,369.23062382499995,200,0,0.19742103220041624,200,0,0.82064828780518129,200,0
2019,linear_interpolation,resulting_observation_density,medium,200,0,0,28,32,0.12017167381974241,0.1373390557939913,25,55,3,7,7.4077579179461122,200,0,0.25936121942501567,200,0,1.6599999999999999,200,0,0.98499999999999999,200,0,0,0.98499999999999999,200,0,0,0.98499999999999999,200,0,0,1.1295863410484626,200,0,378.97682909499997,200,0,0.20263215441045396,200,0,0.81727104336741752,200,0
2019,timesat_double_logistic,resulting_observation_density,low,200,0,0,18,25,0.077253218884119998,0.1072961373390558,25,72,10,17,8.020624309430179,200,0,0.28081896364406378,200,0,4.6025,200,0,0.63,200,0,0,0.98999999999999999,200,0,0,1,200,0,0,1.4595035567530221,200,0,420.75927676753184,200,0,0.22497248431570227,200,0,0.75457272353943805,200,0
2019,timesat_double_logistic,resulting_observation_density,medium,200,0,0,28,32,0.12017167381974241,0.1373390557939913,25,55,3,7,7.8298909607281004,200,0,0.27414098706162932,200,0,4.5674999999999999,200,0,0.70499999999999996,200,0,0,1,200,0,0,1,200,0,0,1.4052485484392987,200,0,510.74408163633831,200,0,0.27308575529934814,200,0,0.78714380571868958,200,0
2019,timesat_smoothing_spline,resulting_observation_density,low,200,0,0,18,25,0.077253218884119998,0.1072961373390558,25,72,10,17,7.325329063321842,200,0,0.25647521147389651,200,0,6.625,200,0,0.34000000000000002,200,0,0,0.93999999999999995,200,0,0,1,200,0,0,1.1631870514284777,200,0,397.82605260247078,200,0,0.21271049819047846,200,0,0.80710422468861109,200,0
2019,timesat_smoothing_spline,resulting_observation_density,medium,200,0,0,28,32,0.12017167381974241,0.1373390557939913,25,55,3,7,7.4066484524047995,200,0,0.25932237469778613,200,0,8,200,0,0.16500000000000001,200,0,0,0.98499999999999999,200,0,0,1,200,0,0,1.1349262284659931,200,0,372.12085323729269,200,0,0.19896638634238817,200,0,0.80437086152856863,200,0
2020,linear_interpolation,resulting_observation_density,high,200,0,0,45,51,0.14851485148514851,0.1683168316831683,22,52,5,11,3.6564583876459498,200,0,0.1736914475925849,200,0,42.924999999999997,200,0,0.025000000000000001,200,0,0,0.025000000000000001,200,0,0,0.025000000000000001,200,0,0,0.23075963523478357,200,0,108.53118126134257,200,0,0.056610281703535208,200,0,0.88643272095218262,200,0
2020,linear_interpolation,resulting_observation_density,low,100,0,0,29,29,0.095709570957095702,0.095709570957095702,27,78,27,27,5.4096763043119029,100,0,0.25697393726068596,100,0,58.770000000000003,100,0,0.17000000000000001,100,0,0,0.17000000000000001,100,0,0,0.17000000000000001,100,0,0,0.40433506295216892,100,0,268.84735614863939,100,0,0.14023181531744874,100,0,0.74267655098437768,100,0
2020,linear_interpolation,resulting_observation_density,medium,100,0,0,40,40,0.132013201320132,0.132013201320132,22,60,16,16,4.4653273758943506,100,0,0.21211486462265394,100,0,55.869999999999997,100,0,0.10000000000000001,100,0,0,0.10000000000000001,100,0,0,0.10000000000000001,100,0,0,0.31342635206424424,100,0,149.04345821514701,100,0,0.077741641227615066,100,0,0.82338584625228695,100,0
2020,timesat_double_logistic,resulting_observation_density,high,200,0,0,45,51,0.14851485148514851,0.1683168316831683,22,52,5,11,5.5140565872646627,200,0,0.26193227686806231,200,0,128.55000000000001,200,0,0.02,200,0,0,0.055,200,0,0,0.12,200,0,0,1.2748083416050024,200,0,93.02164088687114,200,0,0.048520445773555194,200,0,0.6521749174299416,200,0
