deletion_fraction,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
0.10000000000000001,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,6.9137160111102931,-55.250663986221866,60.052324535289337,-6.9137160111102931,-60.681972762490872,55.381380355032718,7,3,4,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_random_deletion,absolute global-peak date error,days,lower,-22.574285714285715,-51.612857142857152,0.50142857142857156,22.574285714285715,-0.45750000000000018,52.110678571428558,7,5,2,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_random_deletion,absolute relative common-support integral error,fraction,lower,0.0040523705047012821,-0.029630212371116443,0.034253813950039125,-0.0040523705047012821,-0.034251290091429389,0.030569503084076303,7,3,4,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_random_deletion,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.4856978822774613,-0.76059725707533654,-0.22949838009944198,0.4856978822774613,0.2256360243353154,0.75463715633812867,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_random_deletion,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.044312693003746642,-0.077204749177940055,-0.015708973138109445,0.044312693003746642,0.016022549023179972,0.077234236508193471,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_random_deletion,global-peak timing success <=10 d,fraction,higher,0.11714285714285715,-0.047142857142857118,0.41142857142857142,0.11714285714285715,-0.047142857142857118,0.41142857142857142,7,1,3,3
0.10000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_random_deletion,global-peak timing success <=15 d,fraction,higher,0.044285714285714282,-0.048571428571428557,0.19142857142857142,0.044285714285714282,-0.048571428571428557,0.19142857142857142,7,1,2,4
0.10000000000000001,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_random_deletion,global-peak timing success <=5 d,fraction,higher,0.031428571428571438,-0.39428571428571424,0.42857142857142855,0.031428571428571438,-0.39428571428571424,0.42857142857142855,7,2,2,3
0.10000000000000001,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_random_deletion,daily trajectory Pearson correlation,correlation,higher,0.11800586450887073,0.052568685126537132,0.18969689300569023,0.11800586450887073,0.052568685126537132,0.18891187931834336,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_random_deletion,point-wise RMSE,ug_L,lower,-0.93011175662106704,-1.6628548254533315,-0.30998765451006211,0.93011175662106704,0.30998765451006211,1.6496855163882926,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,-23.870326049365683,-34.977318062736799,-10.731896683374449,23.870326049365683,10.812807143923379,34.977318062736799,7,6,1,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_random_deletion,absolute global-peak date error,days,lower,-11.165714285714284,-33.649999999999999,2.7582499999999643,11.165714285714284,-2.8571428571428585,33.627142857142857,7,6,1,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_random_deletion,absolute relative common-support integral error,fraction,lower,-0.016394915804585561,-0.024913084158659497,-0.0070086048305673648,0.016394915804585561,0.0068013838027342699,0.024989028070102837,7,6,1,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_random_deletion,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.21398080617690174,-0.41347629733678753,-0.061298890981856195,0.21398080617690174,0.059606623903050819,0.42017260442676546,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_random_deletion,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.01894148477639675,-0.031460656461691813,-0.0070184708841601207,0.01894148477639675,0.0071103196158703247,0.031066312213837044,7,6,1,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_random_deletion,global-peak timing success <=10 d,fraction,higher,0.10571428571428572,-0.045714285714285714,0.33714285714285713,0.10571428571428572,-0.045714285714285714,0.33714285714285713,7,2,1,4
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_random_deletion,global-peak timing success <=15 d,fraction,higher,-0.027142857142857132,-0.08142857142857142,0.017142857142857158,-0.027142857142857132,-0.08142857142857142,0.017142857142857158,7,1,2,4
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_random_deletion,global-peak timing success <=5 d,fraction,higher,0.11000000000000001,-0.094285714285714278,0.39000000000000007,0.11000000000000001,-0.094285714285714278,0.39000000000000007,7,2,2,3
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_random_deletion,daily trajectory Pearson correlation,correlation,higher,0.032517245296690124,0.014481938072682119,0.05347789820765482,0.032517245296690124,0.013989834840734778,0.054329800231551352,7,7,0,0
0.10000000000000001,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_random_deletion,point-wise RMSE,ug_L,lower,-0.35942632690789311,-0.63993957233295773,-0.11080682020812138,0.35942632690789311,0.1117181090807414,0.63576874780693893,7,6,1,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_random_deletion,absolute common-support integral error,ug_day_L,lower,30.784042060475976,-40.751908083319385,86.429138353520671,-30.784042060475976,-86.535176326387656,41.920812550497388,7,1,6,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_random_deletion,absolute global-peak date error,days,lower,-11.408571428571431,-28.562857142857144,2.0714285714285721,11.408571428571431,-2.500142857142857,28.35285714285714,7,4,3,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_random_deletion,absolute relative common-support integral error,fraction,lower,0.020447286309286845,-0.020333382218853144,0.051101089752185844,-0.020447286309286845,-0.051961738407608475,0.018900918188195177,7,1,6,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_random_deletion,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.27171707610055951,-0.40911839346371132,-0.11961253037980162,0.27171707610055951,0.11678044139574499,0.41404366616401822,7,6,1,0
0.10000000000000001,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_random_deletion,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.025371208227349888,-0.050207764482073855,-0.0010941421903199902,0.025371208227349888,0.0011711139295258585,0.049706078536146739,7,5,2,0
