method,duration_days,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,159.52204291034465,92.143014522860099,245.786621861707,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,35.772506386726853,2.5950799861467067,91.655427815486448,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09340136447853789,0.060525880879973411,0.13504999176558991,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.80594720251206176,0.26253970906192875,1.4431701580294141,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20755877398837125,0.16065614897729455,0.2504072345110927,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.69026087057246699,0.40565317035905274,0.97137525056043894,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.69790028997659215,0.40762673374558922,0.98328267477203646,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.55500251190985295,0.14285714285714285,0.84375631130195028,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85748883122000519,0.81363955795287102,0.90248205827311945,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,10,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.4337050545637178,2.8631226896849857,6.1625135728073133,7,7,1379,0,1379,0,0.0069078347491259001,6.455637488556297,0.02,0.97799999999999998,1,5,15,57
linear_interpolation,20,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,169.82647020098184,105.32561574291407,250.5215840539914,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,37.265628509477743,3.6684008508034758,93.297392106960871,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10018781887777488,0.069760525411917018,0.13799625615454722,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.81838390389534754,0.27160068716738256,1.4542690703637731,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21362515732955747,0.17031346155877805,0.25409225223786269,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66777885720862129,0.38805607325176245,0.94162750182319088,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68703175405652661,0.39893892339544518,0.97132264432567772,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.53821075089632886,0.14285714285714285,0.82751035196687373,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84772935105699598,0.80721226196184159,0.88741487750900783,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,20,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.5560711491175585,2.9909381580513448,6.2455502686895281,7,7,1525,0,1525,0,0.025285744316099298,11.128388419283166,0.0403846153846152,0.95961538461538465,1,8,21,85
linear_interpolation,30,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,183.65879156272038,121.56762084169152,260.55292341975667,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.300031988892592,4.0061017037109767,93.913288780410241,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10863015728704042,0.081882772497947273,0.14346295213094637,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.83225064472172983,0.27086608153278319,1.4660556675291048,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22074099291942442,0.17858597529671574,0.25914990912498564,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.6500623679418972,0.36370946127043691,0.92582126251267283,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68238614172908563,0.39250353606789251,0.96245158133971476,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.52245343980169634,0.14285714285714285,0.81748449570231752,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8358553904295809,0.79715741098886961,0.87284913883924431,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,30,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.6950418162941769,3.1604975963102957,6.3592162262998517,7,7,1475,0,1475,0,0.048636719550354902,15.484027686454541,0.059615384615384501,0.94038461538461515,1,11,31,85
linear_interpolation,45,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,228.35955633888608,161.88668434456775,303.29869845280427,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,41.798451110793444,6.3478657152472904,96.619876887312458,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.13501055044780919,0.11409299367855422,0.16164152377664662,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.86625005971309932,0.30510165302626391,1.494266259405856,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.23778782213568619,0.19773743805739172,0.27668745361153479,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.61032392260342427,0.32330827067669171,0.87798435274855458,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.64681421249928717,0.36243416026697756,0.91994421447225838,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
linear_interpolation,45,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.49518983068914668,0.14285714285714285,0.79164072077033609,7,7,1367,0,1367,0,0.27055384094511942,17.288983776369555,0.0884615384615383,0.91153846153846163,1,14,46,92
