method,stratification_variable,covariate_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,38.23357142857143,4.4357500000000005,89.804285714285712,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10309238836740912,0.077115055073988734,0.13884172256738964,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.86005061459723942,0.33344129649256099,1.4872864153701788,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22375891273000476,0.18499401689511696,0.2578718982705977,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.64142857142857146,0.34351785714285715,0.91285714285714292,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.69142857142857139,0.3928214285714286,0.96571428571428586,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.52071428571428569,0.18571428571428572,0.83285714285714296,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.82866266134654598,0.7921470018297706,0.86774831912501094,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
linear_interpolation,resulting_observation_density,medium,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,4.7503144845091141,3.298470708102168,6.2932579388486607,7,7,900,0,900,0,24,40,0.1076233183856502,0.1373390557939913,15,60,3,16
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,96.743825003918502,70.18408153481478,126.65157876514532,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,80.638999999999996,15.628,146.441,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.057699160803904193,0.044366961985499678,0.080609856890538359,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.5345602779207814,1.0964237232270089,2.0951340953248043,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
timesat_double_logistic,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26533991720353867,0.23270728022564677,0.30306671009048858,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
