analysis_classification,protocol_version,repository_code_commit,preperformance_manifest_payload_sha256,outer_test_year,training_year,candidate_p_seapar,candidate_year_status,candidate_year_failure_reason,reconstruction_status,reconstruction_failure_reason,rmse,q05_reference,q95_reference,q95_minus_q05,nrmse,n_pointwise_evaluation_dates,sparse_input_checksum,requested_p_seapar,requested_p_seapar_float64_hex,effective_p_seapar,effective_p_seapar_float64_hex,p_seapar_array_dtype,p_seapar_exactly_materialized,outer_test_reference_used,tuning_metric,equal_year_weighting,event_metrics_used_for_tuning,global_peak_metrics_used_for_tuning,controlled_gap_results_used_for_tuning
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2025,0.10000000000000001,ok,,ok,,8.3123303903142762,1.3806750000000001,31.359949999999998,29.979274999999998,0.27726922650111707,203,947d0da57e9f0885fc6b50667452005f349bb9a795477360164cf86590c1093d,0.10000000000000001,0x1.999999999999ap-4,0.10000000000000001,0x1.999999999999ap-4,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2020,0.20000000000000001,ok,,ok,,5.329255806439372,1.0936710000000001,22.145129999999998,21.051458999999998,0.25315375083690744,247,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2021,0.20000000000000001,ok,,ok,,4.6128865264615335,1.2662899999999999,23.422599999999999,22.156309999999998,0.20819741764136421,215,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2022,0.20000000000000001,ok,,ok,,5.3780437224567974,1.513585,18.3184,16.804815000000001,0.32002992728315049,200,22bde5d6d9dc59521e44141a8ff2e30ff8931df0264677dec4dd2ecdf8ecaca3,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2023,0.20000000000000001,ok,,ok,,1.8982325122570107,0.94453010000000004,11.606679999999999,10.662149899999999,0.17803468625563132,196,6f7e7a43e66eedbadfad5e8aaf52e51b3c1ce7f3116a7746b71493a6aa271a5c,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2024,0.20000000000000001,ok,,ok,,3.6038366125123473,1.3134375,17.630824999999998,16.317387499999999,0.22085867682632085,186,c3e5df0d08bbb849a4efbf97ab0fd61b463a182e2973d6174c272ad5597f8f4d,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2025,0.20000000000000001,ok,,ok,,8.3129445668570057,1.3806750000000001,31.359949999999998,29.979274999999998,0.27728971320543966,203,947d0da57e9f0885fc6b50667452005f349bb9a795477360164cf86590c1093d,0.20000000000000001,0x1.999999999999ap-3,0.20000000000000001,0x1.999999999999ap-3,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2020,0.29999999999999999,ok,,ok,,5.3330038749264359,1.0936710000000001,22.145129999999998,21.051458999999998,0.25333179400660244,247,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,0.29999999999999999,0x1.3333333333333p-2,0.29999999999999999,0x1.3333333333333p-2,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2021,0.29999999999999999,ok,,ok,,4.6279666224796907,1.2662899999999999,23.422599999999999,22.156309999999998,0.20887804072427635,215,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,0.29999999999999999,0x1.3333333333333p-2,0.29999999999999999,0x1.3333333333333p-2,float64,True,False,withheld_day_nrmse,True,False,False,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2019,2022,0.29999999999999999,ok,,ok,,5.4195333804030845,1.513585,18.3184,16.804815000000001,0.32249884217131125,200,22bde5d6d9dc59521e44141a8ff2e30ff8931df0264677dec4dd2ecdf8ecaca3,0.29999999999999999,0x1.3333333333333p-2,0.29999999999999999,0x1.3333333333333p-2,float64,True,False,withheld_day_nrmse,True,False,False,False
