control_version,observation_method,reflectance_quantity,baseline_harmonization_role,processing_baseline,official_product_context,band,n_available_products,n_products_with_finite_reflectance_median,first_date,last_date,median_generation_lag_days,median_valid_pixel_count,median_of_product_reflectance_medians,q05_of_product_reflectance_medians,q95_of_product_reflectance_medians,cross_baseline_values_directly_comparable,descriptive_not_a_harmonization_coefficient
erken_s2_processing_baseline_control_v1.0,ACOLITE,rhos,source_l1c_provenance_only_no_additional_correction,N0510,nominal_operational,B5,20,17,2024-03-28,2024-07-21,0.09567708333333333,9.0,0.010715515352785587,0.0040742495562881235,0.02420420572161674,False,True
erken_s2_processing_baseline_control_v1.0,ACOLITE,rhos,source_l1c_provenance_only_no_additional_correction,N0510,nominal_operational,B6,20,17,2024-03-28,2024-07-21,0.09567708333333333,9.0,0.013370893895626068,0.0069945485331118105,0.02629970237612724,False,True
erken_s2_processing_baseline_control_v1.0,ACOLITE,rhos,source_l1c_provenance_only_no_additional_correction,N0511,nominal_operational,B4,74,51,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.009332403540611267,0.004921117797493935,0.025167127139866352,False,True
erken_s2_processing_baseline_control_v1.0,ACOLITE,rhos,source_l1c_provenance_only_no_additional_correction,N0511,nominal_operational,B5,74,51,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.009558432269841433,0.004811052931472659,0.0246253265067935,False,True
erken_s2_processing_baseline_control_v1.0,ACOLITE,rhos,source_l1c_provenance_only_no_additional_correction,N0511,nominal_operational,B6,74,51,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.010843890719115734,0.005491236690431833,0.025159062817692757,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B4,138,132,2019-04-17,2021-12-17,1020.1330208333334,9.0,0.0385125,0.02791625,0.08272499999999999,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B5,138,132,2019-04-17,2021-12-17,1020.1330208333334,9.0,0.03405,0.024155,0.08089999999999996,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B6,138,132,2019-04-17,2021-12-17,1020.1330208333334,9.0,0.03195,0.02121,0.08868999999999995,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0509,other_nominal_operational,B4,1,1,2023-10-18,2023-10-18,0.08726851851851852,9.0,0.0434,0.0434,0.0434,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0509,other_nominal_operational,B5,1,1,2023-10-18,2023-10-18,0.08726851851851852,9.0,0.0374,0.0374,0.0374,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0509,other_nominal_operational,B6,1,1,2023-10-18,2023-10-18,0.08726851851851852,9.0,0.034,0.034,0.034,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B4,73,68,2022-03-24,2023-11-29,618.4591435185185,9.0,0.038525000000000004,0.027495000000000002,0.11800749999999997,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B5,73,68,2022-03-24,2023-11-29,618.4591435185185,9.0,0.0335,0.02347,0.11599999999999995,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B6,73,68,2022-03-24,2023-11-29,618.4591435185185,9.0,0.0327,0.021135,0.12133499999999994,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,nominal_operational,B4,20,19,2024-03-28,2024-07-21,0.09567708333333333,9.0,0.038075,0.0241975,0.04668999999999993,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,nominal_operational,B5,20,19,2024-03-28,2024-07-21,0.09567708333333333,9.0,0.0337,0.02109,0.04253999999999994,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0510,nominal_operational,B6,20,19,2024-03-28,2024-07-21,0.09567708333333333,9.0,0.031,0.02002,0.04245999999999994,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0511,nominal_operational,B4,74,67,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.03975,0.0299425,0.09332249999999996,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0511,nominal_operational,B5,74,67,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.0365,0.02586,0.08811999999999999,False,True
erken_s2_processing_baseline_control_v1.0,L1C,TOA,direct_product_baseline_control,N0511,nominal_operational,B6,74,67,2024-07-26,2025-11-26,0.10423032407407407,9.0,0.0353,0.02209,0.088585,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B4,139,133,2019-04-17,2021-12-17,1021.4009375,9.0,0.013,0.00406,0.059759999999999945,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B5,139,133,2019-04-17,2021-12-17,1021.4009375,9.0,0.0122,0.0032000000000000006,0.06981999999999991,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0500,collection1_historical_reprocessed,B6,139,133,2019-04-17,2021-12-17,1021.4009375,9.0,0.0105,0.0011800000000000005,0.07265999999999996,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0509,other_nominal_operational,B4,1,1,2023-10-18,2023-10-18,0.11166666666666666,9.0,0.0087,0.0087,0.0087,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0509,other_nominal_operational,B5,1,1,2023-10-18,2023-10-18,0.11166666666666666,9.0,0.0059,0.0059,0.0059,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0509,other_nominal_operational,B6,1,1,2023-10-18,2023-10-18,0.11166666666666666,9.0,0.0047,0.0047,0.0047,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B4,73,68,2022-03-24,2023-11-29,618.6091435185185,9.0,0.0145,0.00137,0.11767499999999996,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B5,73,68,2022-03-24,2023-11-29,618.6091435185185,9.0,0.01385,0.00076,0.11818499999999996,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,collection1_historical_reprocessed,B6,73,68,2022-03-24,2023-11-29,618.6091435185185,9.0,0.01225,-0.0005399999999999999,0.11270999999999995,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,nominal_operational,B4,20,19,2024-03-28,2024-07-21,0.17623842592592592,9.0,0.015,0.00496,0.02804999999999994,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,nominal_operational,B5,20,19,2024-03-28,2024-07-21,0.17623842592592592,9.0,0.015,0.00399,0.028219999999999936,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0510,nominal_operational,B6,20,19,2024-03-28,2024-07-21,0.17623842592592592,9.0,0.0132,0.00344,0.026669999999999944,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0511,nominal_operational,B4,74,67,2024-07-26,2025-11-26,0.16167824074074072,9.0,0.0128,0.0022700000000000003,0.07443999999999991,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0511,nominal_operational,B5,74,67,2024-07-26,2025-11-26,0.16167824074074072,9.0,0.015,0.0008400000000000005,0.07465,False,True
erken_s2_processing_baseline_control_v1.0,L2A,BOA,direct_product_baseline_control,N0511,nominal_operational,B6,74,67,2024-07-26,2025-11-26,0.16167824074074072,9.0,0.0131,-0.0015,0.07063499999999998,False,True
