control_version,date,year,observation_method,product_level,reflectance_quantity,source_product_id,method_product_available,exact_three_method_source_alignment,processing_baseline,sensing_datetime,generation_time,generation_lag_days,generation_context,official_product_context,l1c_l2a_baseline_pair_status,radiometric_conversion_status,empirical_cross_baseline_correction_applied,source_failure_reason,ndci_observation_eligible,mci_observation_eligible,common_b456_observation_eligible,B4_reflectance_valid_pixel_count,B4_reflectance_valid_pixel_fraction,B4_reflectance_median,B4_reflectance_mean,B4_reflectance_SD,B4_reflectance_IQR,B4_reflectance_min,B4_reflectance_max,B5_reflectance_valid_pixel_count,B5_reflectance_valid_pixel_fraction,B5_reflectance_median,B5_reflectance_mean,B5_reflectance_SD,B5_reflectance_IQR,B5_reflectance_min,B5_reflectance_max,B6_reflectance_valid_pixel_count,B6_reflectance_valid_pixel_fraction,B6_reflectance_median,B6_reflectance_mean,B6_reflectance_SD,B6_reflectance_IQR,B6_reflectance_min,B6_reflectance_max,b4_b5_b6_reflectance_summary_complete
erken_s2_processing_baseline_control_v1.0,2019-04-24,2019,L2A,L2A,BOA,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,True,True,N0500,2019-04-24T10:10:31Z,2022-10-25T06:21:27Z,1279.8409259259258,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.0473,0.04755555555555555,0.000829323686974981,0.0013999999999999985,0.0465,0.0489,9.0,1.0,0.0468,0.04682222222222222,0.0009497075573272243,0.0011999999999999997,0.0456,0.0486,9.0,1.0,0.0442,0.044222222222222225,0.0010627532377953228,0.0015999999999999973,0.0424,0.0457,True
erken_s2_processing_baseline_control_v1.0,2019-04-24,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190424T101031_N0500_R022_T34VCM_20221024T205552,True,True,N0500,2019-04-24T10:10:31Z,2022-10-24T20:55:52Z,1279.4481597222223,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,acolite_geotiff_scale_offset_applied_source_l1c_baseline_recorded,False,,True,True,True,9.0,1.0,0.011622840538620949,0.01217298706372579,0.0011462727443088444,0.001493941992521286,0.011021744459867477,0.014436173252761364,9.0,1.0,0.014978587627410889,0.014934698947601847,0.0008818188074436005,0.0009127901867032051,0.0135622164234519,0.01644938625395298,9.0,1.0,0.02282598614692688,0.022775969778498013,0.0009220677632556055,0.0012224651873111725,0.021414844319224358,0.02422010898590088,True
erken_s2_processing_baseline_control_v1.0,2019-04-27,2019,L1C,L1C,TOA,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,True,True,N0500,2019-04-27T10:20:31Z,2022-11-10T01:18:48Z,1292.6238078703705,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.037775,0.03785,0.0003735388199370986,0.0001999999999999988,0.037175,0.0386,9.0,1.0,0.0337,0.033855555555555555,0.0006125991983163029,0.0006999999999999992,0.0333,0.0351,9.0,1.0,0.0329,0.033044444444444446,0.0004719934086168758,0.0005000000000000004,0.0324,0.0338,True
erken_s2_processing_baseline_control_v1.0,2019-04-27,2019,L2A,L2A,BOA,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,True,True,N0500,2019-04-27T10:20:31Z,2022-11-10T10:13:45Z,1292.995300925926,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.0099,0.009933333333333334,0.0005291502622129182,0.0002999999999999999,0.009,0.011,9.0,1.0,0.0091,0.009288888888888888,0.0008403041777303686,0.0006999999999999992,0.0084,0.011,9.0,1.0,0.008,0.008155555555555555,0.0006366143084928093,0.0008999999999999998,0.0071,0.0091,True
erken_s2_processing_baseline_control_v1.0,2019-04-27,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,True,True,N0500,2019-04-27T10:20:31Z,2022-11-10T01:18:48Z,1292.6238078703705,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,acolite_geotiff_scale_offset_applied_source_l1c_baseline_recorded,False,,True,True,True,9.0,1.0,0.006530287675559521,0.006530785829656654,0.0006647260908575875,0.0012011155486106873,0.0056887730024755,0.007615210488438606,9.0,1.0,0.006506108678877354,0.006692213834159904,0.0007348255972946557,0.0008357572369277477,0.0060239555314183235,0.008184833452105522,9.0,1.0,0.008527897298336029,0.008696614661150508,0.0005548737587775493,0.000590830110013485,0.007937001995742321,0.009584728628396988,True
erken_s2_processing_baseline_control_v1.0,2019-04-29,2019,L1C,L1C,TOA,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,True,True,N0500,2019-04-29T10:10:29Z,2022-11-01T08:07:00Z,1281.9142476851853,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.03385,0.033736111111111106,0.0003167488928332827,0.0006499999999999978,0.033325,0.03405,9.0,1.0,0.0297,0.02971111111111111,0.0003919325338768283,0.0005000000000000004,0.029,0.0302,9.0,1.0,0.0287,0.02876666666666667,0.0005244044240850763,0.0005999999999999998,0.0278,0.0296,True
erken_s2_processing_baseline_control_v1.0,2019-04-29,2019,L2A,L2A,BOA,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,True,True,N0500,2019-04-29T10:10:29Z,2022-11-01T15:45:44Z,1282.2328125,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.0086,0.0084,0.0004898979485566358,0.0010000000000000009,0.0077,0.0089,9.0,1.0,0.0071,0.007144444444444444,0.0005960518247415888,0.001,0.0061,0.0079,9.0,1.0,0.0071,0.007166666666666667,0.0006480740698407859,0.0004000000000000002,0.006,0.0083,True
erken_s2_processing_baseline_control_v1.0,2019-04-29,2019,ACOLITE,L2R,rhos,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,True,True,N0500,2019-04-29T10:10:29Z,2022-11-01T08:07:00Z,1281.9142476851853,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,acolite_geotiff_scale_offset_applied_source_l1c_baseline_recorded,False,,True,True,True,9.0,1.0,0.007918061688542366,0.007832301314920187,0.0004865138210494096,0.0006892974488437176,0.0072258878499269485,0.008615050464868546,9.0,1.0,0.007317341864109039,0.007327321709858047,0.0004468321151563872,0.0005606953054666519,0.00651573808863759,0.007886558771133423,9.0,1.0,0.009192650206387043,0.009268189883894391,0.0005957980687620403,0.0006818836554884911,0.008169800043106079,0.010210874490439892,True
erken_s2_processing_baseline_control_v1.0,2019-05-02,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-02,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-02,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-04,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-04,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-04,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-07,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-07,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-07,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-09,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-09,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-09,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-12,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-12,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-12,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-14,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-14,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-14,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-17,2019,L1C,L1C,TOA,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,True,True,N0500,2019-05-17T10:20:31Z,2022-12-04T06:40:53Z,1296.8474768518518,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.029375,0.0294,0.00042241863121789494,0.0003499999999999996,0.02875,0.030175,9.0,1.0,0.0267,0.02661111111111111,0.00016914819275153762,0.00020000000000000226,0.0263,0.0268,9.0,1.0,0.0268,0.02684444444444444,0.0006502136401043719,0.0005999999999999998,0.0258,0.0279,True
erken_s2_processing_baseline_control_v1.0,2019-05-17,2019,L2A,L2A,BOA,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,True,True,N0500,2019-05-17T10:20:31Z,2022-12-04T16:57:18Z,1297.2755439814814,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,metadata_derived_offset_and_quantification_applied,False,,True,True,True,9.0,1.0,0.0084,0.008355555555555554,0.0005222813205330799,0.0005000000000000004,0.0076,0.0093,9.0,1.0,0.0089,0.008777777777777778,0.00022791323885295556,0.00020000000000000052,0.0083,0.009,9.0,1.0,0.0095,0.00958888888888889,0.000800694143297621,0.000700000000000001,0.0083,0.0109,True
erken_s2_processing_baseline_control_v1.0,2019-05-17,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,True,True,N0500,2019-05-17T10:20:31Z,2022-12-04T06:40:53Z,1296.8474768518518,delayed_generation,collection1_historical_reprocessed,exact_pair_same_processing_baseline,acolite_geotiff_scale_offset_applied_source_l1c_baseline_recorded,False,,True,True,True,9.0,1.0,0.007479878608137369,0.00784211823095878,0.0005553268567784438,0.0010264310985803604,0.007363133132457733,0.008715723641216755,9.0,1.0,0.008733045309782028,0.008636877251168093,0.00018870396960419964,0.00022877659648656845,0.008297652937471867,0.008853225968778133,9.0,1.0,0.011401169933378696,0.01144188166492515,0.0007133576207263417,0.0006684251129627228,0.01029572356492281,0.012598142959177494,True
erken_s2_processing_baseline_control_v1.0,2019-05-19,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-19,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-19,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-24,2019,L1C,L1C,TOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_l2a_representative_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-24,2019,L2A,L2A,BOA,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,no_representative_frozen_scl_gate_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
erken_s2_processing_baseline_control_v1.0,2019-05-24,2019,ACOLITE,L2R,rhos,,False,False,,,,,generation_context_unavailable,official_product_context_unavailable,not_applicable_not_exact_three_method_alignment,unavailable_no_method_product,False,not_eligible_no_frozen_l2a_representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
