contract_version,repository_code_commit,repository_worktree_dirty,temporal_master_sha256,preperformance_manifest_payload_sha256,timesat_core_version,timesat_core_source_git_commit,timesat_cli_version,timesat_cli_source_git_commit,timesat_defaults_snapshot_payload_sha256,outer_test_year,smoothing,candidate_status,candidate_failure_reason,n_required_training_years,n_valid_training_years,mean_equal_year_nrmse,equal_year_weighting,selected_for_outer_fold,spline_candidate_grid
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,0,eligible,,6,6,0.2242131674928223,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1,eligible,,6,6,0.20956820041264521,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,3,eligible,,6,6,0.20524998446005815,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,10,eligible,,6,6,0.20385846282827144,True,True,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,30,eligible,,6,6,0.20425181204120399,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,100,eligible,,6,6,0.20659135456817149,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,300,eligible,,6,6,0.21211574043322048,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2019,1000,eligible,,6,6,0.22247456671783092,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2020,0,eligible,,6,6,0.23670766433713838,True,False,0;1;3;10;30;100;300;1000
Reconstruction_Analysis_Contract_v1.0.1,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,2020,1,eligible,,6,6,0.22711737225311115,True,False,0;1;3;10;30;100;300;1000
